카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년07월_계_총인구수,"174,491","15,027","7,378","13,286","16,895","28,407","20,063","11,258","14,475","13,961","6,870","9,937","16,934"
2020년07월_계_연령구간인구수,"174,491","15,027","7,378","13,286","16,895","28,407","20,063","11,258","14,475","13,961","6,870","9,937","16,934"
2020년07월_계_0~9세,"11,261",721,322,752,"1,043","2,186","1,077",541,"1,809",824,514,469,"1,003"
2020년07월_계_10~19세,"17,021","1,035",540,"1,068","1,758","4,041","1,682",955,"1,318","1,339",645,879,"1,761"
2020년07월_계_20~29세,"24,297","2,380",836,"1,572","2,329","4,187","3,026","1,518","1,760","2,043","1,072","1,286","2,288"
2020년07월_계_30~39세,"19,559","1,611",878,"1,295","1,739","2,815","2,355","1,146","2,446","1,644","1,070",924,"1,636"
2020년07월_계_40~49세,"27,617","2,066","1,141","1,895","2,686","5,294","3,229","1,635","2,351","2,233","1,243","1,344","2,500"
2020년07월_계_50~59세,"33,389","2,888","1,389","2,571","3,224","5,614","3,795","2,208","2,329","2,702","1,193","2,009","3,467"
2020년07월_계_60~69세,"23,555","2,521","1,286","2,261","2,372","2,494","2,886","1,745","1,482","1,709",684,"1,584","2,531"
2020년07월_계_70~79세,"11,935","1,270",679,"1,209","1,198","1,138","1,429","1,009",630,978,296,944,"1,155"
2020년07월_계_80~89세,"5,159",451,261,589,486,567,526,438,313,430,129,446,523
2020년07월_계_90~99세,663,79,43,67,55,68,57,57,36,57,23,52,69
2020년07월_계_100세 이상,35,5,3,7,5,3,1,6,1,2,1,0,1
2020년07월_남_총인구수,"88,764","7,960","3,896","6,756","8,440","14,073","10,401","5,771","7,412","7,385","3,735","4,705","8,230"
2020년07월_남_연령구간인구수,"88,764","7,960","3,896","6,756","8,440","14,073","10,401","5,771","7,412","7,385","3,735","4,705","8,230"
2020년07월_남_0~9세,"5,700",375,172,367,524,"1,105",541,260,922,432,259,234,509
2020년07월_남_10~19세,"8,858",559,295,553,921,"2,063",891,509,690,692,326,447,912
2020년07월_남_20~29세,"13,511","1,308",490,875,"1,284","2,264","1,665",857,981,"1,196",630,714,"1,247"
2020년07월_남_30~39세,"10,650",918,484,689,940,"1,389","1,377",651,"1,265",942,650,486,859
2020년07월_남_40~49세,"14,046","1,170",649,"1,010","1,336","2,370","1,715",866,"1,230","1,211",694,650,"1,145"
2020년07월_남_50~59세,"17,008","1,523",746,"1,317","1,595","2,905","1,931","1,158","1,152","1,444",640,976,"1,621"
2020년07월_남_60~69세,"11,680","1,308",672,"1,141","1,106","1,257","1,409",846,754,849,358,719,"1,261"
2020년07월_남_70~79세,"5,342",610,295,562,533,495,652,465,296,448,131,353,502
2020년07월_남_80~89세,"1,829",177,89,218,183,211,210,153,115,158,42,112,161
2020년07월_남_90~99세,132,10,4,20,17,13,10,6,7,13,5,14,13
2020년07월_남_100세 이상,8,2,0,4,1,1,0,0,0,0,0,0,0
2020년07월_여_총인구수,"85,727","7,067","3,482","6,530","8,455","14,334","9,662","5,487","7,063","6,576","3,135","5,232","8,704"
2020년07월_여_연령구간인구수,"85,727","7,067","3,482","6,530","8,455","14,334","9,662","5,487","7,063","6,576","3,135","5,232","8,704"
2020년07월_여_0~9세,"5,561",346,150,385,519,"1,081",536,281,887,392,255,235,494
2020년07월_여_10~19세,"8,163",476,245,515,837,"1,978",791,446,628,647,319,432,849
2020년07월_여_20~29세,"10,786","1,072",346,697,"1,045","1,923","1,361",661,779,847,442,572,"1,041"
2020년07월_여_30~39세,"8,909",693,394,606,799,"1,426",978,495,"1,181",702,420,438,777
2020년07월_여_40~49세,"13,571",896,492,885,"1,350","2,924","1,514",769,"1,121","1,022",549,694,"1,355"
2020년07월_여_50~59세,"16,381","1,365",643,"1,254","1,629","2,709","1,864","1,050","1,177","1,258",553,"1,033","1,846"
2020년07월_여_60~69세,"11,875","1,213",614,"1,120","1,266","1,237","1,477",899,728,860,326,865,"1,270"
2020년07월_여_70~79세,"6,593",660,384,647,665,643,777,544,334,530,165,591,653
2020년07월_여_80~89세,"3,330",274,172,371,303,356,316,285,198,272,87,334,362
2020년07월_여_90~99세,531,69,39,47,38,55,47,51,29,44,18,38,56
2020년07월_여_100세 이상,27,3,3,3,4,2,1,6,1,2,1,0,1
