카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년12월_계_총인구수,"114,758","33,444","24,305","30,889","4,234","5,312","3,520","9,824","3,230"
2020년12월_계_연령구간인구수,"114,758","33,444","24,305","30,889","4,234","5,312","3,520","9,824","3,230"
2020년12월_계_0~9세,"9,524","2,336","1,900","4,447",78,122,89,321,231
2020년12월_계_10~19세,"11,541","3,394","3,140","3,718",125,168,142,687,167
2020년12월_계_20~29세,"12,032","3,890","2,918","2,929",309,416,249,"1,092",229
2020년12월_계_30~39세,"14,876","3,454","2,491","7,072",273,340,221,702,323
2020년12월_계_40~49세,"20,660","5,499","5,164","6,926",367,502,364,"1,412",426
2020년12월_계_50~59세,"19,625","6,287","4,812","3,042",821,"1,121",743,"2,233",566
2020년12월_계_60~69세,"13,758","4,434","2,230","1,595","1,023","1,313",861,"1,693",609
2020년12월_계_70~79세,"7,677","2,447","1,054",754,697,781,525,"1,036",383
2020년12월_계_80~89세,"4,406","1,488",533,356,472,455,271,576,255
2020년12월_계_90~99세,618,195,62,45,65,94,51,68,38
2020년12월_계_100세 이상,41,20,1,5,4,0,4,4,3
2020년12월_남_총인구수,"59,828","16,764","12,681","16,662","2,279","2,721","1,925","5,098","1,698"
2020년12월_남_연령구간인구수,"59,828","16,764","12,681","16,662","2,279","2,721","1,925","5,098","1,698"
2020년12월_남_0~9세,"4,901","1,187",985,"2,298",40,62,45,156,128
2020년12월_남_10~19세,"6,118","1,775","1,659","1,980",68,94,74,371,97
2020년12월_남_20~29세,"6,834","2,234","1,695","1,484",189,261,166,658,147
2020년12월_남_30~39세,"8,106","1,850","1,272","3,895",167,204,132,421,165
2020년12월_남_40~49세,"11,152","2,787","2,588","3,982",248,312,227,754,254
2020년12월_남_50~59세,"10,649","3,189","2,658","1,795",499,575,435,"1,191",307
2020년12월_남_60~69세,"7,130","2,210","1,172",779,578,690,470,895,336
2020년12월_남_70~79세,"3,346",996,459,329,311,377,260,446,168
2020년12월_남_80~89세,"1,443",482,177,108,165,136,97,192,86
2020년12월_남_90~99세,141,51,16,11,14,10,17,13,9
2020년12월_남_100세 이상,8,3,0,1,0,0,2,1,1
2020년12월_여_총인구수,"54,930","16,680","11,624","14,227","1,955","2,591","1,595","4,726","1,532"
2020년12월_여_연령구간인구수,"54,930","16,680","11,624","14,227","1,955","2,591","1,595","4,726","1,532"
2020년12월_여_0~9세,"4,623","1,149",915,"2,149",38,60,44,165,103
2020년12월_여_10~19세,"5,423","1,619","1,481","1,738",57,74,68,316,70
2020년12월_여_20~29세,"5,198","1,656","1,223","1,445",120,155,83,434,82
2020년12월_여_30~39세,"6,770","1,604","1,219","3,177",106,136,89,281,158
2020년12월_여_40~49세,"9,508","2,712","2,576","2,944",119,190,137,658,172
2020년12월_여_50~59세,"8,976","3,098","2,154","1,247",322,546,308,"1,042",259
2020년12월_여_60~69세,"6,628","2,224","1,058",816,445,623,391,798,273
2020년12월_여_70~79세,"4,331","1,451",595,425,386,404,265,590,215
2020년12월_여_80~89세,"2,963","1,006",356,248,307,319,174,384,169
2020년12월_여_90~99세,477,144,46,34,51,84,34,55,29
2020년12월_여_100세 이상,33,17,1,4,4,0,2,3,2
