,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년06월_계_총인구수,"218,465","14,801","36,096","13,600","11,118","6,207","13,796","14,512","4,452","4,822","2,688","17,316","53,981","14,759","10,317"
2020년06월_계_연령구간인구수,"218,465","14,801","36,096","13,600","11,118","6,207","13,796","14,512","4,452","4,822","2,688","17,316","53,981","14,759","10,317"
2020년06월_계_0~9세,"19,432","1,014","3,478","1,060",817,331,"1,382","1,277",156,194,71,"1,032","7,055",971,594
2020년06월_계_10~19세,"23,356","1,408","4,539","1,137",850,715,"1,586","1,238",260,240,122,"1,578","7,903",954,826
2020년06월_계_20~29세,"29,636","1,571","4,916","1,653","1,282",702,"1,994","2,503",403,406,193,"2,777","6,708","3,009","1,519"
2020년06월_계_30~39세,"30,734","1,545","5,228","1,796","1,255",663,"2,251","2,580",357,401,144,"2,235","8,520","2,389","1,370"
2020년06월_계_40~49세,"34,856","2,083","6,763","1,937","1,622",733,"1,852","2,103",512,511,257,"2,633","10,455","1,884","1,511"
2020년06월_계_50~59세,"35,092","2,549","5,461","2,544","2,148","1,110","1,905","1,996",887,913,462,"3,062","7,748","2,346","1,961"
2020년06월_계_60~69세,"24,850","2,325","3,257","1,962","1,667","1,025","1,513","1,475",933,"1,000",643,"2,334","3,396","1,818","1,502"
2020년06월_계_70~79세,"12,926","1,417","1,569",984,902,571,826,875,548,667,405,"1,126","1,416",914,706
2020년06월_계_80~89세,"6,582",788,779,438,484,308,416,390,354,419,338,484,683,414,287
2020년06월_계_90~99세,936,90,101,83,87,48,65,71,40,64,49,51,94,55,38
2020년06월_계_100세 이상,65,11,5,6,4,1,6,4,2,7,4,4,3,5,3
2020년06월_남_총인구수,"113,002","7,544","18,867","7,165","5,662","3,332","7,546","7,407","2,395","2,545","1,383","8,594","26,959","8,318","5,285"
2020년06월_남_연령구간인구수,"113,002","7,544","18,867","7,165","5,662","3,332","7,546","7,407","2,395","2,545","1,383","8,594","26,959","8,318","5,285"
2020년06월_남_0~9세,"10,012",523,"1,756",538,419,176,694,665,88,92,42,537,"3,653",515,314
2020년06월_남_10~19세,"12,306",745,"2,343",632,451,426,908,612,141,132,64,812,"4,148",499,393
2020년06월_남_20~29세,"16,744",942,"2,886",903,700,377,"1,212","1,260",253,231,110,"1,478","3,531","2,056",805
2020년06월_남_30~39세,"16,415",811,"2,764",969,642,394,"1,284","1,373",227,247,90,"1,237","4,098","1,481",798
2020년06월_남_40~49세,"18,038","1,093","3,478","1,065",865,436,"1,061","1,143",299,309,162,"1,273","5,034","1,029",791
2020년06월_남_50~59세,"18,203","1,314","2,915","1,344","1,089",607,"1,032","1,062",489,506,241,"1,453","3,954","1,202",995
2020년06월_남_60~69세,"12,675","1,149","1,692","1,051",850,533,797,746,495,531,339,"1,101","1,711",917,763
2020년06월_남_70~79세,"5,961",656,720,471,426,260,389,388,261,326,196,525,596,437,310
2020년06월_남_80~89세,"2,403",280,292,171,196,113,147,142,130,158,123,164,218,164,105
2020년06월_남_90~99세,226,27,21,19,24,10,20,14,12,10,15,14,15,15,10
2020년06월_남_100세 이상,19,4,0,2,0,0,2,2,0,3,1,0,1,3,1
2020년06월_여_총인구수,"105,463","7,257","17,229","6,435","5,456","2,875","6,250","7,105","2,057","2,277","1,305","8,722","27,022","6,441","5,032"
2020년06월_여_연령구간인구수,"105,463","7,257","17,229","6,435","5,456","2,875","6,250","7,105","2,057","2,277","1,305","8,722","27,022","6,441","5,032"
2020년06월_여_0~9세,"9,420",491,"1,722",522,398,155,688,612,68,102,29,495,"3,402",456,280
2020년06월_여_10~19세,"11,050",663,"2,196",505,399,289,678,626,119,108,58,766,"3,755",455,433
2020년06월_여_20~29세,"12,892",629,"2,030",750,582,325,782,"1,243",150,175,83,"1,299","3,177",953,714
2020년06월_여_30~39세,"14,319",734,"2,464",827,613,269,967,"1,207",130,154,54,998,"4,422",908,572
2020년06월_여_40~49세,"16,818",990,"3,285",872,757,297,791,960,213,202,95,"1,360","5,421",855,720
2020년06월_여_50~59세,"16,889","1,235","2,546","1,200","1,059",503,873,934,398,407,221,"1,609","3,794","1,144",966
2020년06월_여_60~69세,"12,175","1,176","1,565",911,817,492,716,729,438,469,304,"1,233","1,685",901,739
2020년06월_여_70~79세,"6,965",761,849,513,476,311,437,487,287,341,209,601,820,477,396
2020년06월_여_80~89세,"4,179",508,487,267,288,195,269,248,224,261,215,320,465,250,182
2020년06월_여_90~99세,710,63,80,64,63,38,45,57,28,54,34,37,79,40,28
2020년06월_여_100세 이상,46,7,5,4,4,1,4,2,2,4,3,4,2,2,2
