,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020년05월_계_총인구수,"126,120","2,110","5,222","2,999","3,968","4,692","5,011","1,830","7,552","14,451","17,400","14,157","10,656","10,796","12,708","12,568"
2020년05월_계_연령구간인구수,"126,120","2,110","5,222","2,999","3,968","4,692","5,011","1,830","7,552","14,451","17,400","14,157","10,656","10,796","12,708","12,568"
2020년05월_계_0~9세,"7,113",185,207,90,195,189,143,53,267,600,"1,172",799,621,777,757,"1,058"
2020년05월_계_10~19세,"7,188",116,207,158,176,340,210,36,302,889,"1,034",928,600,875,542,775
2020년05월_계_20~29세,"18,564",211,519,351,692,"1,213",745,208,"1,290","2,423","2,079","2,019","1,670","1,506","2,130","1,508"
2020년05월_계_30~39세,"20,356",432,558,397,607,664,760,285,"1,271","2,292","2,501","2,236","1,772","1,375","2,871","2,335"
2020년05월_계_40~49세,"18,453",459,678,444,486,596,621,196,"1,103","2,132","2,545","2,040","1,613","1,655","1,843","2,042"
2020년05월_계_50~59세,"20,973",310,"1,008",514,610,601,876,352,"1,368","2,365","2,911","2,388","1,875","1,981","1,809","2,005"
2020년05월_계_60~69세,"17,163",231,"1,063",534,608,507,867,396,996,"1,936","2,584","1,890","1,283","1,371","1,478","1,419"
2020년05월_계_70~79세,"10,570",106,573,332,359,373,531,197,649,"1,233","1,649","1,170",831,772,878,917
2020년05월_계_80~89세,"4,686",45,282,143,174,174,207,76,244,490,769,589,333,408,342,410
2020년05월_계_90~99세,858,10,84,27,52,32,36,21,54,78,147,90,46,62,50,69
2020년05월_계_100세 이상,196,5,43,9,9,3,15,10,8,13,9,8,12,14,8,30
2020년05월_남_총인구수,"61,747","1,020","2,806","1,273","2,037","2,384","2,646","1,106","3,750","7,047","8,204","6,715","5,193","5,197","6,086","6,283"
2020년05월_남_연령구간인구수,"61,747","1,020","2,806","1,273","2,037","2,384","2,646","1,106","3,750","7,047","8,204","6,715","5,193","5,197","6,086","6,283"
2020년05월_남_0~9세,"3,610",95,112,52,104,101,71,27,106,313,557,404,305,420,398,545
2020년05월_남_10~19세,"3,609",35,88,63,94,160,111,14,157,485,528,472,301,436,266,399
2020년05월_남_20~29세,"8,921",84,230,163,348,662,364,96,594,"1,180","1,053",988,778,746,894,741
2020년05월_남_30~39세,"10,208",210,276,195,333,349,418,170,656,"1,203","1,174","1,117",893,643,"1,430","1,141"
2020년05월_남_40~49세,"9,388",239,379,190,277,323,342,127,594,"1,072","1,274",971,836,809,903,"1,052"
2020년05월_남_50~59세,"10,678",157,610,210,340,306,498,245,726,"1,147","1,379","1,169",970,944,926,"1,051"
2020년05월_남_60~69세,"8,532",129,634,231,287,248,457,269,494,895,"1,200",897,630,695,720,746
2020년05월_남_70~79세,"4,744",51,292,121,173,162,281,109,308,552,725,452,350,341,412,415
2020년05월_남_80~89세,"1,730",16,132,37,62,63,81,37,97,181,271,215,117,140,122,159
2020년05월_남_90~99세,263,3,34,8,16,10,17,8,15,16,39,27,13,19,15,23
2020년05월_남_100세 이상,64,1,19,3,3,0,6,4,3,3,4,3,0,4,0,11
2020년05월_여_총인구수,"64,373","1,090","2,416","1,726","1,931","2,308","2,365",724,"3,802","7,404","9,196","7,442","5,463","5,599","6,622","6,285"
2020년05월_여_연령구간인구수,"64,373","1,090","2,416","1,726","1,931","2,308","2,365",724,"3,802","7,404","9,196","7,442","5,463","5,599","6,622","6,285"
2020년05월_여_0~9세,"3,503",90,95,38,91,88,72,26,161,287,615,395,316,357,359,513
2020년05월_여_10~19세,"3,579",81,119,95,82,180,99,22,145,404,506,456,299,439,276,376
2020년05월_여_20~29세,"9,643",127,289,188,344,551,381,112,696,"1,243","1,026","1,031",892,760,"1,236",767
2020년05월_여_30~39세,"10,148",222,282,202,274,315,342,115,615,"1,089","1,327","1,119",879,732,"1,441","1,194"
2020년05월_여_40~49세,"9,065",220,299,254,209,273,279,69,509,"1,060","1,271","1,069",777,846,940,990
2020년05월_여_50~59세,"10,295",153,398,304,270,295,378,107,642,"1,218","1,532","1,219",905,"1,037",883,954
2020년05월_여_60~69세,"8,631",102,429,303,321,259,410,127,502,"1,041","1,384",993,653,676,758,673
2020년05월_여_70~79세,"5,826",55,281,211,186,211,250,88,341,681,924,718,481,431,466,502
2020년05월_여_80~89세,"2,956",29,150,106,112,111,126,39,147,309,498,374,216,268,220,251
2020년05월_여_90~99세,595,7,50,19,36,22,19,13,39,62,108,63,33,43,35,46
2020년05월_여_100세 이상,132,4,24,6,6,3,9,6,5,10,5,5,12,10,8,19
