카테고리,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년08월_계_총인구수,"275,508","33,785","54,106","16,194","27,700","17,504","19,431","22,399","17,075","21,270","20,500","25,544"
2020년08월_계_연령구간인구수,"275,508","33,785","54,106","16,194","27,700","17,504","19,431","22,399","17,075","21,270","20,500","25,544"
2020년08월_계_0~9세,"21,403","2,040","4,906",711,"2,373",867,"1,271","2,042","1,132","1,954","2,285","1,822"
2020년08월_계_10~19세,"27,097","2,734","6,255",896,"2,835","1,207","1,509","2,210","1,669","3,205","1,754","2,823"
2020년08월_계_20~29세,"38,475","5,402","7,347","2,488","3,860","2,754","2,799","2,835","2,160","2,559","2,624","3,647"
2020년08월_계_30~39세,"39,082","4,692","7,402","2,203","3,653","2,367","3,286","3,890","2,213","2,285","3,779","3,312"
2020년08월_계_40~49세,"45,110","5,105","9,359","2,127","4,507","2,574","2,863","3,889","2,782","4,240","3,283","4,381"
2020년08월_계_50~59세,"48,395","6,609","9,393","3,142","4,851","3,566","3,217","3,435","2,989","3,548","3,250","4,395"
2020년08월_계_60~69세,"32,315","4,444","5,745","2,611","3,452","2,595","2,437","2,240","2,048","1,862","2,179","2,702"
2020년08월_계_70~79세,"14,991","1,864","2,469","1,327","1,369","1,102","1,276","1,123","1,214",949,910,"1,388"
2020년08월_계_80~89세,"7,417",753,"1,043",591,677,406,673,652,766,588,366,902
2020년08월_계_90~99세,"1,147",131,171,90,119,58,95,83,97,76,65,162
2020년08월_계_100세 이상,76,11,16,8,4,8,5,0,5,4,5,10
2020년08월_남_총인구수,"136,823","17,794","26,905","8,089","13,441","9,114","9,243","10,929","8,173","10,380","10,321","12,434"
2020년08월_남_연령구간인구수,"136,823","17,794","26,905","8,089","13,441","9,114","9,243","10,929","8,173","10,380","10,321","12,434"
2020년08월_남_0~9세,"10,945","1,036","2,526",373,"1,195",463,655,"1,035",533,"1,043","1,134",952
2020년08월_남_10~19세,"13,948","1,416","3,210",460,"1,474",634,766,"1,148",873,"1,614",908,"1,445"
2020년08월_남_20~29세,"20,122","2,982","3,790","1,340","2,001","1,473","1,409","1,491","1,110","1,350","1,332","1,844"
2020년08월_남_30~39세,"20,317","2,688","3,779","1,275","1,774","1,347","1,701","1,944","1,114","1,070","1,954","1,671"
2020년08월_남_40~49세,"22,171","2,714","4,555","1,119","2,114","1,379","1,371","1,857","1,355","1,945","1,698","2,064"
2020년08월_남_50~59세,"23,687","3,438","4,574","1,482","2,259","1,828","1,470","1,650","1,421","1,774","1,569","2,222"
2020년08월_남_60~69세,"15,989","2,305","2,905","1,242","1,727","1,303","1,127","1,054",945,937,"1,125","1,319"
2020년08월_남_70~79세,"6,703",889,"1,162",588,618,530,498,475,487,407,457,592
2020년08월_남_80~89세,"2,613",289,354,188,247,141,221,252,299,211,129,282
2020년08월_남_90~99세,305,33,45,21,31,13,24,23,33,28,13,41
2020년08월_남_100세 이상,23,4,5,1,1,3,1,0,3,1,2,2
2020년08월_여_총인구수,"138,685","15,991","27,201","8,105","14,259","8,390","10,188","11,470","8,902","10,890","10,179","13,110"
2020년08월_여_연령구간인구수,"138,685","15,991","27,201","8,105","14,259","8,390","10,188","11,470","8,902","10,890","10,179","13,110"
2020년08월_여_0~9세,"10,458","1,004","2,380",338,"1,178",404,616,"1,007",599,911,"1,151",870
2020년08월_여_10~19세,"13,149","1,318","3,045",436,"1,361",573,743,"1,062",796,"1,591",846,"1,378"
2020년08월_여_20~29세,"18,353","2,420","3,557","1,148","1,859","1,281","1,390","1,344","1,050","1,209","1,292","1,803"
2020년08월_여_30~39세,"18,765","2,004","3,623",928,"1,879","1,020","1,585","1,946","1,099","1,215","1,825","1,641"
2020년08월_여_40~49세,"22,939","2,391","4,804","1,008","2,393","1,195","1,492","2,032","1,427","2,295","1,585","2,317"
2020년08월_여_50~59세,"24,708","3,171","4,819","1,660","2,592","1,738","1,747","1,785","1,568","1,774","1,681","2,173"
2020년08월_여_60~69세,"16,326","2,139","2,840","1,369","1,725","1,292","1,310","1,186","1,103",925,"1,054","1,383"
2020년08월_여_70~79세,"8,288",975,"1,307",739,751,572,778,648,727,542,453,796
2020년08월_여_80~89세,"4,804",464,689,403,430,265,452,400,467,377,237,620
2020년08월_여_90~99세,842,98,126,69,88,45,71,60,64,48,52,121
2020년08월_여_100세 이상,53,7,11,7,3,5,4,0,2,3,3,8
