,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동
2020년03월_계_총인구수,"374,913","109,630","43,645","22,860","9,111","14,451","1,502","2,695","43,504","60,751","66,764"
2020년03월_계_연령구간인구수,"374,913","109,630","43,645","22,860","9,111","14,451","1,502","2,695","43,504","60,751","66,764"
2020년03월_계_0~9세,"35,963","11,408","3,800","1,446",520,"1,058",46,159,"4,177","5,077","8,272"
2020년03월_계_10~19세,"33,457","8,658","4,587","1,886",605,"1,173",71,220,"4,069","5,727","6,461"
2020년03월_계_20~29세,"44,167","13,098","5,096","2,854",975,"1,107",113,188,"5,702","7,837","7,197"
2020년03월_계_30~39세,"59,016","20,620","5,882","2,758",984,"1,448",92,237,"6,706","8,527","11,762"
2020년03월_계_40~49세,"65,252","19,149","7,818","3,652","1,306","2,335",165,401,"7,388","10,603","12,435"
2020년03월_계_50~59세,"62,020","16,764","7,490","4,531","1,784","2,480",260,508,"7,400","11,033","9,770"
2020년03월_계_60~69세,"44,821","11,976","5,259","3,243","1,652","2,717",371,498,"4,883","7,417","6,805"
2020년03월_계_70~79세,"21,155","5,662","2,544","1,597",821,"1,486",239,299,"2,260","3,280","2,967"
2020년03월_계_80~89세,"7,793","1,967","1,024",767,397,548,125,156,795,"1,080",934
2020년03월_계_90~99세,"1,174",313,141,107,59,93,20,27,108,149,157
2020년03월_계_100세 이상,95,15,4,19,8,6,0,2,16,21,4
2020년03월_남_총인구수,"191,945","55,652","22,716","12,212","5,024","7,386",774,"1,439","22,168","30,765","33,809"
2020년03월_남_연령구간인구수,"191,945","55,652","22,716","12,212","5,024","7,386",774,"1,439","22,168","30,765","33,809"
2020년03월_남_0~9세,"18,493","5,878","1,953",729,280,537,21,80,"2,208","2,568","4,239"
2020년03월_남_10~19세,"17,142","4,473","2,324",994,315,635,43,116,"2,057","2,868","3,317"
2020년03월_남_20~29세,"23,285","6,828","2,712","1,597",573,611,57,90,"2,967","4,169","3,681"
2020년03월_남_30~39세,"30,869","10,813","3,120","1,531",577,736,45,132,"3,448","4,539","5,928"
2020년03월_남_40~49세,"34,576","10,195","4,178","1,994",776,"1,296",91,233,"3,846","5,465","6,502"
2020년03월_남_50~59세,"31,586","8,171","4,042","2,522","1,007","1,264",143,289,"3,774","5,453","4,921"
2020년03월_남_60~69세,"22,540","5,786","2,755","1,743",910,"1,328",201,281,"2,481","3,706","3,349"
2020년03월_남_70~79세,"10,266","2,701","1,228",784,416,755,112,145,"1,067","1,563","1,495"
2020년03월_남_80~89세,"2,912",732,378,288,154,202,53,67,298,395,345
2020년03월_남_90~99세,254,71,25,25,14,21,8,6,16,36,32
2020년03월_남_100세 이상,22,4,1,5,2,1,0,0,6,3,0
2020년03월_여_총인구수,"182,968","53,978","20,929","10,648","4,087","7,065",728,"1,256","21,336","29,986","32,955"
2020년03월_여_연령구간인구수,"182,968","53,978","20,929","10,648","4,087","7,065",728,"1,256","21,336","29,986","32,955"
2020년03월_여_0~9세,"17,470","5,530","1,847",717,240,521,25,79,"1,969","2,509","4,033"
2020년03월_여_10~19세,"16,315","4,185","2,263",892,290,538,28,104,"2,012","2,859","3,144"
2020년03월_여_20~29세,"20,882","6,270","2,384","1,257",402,496,56,98,"2,735","3,668","3,516"
2020년03월_여_30~39세,"28,147","9,807","2,762","1,227",407,712,47,105,"3,258","3,988","5,834"
2020년03월_여_40~49세,"30,676","8,954","3,640","1,658",530,"1,039",74,168,"3,542","5,138","5,933"
2020년03월_여_50~59세,"30,434","8,593","3,448","2,009",777,"1,216",117,219,"3,626","5,580","4,849"
2020년03월_여_60~69세,"22,281","6,190","2,504","1,500",742,"1,389",170,217,"2,402","3,711","3,456"
2020년03월_여_70~79세,"10,889","2,961","1,316",813,405,731,127,154,"1,193","1,717","1,472"
2020년03월_여_80~89세,"4,881","1,235",646,479,243,346,72,89,497,685,589
2020년03월_여_90~99세,920,242,116,82,45,72,12,21,92,113,125
2020년03월_여_100세 이상,73,11,3,14,6,5,0,2,10,18,4
