,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년04월_계_총인구수,"176,276","14,000","12,293","14,835","27,643","11,301","25,936","18,644","9,516","13,572","28,536"
2021년04월_계_연령구간인구수,"176,276","14,000","12,293","14,835","27,643","11,301","25,936","18,644","9,516","13,572","28,536"
2021년04월_계_0~9세,"10,242",715,885,581,"1,676",673,"1,227","1,079",285,884,"2,237"
2021년04월_계_10~19세,"11,656","1,187","1,166",658,"1,930",810,"1,568","1,257",403,897,"1,780"
2021년04월_계_20~29세,"24,180","1,837","1,351","1,812","3,037","1,206","5,070","2,879","1,867","1,779","3,342"
2021년04월_계_30~39세,"23,820","1,657","1,249","1,749","3,340","1,394","4,144","2,719","1,411","2,018","4,139"
2021년04월_계_40~49세,"25,258","2,015","1,944","1,890","3,771","1,659","3,561","2,834","1,187","2,062","4,335"
2021년04월_계_50~59세,"27,345","2,444","2,182","2,290","4,281","1,869","3,545","2,713","1,320","2,091","4,610"
2021년04월_계_60~69세,"28,842","2,133","1,938","2,969","5,187","2,003","3,668","2,639","1,617","2,023","4,665"
2021년04월_계_70~79세,"17,085","1,278","1,087","1,966","2,966","1,216","2,185","1,742","1,006","1,209","2,430"
2021년04월_계_80~89세,"6,931",634,410,821,"1,275",416,854,699,385,557,880
2021년04월_계_90~99세,882,98,73,95,178,54,108,75,34,50,117
2021년04월_계_100세 이상,35,2,8,4,2,1,6,8,1,2,1
2021년04월_남_총인구수,"83,320","6,439","5,711","7,119","13,224","5,556","12,114","8,665","4,545","6,165","13,782"
2021년04월_남_연령구간인구수,"83,320","6,439","5,711","7,119","13,224","5,556","12,114","8,665","4,545","6,165","13,782"
2021년04월_남_0~9세,"5,274",344,449,317,870,344,637,548,152,476,"1,137"
2021년04월_남_10~19세,"5,997",602,585,339,"1,005",432,863,628,206,434,903
2021년04월_남_20~29세,"11,738",896,697,904,"1,575",666,"2,216","1,329",840,842,"1,773"
2021년04월_남_30~39세,"11,893",803,586,928,"1,678",748,"2,080","1,321",741,943,"2,065"
2021년04월_남_40~49세,"12,439",939,863,"1,009","1,901",854,"1,743","1,391",615,926,"2,198"
2021년04월_남_50~59세,"12,636","1,126",960,"1,085","1,965",907,"1,608","1,259",652,942,"2,132"
2021년04월_남_60~69세,"12,806",934,887,"1,301","2,304",898,"1,603","1,155",753,857,"2,114"
2021년04월_남_70~79세,"7,655",526,510,888,"1,381",528,"1,012",729,435,529,"1,117"
2021년04월_남_80~89세,"2,653",235,160,326,492,173,319,279,144,205,320
2021년04월_남_90~99세,221,33,12,22,53,6,31,23,7,11,23
2021년04월_남_100세 이상,8,1,2,0,0,0,2,3,0,0,0
2021년04월_여_총인구수,"92,956","7,561","6,582","7,716","14,419","5,745","13,822","9,979","4,971","7,407","14,754"
2021년04월_여_연령구간인구수,"92,956","7,561","6,582","7,716","14,419","5,745","13,822","9,979","4,971","7,407","14,754"
2021년04월_여_0~9세,"4,968",371,436,264,806,329,590,531,133,408,"1,100"
2021년04월_여_10~19세,"5,659",585,581,319,925,378,705,629,197,463,877
2021년04월_여_20~29세,"12,442",941,654,908,"1,462",540,"2,854","1,550","1,027",937,"1,569"
2021년04월_여_30~39세,"11,927",854,663,821,"1,662",646,"2,064","1,398",670,"1,075","2,074"
2021년04월_여_40~49세,"12,819","1,076","1,081",881,"1,870",805,"1,818","1,443",572,"1,136","2,137"
2021년04월_여_50~59세,"14,709","1,318","1,222","1,205","2,316",962,"1,937","1,454",668,"1,149","2,478"
2021년04월_여_60~69세,"16,036","1,199","1,051","1,668","2,883","1,105","2,065","1,484",864,"1,166","2,551"
2021년04월_여_70~79세,"9,430",752,577,"1,078","1,585",688,"1,173","1,013",571,680,"1,313"
2021년04월_여_80~89세,"4,278",399,250,495,783,243,535,420,241,352,560
2021년04월_여_90~99세,661,65,61,73,125,48,77,52,27,39,94
2021년04월_여_100세 이상,27,1,6,4,2,1,4,5,1,2,1
