카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년10월_계_총인구수,"146,513","12,415","9,322","11,031","17,280","11,675","10,985","11,136","11,256","7,689","9,736","16,030","9,430","8,528"
2020년10월_계_연령구간인구수,"146,513","12,415","9,322","11,031","17,280","11,675","10,985","11,136","11,256","7,689","9,736","16,030","9,430","8,528"
2020년10월_계_0~9세,"6,822",807,397,709,854,532,395,377,480,271,566,780,343,311
2020년10월_계_10~19세,"9,460","1,050",526,903,"1,372",770,649,628,640,429,634,921,488,450
2020년10월_계_20~29세,"20,427","1,236","1,153","1,140","2,089","1,792","2,036","1,554","1,642","1,478","1,426","2,438","1,408","1,035"
2020년10월_계_30~39세,"17,193","1,319","1,156","1,142","1,911","1,437","1,371","1,144","1,229",901,"1,344","2,184","1,140",915
2020년10월_계_40~49세,"20,429","2,006","1,376","1,520","2,576","1,611","1,436","1,516","1,408",928,"1,434","2,350","1,198","1,070"
2020년10월_계_50~59세,"25,040","1,966","1,665","1,864","2,975","2,056","1,731","2,026","2,029","1,252","1,577","2,702","1,656","1,541"
2020년10월_계_60~69세,"23,808","1,757","1,499","1,858","2,800","1,840","1,632","1,987","2,066","1,174","1,435","2,393","1,673","1,694"
2020년10월_계_70~79세,"15,128","1,381",943,"1,154","1,700","1,113","1,137","1,295","1,210",812,854,"1,520",999,"1,010"
2020년10월_계_80~89세,"7,191",757,543,634,883,448,529,534,493,398,411,635,475,451
2020년10월_계_90~99세,930,128,58,100,108,73,62,65,52,41,50,97,48,48
2020년10월_계_100세 이상,85,8,6,7,12,3,7,10,7,5,5,10,2,3
2020년10월_남_총인구수,"70,433","5,863","4,475","5,290","8,198","5,690","5,177","5,551","5,499","3,670","4,675","7,802","4,468","4,075"
2020년10월_남_연령구간인구수,"70,433","5,863","4,475","5,290","8,198","5,690","5,177","5,551","5,499","3,670","4,675","7,802","4,468","4,075"
2020년10월_남_0~9세,"3,536",448,197,368,453,277,194,204,237,159,277,393,177,152
2020년10월_남_10~19세,"4,981",567,290,464,698,421,308,337,347,231,332,489,256,241
2020년10월_남_20~29세,"10,266",623,547,607,"1,053",904,954,814,874,664,709,"1,262",698,557
2020년10월_남_30~39세,"8,991",660,625,577,980,745,707,639,680,476,670,"1,117",597,518
2020년10월_남_40~49세,"10,312",976,701,728,"1,213",839,746,838,729,496,710,"1,200",602,534
2020년10월_남_50~59세,"12,193",969,828,872,"1,478",962,858,"1,068",988,610,779,"1,291",768,722
2020년10월_남_60~69세,"10,888",772,702,869,"1,248",858,754,906,945,537,678,"1,106",757,756
2020년10월_남_70~79세,"6,440",541,377,523,709,505,460,549,528,346,372,669,439,422
2020년10월_남_80~89세,"2,582",276,196,248,338,160,177,182,158,138,140,247,161,161
2020년10월_남_90~99세,226,31,10,32,26,19,16,13,10,12,8,26,12,11
2020년10월_남_100세 이상,18,0,2,2,2,0,3,1,3,1,0,2,1,1
2020년10월_여_총인구수,"76,080","6,552","4,847","5,741","9,082","5,985","5,808","5,585","5,757","4,019","5,061","8,228","4,962","4,453"
2020년10월_여_연령구간인구수,"76,080","6,552","4,847","5,741","9,082","5,985","5,808","5,585","5,757","4,019","5,061","8,228","4,962","4,453"
2020년10월_여_0~9세,"3,286",359,200,341,401,255,201,173,243,112,289,387,166,159
2020년10월_여_10~19세,"4,479",483,236,439,674,349,341,291,293,198,302,432,232,209
2020년10월_여_20~29세,"10,161",613,606,533,"1,036",888,"1,082",740,768,814,717,"1,176",710,478
2020년10월_여_30~39세,"8,202",659,531,565,931,692,664,505,549,425,674,"1,067",543,397
2020년10월_여_40~49세,"10,117","1,030",675,792,"1,363",772,690,678,679,432,724,"1,150",596,536
2020년10월_여_50~59세,"12,847",997,837,992,"1,497","1,094",873,958,"1,041",642,798,"1,411",888,819
2020년10월_여_60~69세,"12,920",985,797,989,"1,552",982,878,"1,081","1,121",637,757,"1,287",916,938
2020년10월_여_70~79세,"8,688",840,566,631,991,608,677,746,682,466,482,851,560,588
2020년10월_여_80~89세,"4,609",481,347,386,545,288,352,352,335,260,271,388,314,290
2020년10월_여_90~99세,704,97,48,68,82,54,46,52,42,29,42,71,36,37
2020년10월_여_100세 이상,67,8,4,5,10,3,4,9,4,4,5,8,1,2
