카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년06월_계_총인구수,"115,120","10,841","4,177","9,021","9,365","7,370","5,344","6,882","18,676","29,214","3,602","10,628"
2020년06월_계_연령구간인구수,"115,120","10,841","4,177","9,021","9,365","7,370","5,344","6,882","18,676","29,214","3,602","10,628"
2020년06월_계_0~9세,"5,505",409,188,431,248,384,156,395,"1,088","1,631",189,386
2020년06월_계_10~19세,"7,706",555,258,613,524,433,288,461,"1,450","2,342",199,583
2020년06월_계_20~29세,"12,247","1,052",466,901,828,730,507,624,"2,009","3,530",626,974
2020년06월_계_30~39세,"11,132","1,060",400,837,682,804,419,691,"1,933","3,003",343,960
2020년06월_계_40~49세,"15,581","1,401",538,"1,154","1,181",988,695,"1,020","2,724","4,133",450,"1,297"
2020년06월_계_50~59세,"20,083","1,983",738,"1,579","1,716","1,207",953,"1,107","3,258","5,180",487,"1,875"
2020년06월_계_60~69세,"21,778","2,157",816,"1,701","1,864","1,440","1,055","1,240","3,343","5,122",676,"2,364"
2020년06월_계_70~79세,"14,551","1,517",536,"1,227","1,568",882,905,924,"2,005","3,005",447,"1,535"
2020년06월_계_80~89세,"5,679",617,202,488,659,417,327,349,756,"1,128",155,581
2020년06월_계_90~99세,727,82,26,78,83,56,31,59,95,124,28,65
2020년06월_계_100세 이상,131,8,9,12,12,29,8,12,15,16,2,8
2020년06월_남_총인구수,"56,700","5,399","2,020","4,385","4,685","3,614","2,661","3,343","9,273","14,265","1,896","5,159"
2020년06월_남_연령구간인구수,"56,700","5,399","2,020","4,385","4,685","3,614","2,661","3,343","9,273","14,265","1,896","5,159"
2020년06월_남_0~9세,"2,774",205,101,220,140,188,72,198,547,812,100,191
2020년06월_남_10~19세,"3,983",285,141,332,277,221,148,239,759,"1,183",100,298
2020년06월_남_20~29세,"6,677",542,244,490,432,386,285,322,"1,094","1,955",390,537
2020년06월_남_30~39세,"5,975",569,219,438,402,428,251,355,"1,039","1,558",198,518
2020년06월_남_40~49세,"8,186",781,263,573,683,547,396,534,"1,399","2,049",257,704
2020년06월_남_50~59세,"10,197","1,110",368,779,954,626,509,567,"1,631","2,465",254,934
2020년06월_남_60~69세,"10,396","1,029",364,815,895,671,483,589,"1,580","2,469",334,"1,167"
2020년06월_남_70~79세,"6,328",648,232,526,644,392,371,405,936,"1,353",197,624
2020년06월_남_80~89세,"2,015",221,80,190,241,136,134,119,264,396,55,179
2020년06월_남_90~99세,136,7,4,19,12,15,8,12,18,25,10,6
2020년06월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년06월_여_총인구수,"58,420","5,442","2,157","4,636","4,680","3,756","2,683","3,539","9,403","14,949","1,706","5,469"
2020년06월_여_연령구간인구수,"58,420","5,442","2,157","4,636","4,680","3,756","2,683","3,539","9,403","14,949","1,706","5,469"
2020년06월_여_0~9세,"2,731",204,87,211,108,196,84,197,541,819,89,195
2020년06월_여_10~19세,"3,723",270,117,281,247,212,140,222,691,"1,159",99,285
2020년06월_여_20~29세,"5,570",510,222,411,396,344,222,302,915,"1,575",236,437
2020년06월_여_30~39세,"5,157",491,181,399,280,376,168,336,894,"1,445",145,442
2020년06월_여_40~49세,"7,395",620,275,581,498,441,299,486,"1,325","2,084",193,593
2020년06월_여_50~59세,"9,886",873,370,800,762,581,444,540,"1,627","2,715",233,941
2020년06월_여_60~69세,"11,382","1,128",452,886,969,769,572,651,"1,763","2,653",342,"1,197"
2020년06월_여_70~79세,"8,223",869,304,701,924,490,534,519,"1,069","1,652",250,911
2020년06월_여_80~89세,"3,664",396,122,298,418,281,193,230,492,732,100,402
2020년06월_여_90~99세,591,75,22,59,71,41,23,47,77,99,18,59
2020년06월_여_100세 이상,98,6,5,9,7,25,4,9,9,16,1,7
