,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021년08월_계_총인구수,"261,659","47,489","4,782","13,315","50,380","38,671","29,556","25,372","22,957","7,842","3,666","17,629"
2021년08월_계_연령구간인구수,"261,659","47,489","4,782","13,315","50,380","38,671","29,556","25,372","22,957","7,842","3,666","17,629"
2021년08월_계_0~9세,"29,015","3,125",296,747,"5,636","6,162","5,111","2,551","2,365",397,100,"2,525"
2021년08월_계_10~19세,"24,241","4,362",164,"1,314","6,008","3,576","3,548","1,780","1,697",479,125,"1,188"
2021년08월_계_20~29세,"28,675","6,228",493,"1,798","5,491","3,823","2,393","2,566","3,109",659,270,"1,845"
2021년08월_계_30~39세,"40,887","5,081",596,"1,299","6,862","8,131","5,960","3,886","4,226",606,276,"3,964"
2021년08월_계_40~49세,"44,278","6,824",569,"2,393","9,597","7,313","6,076","3,731","3,586",915,311,"2,963"
2021년08월_계_50~59세,"40,871","9,587",916,"2,997","7,866","4,914","2,998","4,255","3,142","1,333",790,"2,073"
2021년08월_계_60~69세,"31,917","7,433",939,"1,715","5,508","3,204","2,202","3,963","2,718","1,674",872,"1,689"
2021년08월_계_70~79세,"14,344","3,290",491,661,"2,422","1,130",843,"1,784","1,373","1,025",510,815
2021년08월_계_80~89세,"6,574","1,386",278,351,876,371,369,769,666,641,361,506
2021년08월_계_90~99세,836,169,39,38,113,45,54,87,73,108,49,61
2021년08월_계_100세 이상,21,4,1,2,1,2,2,0,2,5,2,0
2021년08월_남_총인구수,"132,793","23,583","2,580","7,066","24,872","19,700","15,006","12,806","12,061","3,899","1,974","9,246"
2021년08월_남_연령구간인구수,"132,793","23,583","2,580","7,066","24,872","19,700","15,006","12,806","12,061","3,899","1,974","9,246"
2021년08월_남_0~9세,"14,781","1,609",152,369,"2,839","3,150","2,601","1,332","1,210",206,48,"1,265"
2021년08월_남_10~19세,"12,628","2,245",78,695,"3,136","1,847","1,855",939,890,259,64,620
2021년08월_남_20~29세,"15,792","3,419",292,"1,086","2,904","1,992","1,319","1,369","1,809",388,169,"1,045"
2021년08월_남_30~39세,"21,378","2,735",344,708,"3,400","4,127","2,957","2,015","2,413",305,167,"2,207"
2021년08월_남_40~49세,"23,080","3,276",355,"1,291","4,731","3,948","3,129","1,999","2,006",483,198,"1,664"
2021년08월_남_50~59세,"20,390","4,618",500,"1,618","3,744","2,419","1,546","2,085","1,592",710,469,"1,089"
2021년08월_남_60~69세,"15,780","3,650",533,913,"2,615","1,586","1,065","1,949","1,342",811,500,816
2021년08월_남_70~79세,"6,655","1,498",229,276,"1,174",523,406,831,589,505,246,378
2021년08월_남_80~89세,"2,144",499,90,103,310,101,111,268,195,209,104,154
2021년08월_남_90~99세,160,34,7,7,19,7,17,19,14,20,8,8
2021년08월_남_100세 이상,5,0,0,0,0,0,0,0,1,3,1,0
2021년08월_여_총인구수,"128,866","23,906","2,202","6,249","25,508","18,971","14,550","12,566","10,896","3,943","1,692","8,383"
2021년08월_여_연령구간인구수,"128,866","23,906","2,202","6,249","25,508","18,971","14,550","12,566","10,896","3,943","1,692","8,383"
2021년08월_여_0~9세,"14,234","1,516",144,378,"2,797","3,012","2,510","1,219","1,155",191,52,"1,260"
2021년08월_여_10~19세,"11,613","2,117",86,619,"2,872","1,729","1,693",841,807,220,61,568
2021년08월_여_20~29세,"12,883","2,809",201,712,"2,587","1,831","1,074","1,197","1,300",271,101,800
2021년08월_여_30~39세,"19,509","2,346",252,591,"3,462","4,004","3,003","1,871","1,813",301,109,"1,757"
2021년08월_여_40~49세,"21,198","3,548",214,"1,102","4,866","3,365","2,947","1,732","1,580",432,113,"1,299"
2021년08월_여_50~59세,"20,481","4,969",416,"1,379","4,122","2,495","1,452","2,170","1,550",623,321,984
2021년08월_여_60~69세,"16,137","3,783",406,802,"2,893","1,618","1,137","2,014","1,376",863,372,873
2021년08월_여_70~79세,"7,689","1,792",262,385,"1,248",607,437,953,784,520,264,437
2021년08월_여_80~89세,"4,430",887,188,248,566,270,258,501,471,432,257,352
2021년08월_여_90~99세,676,135,32,31,94,38,37,68,59,88,41,53
2021년08월_여_100세 이상,16,4,1,2,1,2,2,0,1,2,1,0
