카테고리,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년07월_계_총인구수,"99,228","4,579","3,726","5,981","8,029","8,955","10,489","4,409","4,810","3,190","8,350","12,036","8,183","16,491"
2020년07월_계_연령구간인구수,"99,228","4,579","3,726","5,981","8,029","8,955","10,489","4,409","4,810","3,190","8,350","12,036","8,183","16,491"
2020년07월_계_0~9세,"6,633",72,109,179,747,562,612,223,226,88,789,660,564,"1,802"
2020년07월_계_10~19세,"7,209",147,214,255,756,681,853,333,401,139,574,976,670,"1,210"
2020년07월_계_20~29세,"14,209","1,063",643,785,944,"1,208","1,369",812,909,785,"1,165","1,442",989,"2,095"
2020년07월_계_30~39세,"12,494",610,359,648,939,"1,174","1,133",490,434,381,"1,204","1,134","1,068","2,920"
2020년07월_계_40~49세,"13,607",519,507,803,"1,224","1,304","1,369",608,652,347,"1,154","1,548","1,112","2,460"
2020년07월_계_50~59세,"15,390",692,517,"1,093","1,144","1,452","1,800",625,755,453,"1,248","1,872","1,340","2,399"
2020년07월_계_60~69세,"14,290",765,590,"1,115","1,004","1,203","1,615",617,637,469,"1,068","2,002","1,258","1,947"
2020년07월_계_70~79세,"10,148",491,506,735,854,908,"1,167",454,495,340,790,"1,510",815,"1,083"
2020년07월_계_80~89세,"4,545",183,242,321,371,406,514,208,261,165,312,774,312,476
2020년07월_계_90~99세,634,32,36,43,43,52,54,32,37,21,35,111,50,88
2020년07월_계_100세 이상,69,5,3,4,3,5,3,7,3,2,11,7,5,11
2020년07월_남_총인구수,"49,043","2,344","1,868","3,229","3,927","4,455","5,127","2,233","2,455","1,632","3,998","5,718","3,979","8,078"
2020년07월_남_연령구간인구수,"49,043","2,344","1,868","3,229","3,927","4,455","5,127","2,233","2,455","1,632","3,998","5,718","3,979","8,078"
2020년07월_남_0~9세,"3,448",37,53,89,403,290,308,140,125,44,419,332,302,906
2020년07월_남_10~19세,"3,753",66,115,139,403,360,435,177,226,62,273,519,343,635
2020년07월_남_20~29세,"7,289",418,333,439,521,628,708,424,518,397,554,762,504,"1,083"
2020년07월_남_30~39세,"6,515",356,209,373,466,619,588,275,228,215,597,575,545,"1,469"
2020년07월_남_40~49세,"7,117",325,267,489,587,701,713,320,348,212,603,736,579,"1,237"
2020년07월_남_50~59세,"7,607",386,268,639,570,734,851,320,375,243,607,872,629,"1,113"
2020년07월_남_60~69세,"6,749",396,287,578,456,575,756,283,293,230,483,894,587,931
2020년07월_남_70~79세,"4,477",265,204,337,349,377,522,195,217,146,333,656,367,509
2020년07월_남_80~89세,"1,902",86,122,135,157,157,227,90,114,76,120,333,110,175
2020년07월_남_90~99세,172,9,10,11,14,13,19,6,11,6,7,35,13,18
2020년07월_남_100세 이상,14,0,0,0,1,1,0,3,0,1,2,4,0,2
2020년07월_여_총인구수,"50,185","2,235","1,858","2,752","4,102","4,500","5,362","2,176","2,355","1,558","4,352","6,318","4,204","8,413"
2020년07월_여_연령구간인구수,"50,185","2,235","1,858","2,752","4,102","4,500","5,362","2,176","2,355","1,558","4,352","6,318","4,204","8,413"
2020년07월_여_0~9세,"3,185",35,56,90,344,272,304,83,101,44,370,328,262,896
2020년07월_여_10~19세,"3,456",81,99,116,353,321,418,156,175,77,301,457,327,575
2020년07월_여_20~29세,"6,920",645,310,346,423,580,661,388,391,388,611,680,485,"1,012"
2020년07월_여_30~39세,"5,979",254,150,275,473,555,545,215,206,166,607,559,523,"1,451"
2020년07월_여_40~49세,"6,490",194,240,314,637,603,656,288,304,135,551,812,533,"1,223"
2020년07월_여_50~59세,"7,783",306,249,454,574,718,949,305,380,210,641,"1,000",711,"1,286"
2020년07월_여_60~69세,"7,541",369,303,537,548,628,859,334,344,239,585,"1,108",671,"1,016"
2020년07월_여_70~79세,"5,671",226,302,398,505,531,645,259,278,194,457,854,448,574
2020년07월_여_80~89세,"2,643",97,120,186,214,249,287,118,147,89,192,441,202,301
2020년07월_여_90~99세,462,23,26,32,29,39,35,26,26,15,28,76,37,70
2020년07월_여_100세 이상,55,5,3,4,2,4,3,4,3,1,9,3,5,9
