,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년03월_계_총인구수,"233,601","15,955","14,593","13,169","13,964","4,714","15,850","5,526","6,661","9,533","10,409","13,494","26,170","6,661","13,785","22,662","12,789","27,666"
2021년03월_계_연령구간인구수,"233,601","15,955","14,593","13,169","13,964","4,714","15,850","5,526","6,661","9,533","10,409","13,494","26,170","6,661","13,785","22,662","12,789","27,666"
2021년03월_계_0~9세,"14,722",870,"1,479",690,895,174,697,163,295,502,616,"1,148","1,919",335,903,"1,900",624,"1,512"
2021년03월_계_10~19세,"21,695","1,018","2,436","1,209","1,122",297,"1,129",255,441,728,782,"1,629","3,097",355,961,"2,846","1,087","2,303"
2021년03월_계_20~29세,"30,652","2,817","1,596","1,566","2,431",481,"1,813","1,054",777,"1,781","1,462","1,476","3,053",884,"1,786","2,866","1,530","3,279"
2021년03월_계_30~39세,"25,704","2,345","1,499","1,342","1,940",456,"1,605",617,641,"1,250","1,289","1,524","2,354",890,"1,608","2,389","1,263","2,692"
2021년03월_계_40~49세,"36,309","2,469","3,256","2,059","2,140",598,"2,067",606,873,"1,368","1,453","2,427","4,383",961,"1,899","3,951","1,849","3,950"
2021년03월_계_50~59세,"39,189","2,615","2,079","2,344","1,994",831,"2,808",907,"1,221","1,471","1,733","2,211","4,456","1,137","2,224","3,528","2,394","5,236"
2021년03월_계_60~69세,"34,091","2,159","1,204","2,090","1,822",900,"3,034",928,"1,237","1,167","1,463","1,569","3,525","1,185","2,239","2,603","2,066","4,900"
2021년03월_계_70~79세,"20,597","1,113",688,"1,213","1,063",635,"1,880",621,740,815,967,"1,022","2,226",619,"1,469","1,679","1,234","2,613"
2021년03월_계_80~89세,"9,312",470,313,574,462,307,720,331,370,393,554,440,"1,003",265,610,799,663,"1,038"
2021년03월_계_90~99세,"1,284",75,39,79,92,34,90,42,65,55,90,48,147,30,84,99,76,139
