카테고리,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년10월_계_총인구수,"103,443","4,607","3,913","10,976","9,723","8,591","10,426","4,271","4,613","3,085","7,750","11,454","7,843","16,191"
2021년10월_계_연령구간인구수,"103,443","4,607","3,913","10,976","9,723","8,591","10,426","4,271","4,613","3,085","7,750","11,454","7,843","16,191"
2021년10월_계_0~9세,"7,284",67,89,965,"1,040",509,597,169,200,77,717,565,518,"1,771"
2021년10월_계_10~19세,"7,250",131,190,607,842,629,788,325,355,131,537,896,639,"1,180"
2021년10월_계_20~29세,"14,937","1,228",826,"1,423","1,078","1,174","1,308",886,935,921,"1,035","1,296",919,"1,908"
2021년10월_계_30~39세,"13,443",647,463,"1,878","1,370","1,062","1,087",458,410,348,"1,031","1,034",958,"2,697"
2021년10월_계_40~49세,"13,993",488,476,"1,535","1,508","1,185","1,375",543,570,316,"1,082","1,396","1,058","2,461"
2021년10월_계_50~59세,"15,545",613,499,"1,685","1,277","1,445","1,726",612,735,378,"1,171","1,781","1,253","2,370"
2021년10월_계_60~69세,"15,111",743,573,"1,523","1,175","1,233","1,725",583,622,427,"1,047","2,035","1,305","2,120"
2021년10월_계_70~79세,"10,229",469,499,928,916,869,"1,179",426,479,307,751,"1,484",818,"1,104"
2021년10월_계_80~89세,"4,935",190,259,365,462,427,577,234,266,158,340,834,325,498
2021년10월_계_90~99세,682,30,37,62,53,55,61,28,40,20,38,129,49,80
2021년10월_계_100세 이상,34,1,2,5,2,3,3,7,1,2,1,4,1,2
2021년10월_남_총인구수,"51,016","2,355","1,971","5,693","4,732","4,303","5,058","2,161","2,357","1,650","3,680","5,407","3,790","7,859"
2021년10월_남_연령구간인구수,"51,016","2,355","1,971","5,693","4,732","4,303","5,058","2,161","2,357","1,650","3,680","5,407","3,790","7,859"
2021년10월_남_0~9세,"3,762",41,38,490,547,277,304,100,116,34,369,284,278,884
2021년10월_남_10~19세,"3,709",58,97,313,444,324,392,161,197,58,268,473,331,593
2021년10월_남_20~29세,"7,668",485,416,745,587,648,668,475,522,489,492,691,468,982
2021년10월_남_30~39세,"6,948",353,275,"1,021",689,539,554,269,220,207,485,527,476,"1,333"
2021년10월_남_40~49세,"7,319",309,256,837,734,645,719,293,295,201,560,658,557,"1,255"
2021년10월_남_50~59세,"7,701",358,257,920,622,725,844,300,377,221,570,830,588,"1,089"
2021년10월_남_60~69세,"7,115",397,281,772,529,589,785,280,299,215,470,898,592,"1,008"
2021년10월_남_70~79세,"4,525",257,206,437,373,375,512,181,197,143,318,638,373,515
2021년10월_남_80~89세,"2,060",86,134,144,188,166,259,93,118,74,134,361,117,186
2021년10월_남_90~99세,202,11,11,14,18,15,21,6,16,7,14,45,10,14
2021년10월_남_100세 이상,7,0,0,0,1,0,0,3,0,1,0,2,0,0
2021년10월_여_총인구수,"52,427","2,252","1,942","5,283","4,991","4,288","5,368","2,110","2,256","1,435","4,070","6,047","4,053","8,332"
2021년10월_여_연령구간인구수,"52,427","2,252","1,942","5,283","4,991","4,288","5,368","2,110","2,256","1,435","4,070","6,047","4,053","8,332"
2021년10월_여_0~9세,"3,522",26,51,475,493,232,293,69,84,43,348,281,240,887
2021년10월_여_10~19세,"3,541",73,93,294,398,305,396,164,158,73,269,423,308,587
2021년10월_여_20~29세,"7,269",743,410,678,491,526,640,411,413,432,543,605,451,926
2021년10월_여_30~39세,"6,495",294,188,857,681,523,533,189,190,141,546,507,482,"1,364"
2021년10월_여_40~49세,"6,674",179,220,698,774,540,656,250,275,115,522,738,501,"1,206"
2021년10월_여_50~59세,"7,844",255,242,765,655,720,882,312,358,157,601,951,665,"1,281"
2021년10월_여_60~69세,"7,996",346,292,751,646,644,940,303,323,212,577,"1,137",713,"1,112"
2021년10월_여_70~79세,"5,704",212,293,491,543,494,667,245,282,164,433,846,445,589
2021년10월_여_80~89세,"2,875",104,125,221,274,261,318,141,148,84,206,473,208,312
2021년10월_여_90~99세,480,19,26,48,35,40,40,22,24,13,24,84,39,66
2021년10월_여_100세 이상,27,1,2,5,1,3,3,4,1,1,1,2,1,2
