,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021년06월_계_총인구수,"810,742","63,584","89,210","41,337","130,310","86,028","81,215","56,522","95,543","83,045","83,948"
2021년06월_계_연령구간인구수,"810,742","63,584","89,210","41,337","130,310","86,028","81,215","56,522","95,543","83,045","83,948"
2021년06월_계_0~9세,"54,912","2,936","5,346","2,658","9,513","7,726","4,489","3,680","9,406","4,329","4,829"
2021년06월_계_10~19세,"68,850","3,784","7,046","3,816","11,115","9,705","6,230","4,260","9,304","6,799","6,791"
2021년06월_계_20~29세,"115,111","10,016","12,708","5,975","19,145","12,014","11,459","7,639","11,194","12,433","12,528"
2021년06월_계_30~39세,"113,556","9,268","11,838","5,385","21,243","12,468","11,025","8,063","13,900","9,656","10,710"
2021년06월_계_40~49세,"126,947","9,404","13,659","6,245","20,456","15,062","12,157","7,814","17,324","12,177","12,649"
2021년06월_계_50~59세,"145,209","11,580","16,317","7,547","22,380","15,219","14,465","9,992","14,293","16,738","16,678"
2021년06월_계_60~69세,"115,568","9,958","13,576","6,070","17,356","9,336","12,883","9,306","12,103","12,575","12,405"
2021년06월_계_70~79세,"46,953","4,608","5,887","2,391","5,934","2,934","5,725","3,930","5,280","5,408","4,856"
2021년06월_계_80~89세,"20,341","1,771","2,496","1,042","2,660","1,313","2,398","1,591","2,332","2,561","2,177"
2021년06월_계_90~99세,"3,143",246,315,196,488,245,367,232,384,359,311
2021년06월_계_100세 이상,152,13,22,12,20,6,17,15,23,10,14
2021년06월_남_총인구수,"402,000","32,347","44,580","20,444","62,923","42,263","40,223","27,885","46,824","41,564","42,947"
2021년06월_남_연령구간인구수,"402,000","32,347","44,580","20,444","62,923","42,263","40,223","27,885","46,824","41,564","42,947"
2021년06월_남_0~9세,"28,239","1,569","2,743","1,375","4,884","3,931","2,317","1,891","4,857","2,189","2,483"
2021년06월_남_10~19세,"35,310","1,926","3,665","1,982","5,626","4,959","3,229","2,132","4,629","3,563","3,599"
2021년06월_남_20~29세,"59,321","5,154","6,613","3,059","9,323","6,142","6,036","3,992","5,765","6,535","6,702"
2021년06월_남_30~39세,"58,466","5,101","6,162","2,746","10,518","5,996","5,894","4,254","6,795","5,176","5,824"
2021년06월_남_40~49세,"64,023","5,143","7,103","3,084","9,778","7,083","6,191","3,920","8,805","6,199","6,717"
2021년06월_남_50~59세,"70,430","5,838","8,051","3,641","10,330","7,382","6,896","4,684","6,838","8,340","8,430"
2021년06월_남_60~69세,"56,847","4,782","6,574","3,000","8,725","4,876","6,076","4,487","5,780","6,291","6,256"
2021년06월_남_70~79세,"21,710","2,161","2,692","1,160","2,786","1,418","2,614","1,894","2,460","2,352","2,173"
2021년06월_남_80~89세,"6,909",628,886,341,854,421,890,571,798,834,686
2021년06월_남_90~99세,705,43,85,52,94,52,75,57,89,84,74
2021년06월_남_100세 이상,40,2,6,4,5,3,5,3,8,1,3
2021년06월_여_총인구수,"408,742","31,237","44,630","20,893","67,387","43,765","40,992","28,637","48,719","41,481","41,001"
2021년06월_여_연령구간인구수,"408,742","31,237","44,630","20,893","67,387","43,765","40,992","28,637","48,719","41,481","41,001"
2021년06월_여_0~9세,"26,673","1,367","2,603","1,283","4,629","3,795","2,172","1,789","4,549","2,140","2,346"
2021년06월_여_10~19세,"33,540","1,858","3,381","1,834","5,489","4,746","3,001","2,128","4,675","3,236","3,192"
2021년06월_여_20~29세,"55,790","4,862","6,095","2,916","9,822","5,872","5,423","3,647","5,429","5,898","5,826"
2021년06월_여_30~39세,"55,090","4,167","5,676","2,639","10,725","6,472","5,131","3,809","7,105","4,480","4,886"
2021년06월_여_40~49세,"62,924","4,261","6,556","3,161","10,678","7,979","5,966","3,894","8,519","5,978","5,932"
2021년06월_여_50~59세,"74,779","5,742","8,266","3,906","12,050","7,837","7,569","5,308","7,455","8,398","8,248"
2021년06월_여_60~69세,"58,721","5,176","7,002","3,070","8,631","4,460","6,807","4,819","6,323","6,284","6,149"
2021년06월_여_70~79세,"25,243","2,447","3,195","1,231","3,148","1,516","3,111","2,036","2,820","3,056","2,683"
2021년06월_여_80~89세,"13,432","1,143","1,610",701,"1,806",892,"1,508","1,020","1,534","1,727","1,491"
2021년06월_여_90~99세,"2,438",203,230,144,394,193,292,175,295,275,237
2021년06월_여_100세 이상,112,11,16,8,15,3,12,12,15,9,11
