,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년04월_계_총인구수,"377,696","21,199","28,546","33,459","20,537","37,261","17,954","32,886","17,691","22,237","17,247","16,720","12,288","10,889","19,152","20,010","14,755","12,193","22,672"
2021년04월_계_연령구간인구수,"377,696","21,199","28,546","33,459","20,537","37,261","17,954","32,886","17,691","22,237","17,247","16,720","12,288","10,889","19,152","20,010","14,755","12,193","22,672"
2021년04월_계_0~9세,"25,496","1,380","1,205","2,836","1,088","2,773",950,"3,333","1,269","1,612",567,"1,146",852,808,"1,174","2,079",871,425,"1,128"
2021년04월_계_10~19세,"24,036","1,228",874,"2,897",966,"2,269",931,"2,921","1,017","1,529",855,"1,146",825,745,"1,239","1,705",859,586,"1,444"
2021년04월_계_20~29세,"59,252","2,851","7,112","3,795","3,557","7,276","2,735","3,776","2,792","3,741","3,424","2,174","1,560","1,334","3,217","2,710","2,162","1,900","3,136"
2021년04월_계_30~39세,"69,380","3,236","7,144","5,102","4,235","8,170","3,216","6,147","4,486","5,208","2,983","2,506","1,855","1,579","3,113","3,447","2,001","1,667","3,285"
2021년04월_계_40~49세,"55,967","3,082","3,558","5,350","2,830","5,245","2,688","5,959","2,812","3,271","2,403","2,435","1,911","1,615","2,693","3,296","2,090","1,628","3,101"
2021년04월_계_50~59세,"56,381","3,572","3,562","5,117","3,027","4,774","2,946","4,186","2,061","3,051","2,507","2,859","2,001","1,864","3,022","3,022","2,524","2,148","4,138"
2021년04월_계_60~69세,"47,328","3,252","2,965","4,153","2,672","3,758","2,342","3,573","1,704","2,192","2,277","2,451","1,848","1,682","2,651","2,164","2,176","1,870","3,598"
2021년04월_계_70~79세,"26,867","1,811","1,481","2,570","1,421","1,981","1,416","2,018","1,039","1,091","1,493","1,399",971,883,"1,390","1,078","1,458","1,386","1,981"
2021년04월_계_80~89세,"11,446",684,557,"1,443",662,880,645,846,447,472,661,530,413,333,581,451,540,525,776
2021년04월_계_90~99세,"1,477",96,87,189,75,129,81,119,61,68,73,69,49,44,71,56,70,56,84
2021년04월_계_100세 이상,66,7,1,7,4,6,4,8,3,2,4,5,3,2,1,2,4,2,1
2021년04월_남_총인구수,"186,652","10,839","15,209","15,743","10,103","17,392","9,050","16,090","8,697","11,021","8,787","8,240","6,117","5,293","9,371","10,007","7,310","6,009","11,374"
