,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년12월_계_총인구수,"147,274","43,812","8,661","4,588","7,715","12,507","2,168","4,860","9,403","6,222","8,465","2,803","2,753","18,856","14,461"
2020년12월_계_연령구간인구수,"147,274","43,812","8,661","4,588","7,715","12,507","2,168","4,860","9,403","6,222","8,465","2,803","2,753","18,856","14,461"
2020년12월_계_0~9세,"8,579","2,847",614,112,222,660,48,191,502,513,647,58,197,"1,250",718
2020년12월_계_10~19세,"12,243","4,895",581,194,434,965,81,255,690,365,439,148,146,"1,865","1,185"
2020년12월_계_20~29세,"17,841","5,805",941,437,794,"1,501",187,416,939,843,972,230,296,"2,551","1,929"
2020년12월_계_30~39세,"14,576","4,279","1,109",336,614,"1,199",122,297,850,876,"1,004",125,353,"1,992","1,420"
2020년12월_계_40~49세,"20,472","7,220","1,138",547,885,"1,668",207,510,"1,204",633,891,254,272,"2,767","2,276"
2020년12월_계_50~59세,"29,176","8,933","1,642","1,104","1,906","2,523",382,"1,027","1,590",900,"1,300",548,458,"3,624","3,239"
2020년12월_계_60~69세,"24,393","5,800","1,474","1,035","1,643","2,277",567,"1,088","1,821","1,018","1,496",666,540,"2,731","2,237"
2020년12월_계_70~79세,"12,465","2,570",716,505,715,"1,079",366,671,"1,088",685,"1,015",490,297,"1,343",925
2020년12월_계_80~89세,"6,475","1,253",386,285,428,542,187,353,598,351,577,252,169,627,467
2020년12월_계_90~99세,976,198,59,31,72,86,21,48,113,35,107,29,24,95,58
2020년12월_계_100세 이상,78,12,1,2,2,7,0,4,8,3,17,3,1,11,7
2020년12월_남_총인구수,"77,905","22,353","4,667","2,626","4,514","6,886","1,215","2,637","4,859","3,372","4,512","1,466","1,451","9,552","7,795"
2020년12월_남_연령구간인구수,"77,905","22,353","4,667","2,626","4,514","6,886","1,215","2,637","4,859","3,372","4,512","1,466","1,451","9,552","7,795"
2020년12월_남_0~9세,"4,439","1,456",319,69,113,357,29,96,261,259,343,25,97,627,388
2020년12월_남_10~19세,"6,406","2,533",298,112,223,539,51,134,371,171,220,71,66,995,622
2020년12월_남_20~29세,"10,344","3,136",549,268,470,914,128,249,564,578,662,149,171,"1,403","1,103"
2020년12월_남_30~39세,"8,108","2,187",618,209,389,688,83,176,503,518,603,83,202,"1,065",784
2020년12월_남_40~49세,"11,026","3,585",645,348,573,910,118,321,674,373,516,153,156,"1,402","1,252"
2020년12월_남_50~59세,"15,988","4,734",892,647,"1,195","1,464",232,599,824,487,712,296,238,"1,844","1,824"
2020년12월_남_60~69세,"13,211","3,055",837,608,998,"1,273",315,614,928,533,775,349,310,"1,399","1,217"
2020년12월_남_70~79세,"5,757","1,182",352,239,370,511,169,297,495,325,427,232,151,574,433
2020년12월_남_80~89세,"2,366",442,143,121,170,207,83,132,207,117,222,97,54,218,153
2020년12월_남_90~99세,230,39,13,4,12,22,7,17,27,11,26,8,6,21,17
2020년12월_남_100세 이상,30,4,1,1,1,1,0,2,5,0,6,3,0,4,2
2020년12월_여_총인구수,"69,369","21,459","3,994","1,962","3,201","5,621",953,"2,223","4,544","2,850","3,953","1,337","1,302","9,304","6,666"
2020년12월_여_연령구간인구수,"69,369","21,459","3,994","1,962","3,201","5,621",953,"2,223","4,544","2,850","3,953","1,337","1,302","9,304","6,666"
2020년12월_여_0~9세,"4,140","1,391",295,43,109,303,19,95,241,254,304,33,100,623,330
2020년12월_여_10~19세,"5,837","2,362",283,82,211,426,30,121,319,194,219,77,80,870,563
2020년12월_여_20~29세,"7,497","2,669",392,169,324,587,59,167,375,265,310,81,125,"1,148",826
2020년12월_여_30~39세,"6,468","2,092",491,127,225,511,39,121,347,358,401,42,151,927,636
2020년12월_여_40~49세,"9,446","3,635",493,199,312,758,89,189,530,260,375,101,116,"1,365","1,024"
2020년12월_여_50~59세,"13,188","4,199",750,457,711,"1,059",150,428,766,413,588,252,220,"1,780","1,415"
2020년12월_여_60~69세,"11,182","2,745",637,427,645,"1,004",252,474,893,485,721,317,230,"1,332","1,020"
2020년12월_여_70~79세,"6,708","1,388",364,266,345,568,197,374,593,360,588,258,146,769,492
2020년12월_여_80~89세,"4,109",811,243,164,258,335,104,221,391,234,355,155,115,409,314
2020년12월_여_90~99세,746,159,46,27,60,64,14,31,86,24,81,21,18,74,41
2020년12월_여_100세 이상,48,8,0,1,1,6,0,2,3,3,11,0,1,7,5
