,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년01월_계_총인구수,"231,634","23,162","42,177","19,004","24,594","15,557","33,711","21,910","11,074","20,761","19,684"
2021년01월_계_연령구간인구수,"231,634","23,162","42,177","19,004","24,594","15,557","33,711","21,910","11,074","20,761","19,684"
2021년01월_계_0~9세,"12,413",689,"3,220",881,"1,014",647,"1,821","1,551",547,"1,097",946
2021년01월_계_10~19세,"14,577",698,"2,312","1,203","1,352",976,"2,300","2,129",691,"1,486","1,430"
2021년01월_계_20~29세,"37,102","6,577","7,269","2,853","3,890","2,296","5,028","2,486","1,432","2,722","2,549"
2021년01월_계_30~39세,"35,474","5,485","8,400","2,473","3,584","1,995","4,787","2,468","1,423","2,585","2,274"
2021년01월_계_40~49세,"32,844","2,738","6,261","2,610","3,265","2,098","4,978","3,486","1,549","2,962","2,897"
2021년01월_계_50~59세,"40,225","2,983","6,206","3,804","4,764","3,262","5,944","3,810","1,998","3,910","3,544"
2021년01월_계_60~69세,"33,317","2,370","4,891","3,047","3,913","2,486","4,876","3,279","1,944","3,422","3,089"
2021년01월_계_70~79세,"18,097","1,183","2,570","1,556","1,951","1,317","2,787","1,836","1,068","1,836","1,993"
2021년01월_계_80~89세,"6,520",375,925,492,726,415,995,717,376,645,854
2021년01월_계_90~99세,885,55,107,69,112,49,172,108,42,80,91
2021년01월_계_100세 이상,180,9,16,16,23,16,23,40,4,16,17
2021년01월_남_총인구수,"117,141","12,663","21,705","9,618","12,338","7,843","16,822","10,568","5,499","10,281","9,804"
2021년01월_남_연령구간인구수,"117,141","12,663","21,705","9,618","12,338","7,843","16,822","10,568","5,499","10,281","9,804"
2021년01월_남_0~9세,"6,356",326,"1,666",442,549,344,933,782,276,554,484
2021년01월_남_10~19세,"7,343",345,"1,142",647,650,478,"1,233","1,044",338,749,717
2021년01월_남_20~29세,"18,676","3,052","3,639","1,490","1,931","1,169","2,560","1,285",763,"1,424","1,363"
2021년01월_남_30~39세,"19,637","3,414","4,674","1,334","1,993","1,097","2,560","1,202",762,"1,376","1,225"
2021년01월_남_40~49세,"17,258","1,710","3,420","1,328","1,698","1,049","2,530","1,724",804,"1,484","1,511"
2021년01월_남_50~59세,"20,192","1,745","3,128","1,916","2,361","1,663","2,929","1,795",966,"1,879","1,810"
2021년01월_남_60~69세,"16,339","1,295","2,457","1,491","1,907","1,229","2,347","1,569",913,"1,666","1,465"
2021년01월_남_70~79세,"8,455",601,"1,150",759,929,624,"1,288",848,517,862,877
2021년01월_남_80~89세,"2,592",161,398,186,285,173,383,276,155,253,322
2021년01월_남_90~99세,233,11,28,20,29,13,52,22,5,28,25
2021년01월_남_100세 이상,60,3,3,5,6,4,7,21,0,6,5
2021년01월_여_총인구수,"114,493","10,499","20,472","9,386","12,256","7,714","16,889","11,342","5,575","10,480","9,880"
2021년01월_여_연령구간인구수,"114,493","10,499","20,472","9,386","12,256","7,714","16,889","11,342","5,575","10,480","9,880"
2021년01월_여_0~9세,"6,057",363,"1,554",439,465,303,888,769,271,543,462
2021년01월_여_10~19세,"7,234",353,"1,170",556,702,498,"1,067","1,085",353,737,713
2021년01월_여_20~29세,"18,426","3,525","3,630","1,363","1,959","1,127","2,468","1,201",669,"1,298","1,186"
2021년01월_여_30~39세,"15,837","2,071","3,726","1,139","1,591",898,"2,227","1,266",661,"1,209","1,049"
2021년01월_여_40~49세,"15,586","1,028","2,841","1,282","1,567","1,049","2,448","1,762",745,"1,478","1,386"
2021년01월_여_50~59세,"20,033","1,238","3,078","1,888","2,403","1,599","3,015","2,015","1,032","2,031","1,734"
2021년01월_여_60~69세,"16,978","1,075","2,434","1,556","2,006","1,257","2,529","1,710","1,031","1,756","1,624"
2021년01월_여_70~79세,"9,642",582,"1,420",797,"1,022",693,"1,499",988,551,974,"1,116"
2021년01월_여_80~89세,"3,928",214,527,306,441,242,612,441,221,392,532
2021년01월_여_90~99세,652,44,79,49,83,36,120,86,37,52,66
2021년01월_여_100세 이상,120,6,13,11,17,12,16,19,4,10,12
