,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년11월_계_총인구수,"297,214","4,016","4,775","11,137","5,135","8,667","10,792","30,622","25,153","24,048","15,839","21,015","10,329","15,878","5,935","20,659","29,169","37,648","16,397"
2020년11월_계_연령구간인구수,"297,214","4,016","4,775","11,137","5,135","8,667","10,792","30,622","25,153","24,048","15,839","21,015","10,329","15,878","5,935","20,659","29,169","37,648","16,397"
2020년11월_계_0~9세,"21,883",101,401,594,180,574,882,"2,192","1,685","1,210",891,"2,404",574,"1,091",391,"1,298","2,681","3,110","1,624"
2020년11월_계_10~19세,"31,753",156,361,682,273,625,"1,319","3,145","2,499","1,741","1,108","2,378","1,042","1,636",415,"2,129","4,445","5,318","2,481"
2020년11월_계_20~29세,"45,446",420,507,"1,693",881,"1,126","1,665","5,475","4,762","4,316","3,044","2,508","1,587","2,186",747,"3,070","4,086","5,477","1,896"
2020년11월_계_30~39세,"36,898",359,627,"1,556",620,"1,038","1,453","4,413","3,625","2,963","2,381","3,041","1,080","1,734",710,"2,100","3,196","4,248","1,754"
2020년11월_계_40~49세,"49,019",454,718,"1,559",687,"1,331","1,921","4,968","4,031","3,284","2,267","3,643","1,430","2,260",744,"3,025","5,737","7,535","3,425"
2020년11월_계_50~59세,"49,525",668,691,"1,756",897,"1,607","1,755","5,356","3,978","4,079","2,350","3,008","1,758","2,698","1,191","3,966","5,063","6,201","2,503"
2020년11월_계_60~69세,"34,238",769,773,"1,538",783,"1,256",932,"2,737","2,592","3,429","1,906","2,407","1,576","2,592",944,"2,938","2,262","3,145","1,659"
2020년11월_계_70~79세,"19,208",751,498,"1,200",550,744,544,"1,523","1,418","2,039","1,210","1,175",865,"1,147",484,"1,405","1,155","1,741",759
2020년11월_계_80~89세,"7,966",293,172,488,237,305,278,727,480,855,594,375,347,455,248,644,465,758,245
2020년11월_계_90~99세,"1,202",37,27,67,26,51,42,84,80,118,84,74,66,74,55,81,72,114,50
2020년11월_계_100세 이상,76,8,0,4,1,10,1,2,3,14,4,2,4,5,6,3,7,1,1
2020년11월_남_총인구수,"145,703","1,972","2,331","5,521","2,657","4,437","5,512","14,667","12,542","11,735","7,564","10,559","5,096","7,666","3,071","9,846","14,265","18,493","7,769"
2020년11월_남_연령구간인구수,"145,703","1,972","2,331","5,521","2,657","4,437","5,512","14,667","12,542","11,735","7,564","10,559","5,096","7,666","3,071","9,846","14,265","18,493","7,769"
2020년11월_남_0~9세,"11,376",55,216,296,98,315,488,"1,092",825,642,464,"1,287",313,579,197,690,"1,426","1,588",805
2020년11월_남_10~19세,"16,674",83,189,383,162,308,676,"1,630","1,231",893,577,"1,394",578,910,225,"1,148","2,236","2,805","1,246"
2020년11월_남_20~29세,"23,329",231,283,829,453,586,899,"2,637","2,433","2,122","1,365","1,352",894,"1,176",403,"1,618","2,190","2,827","1,031"
2020년11월_남_30~39세,"18,668",197,309,834,356,559,782,"2,197","1,913","1,602","1,224","1,474",563,866,388,"1,027","1,509","2,091",777
2020년11월_남_40~49세,"23,612",275,396,802,382,748,954,"2,242","2,035","1,680","1,187","1,799",695,"1,041",387,"1,351","2,576","3,473","1,589"
2020년11월_남_50~59세,"24,288",345,336,909,450,823,940,"2,565","2,009","1,988","1,137","1,440",810,"1,169",652,"1,817","2,551","3,134","1,213"
2020년11월_남_60~69세,"16,079",351,327,695,379,613,459,"1,362","1,207","1,624",818,"1,113",712,"1,221",503,"1,387","1,071","1,535",702
2020년11월_남_70~79세,"8,556",314,209,567,264,359,200,642,690,875,538,550,395,532,231,608,519,739,324
2020년11월_남_80~89세,"2,849",112,60,192,109,107,105,273,178,285,232,139,124,155,77,187,170,270,74
2020년11월_남_90~99세,262,7,6,13,4,17,9,26,21,23,21,11,12,17,8,13,16,30,8
2020년11월_남_100세 이상,10,2,0,1,0,2,0,1,0,1,1,0,0,0,0,0,1,1,0
2020년11월_여_총인구수,"151,511","2,044","2,444","5,616","2,478","4,230","5,280","15,955","12,611","12,313","8,275","10,456","5,233","8,212","2,864","10,813","14,904","19,155","8,628"
2020년11월_여_연령구간인구수,"151,511","2,044","2,444","5,616","2,478","4,230","5,280","15,955","12,611","12,313","8,275","10,456","5,233","8,212","2,864","10,813","14,904","19,155","8,628"
2020년11월_여_0~9세,"10,507",46,185,298,82,259,394,"1,100",860,568,427,"1,117",261,512,194,608,"1,255","1,522",819
2020년11월_여_10~19세,"15,079",73,172,299,111,317,643,"1,515","1,268",848,531,984,464,726,190,981,"2,209","2,513","1,235"
