카테고리,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년02월_계_총인구수,"147,770","44,509","8,653","4,656","7,749","12,553","2,191","4,907","9,460","6,109","8,576","2,822","2,729","18,478","14,378"
2020년02월_계_연령구간인구수,"147,770","44,509","8,653","4,656","7,749","12,553","2,191","4,907","9,460","6,109","8,576","2,822","2,729","18,478","14,378"
2020년02월_계_0~9세,"9,153","3,112",606,131,239,741,52,208,551,538,663,74,200,"1,275",763
2020년02월_계_10~19세,"12,916","5,229",599,226,421,"1,015",95,285,707,379,471,143,159,"1,934","1,253"
2020년02월_계_20~29세,"17,685","5,822","1,001",462,815,"1,459",189,426,950,780,936,234,269,"2,468","1,874"
2020년02월_계_30~39세,"14,913","4,515","1,110",351,622,"1,266",128,318,874,825,"1,052",134,342,"1,941","1,435"
2020년02월_계_40~49세,"21,308","7,613","1,156",569,965,"1,734",228,552,"1,229",634,889,277,276,"2,838","2,348"
2020년02월_계_50~59세,"29,558","9,027","1,666","1,113","1,976","2,551",401,"1,039","1,617",936,"1,407",561,471,"3,533","3,260"
2020년02월_계_60~69세,"22,647","5,250","1,354",989,"1,518","2,124",533,"1,043","1,745",974,"1,430",646,526,"2,482","2,033"
2020년02월_계_70~79세,"12,412","2,545",730,511,710,"1,044",372,676,"1,083",677,"1,055",487,295,"1,310",917
2020년02월_계_80~89세,"6,177","1,187",378,274,416,527,172,311,594,330,550,232,172,593,441
2020년02월_계_90~99세,928,196,51,29,67,86,21,46,103,32,107,31,18,93,48
2020년02월_계_100세 이상,73,13,2,1,0,6,0,3,7,4,16,3,1,11,6
2020년02월_남_총인구수,"77,972","22,697","4,647","2,657","4,528","6,876","1,217","2,657","4,892","3,285","4,552","1,459","1,451","9,368","7,686"
2020년02월_남_연령구간인구수,"77,972","22,697","4,647","2,657","4,528","6,876","1,217","2,657","4,892","3,285","4,552","1,459","1,451","9,368","7,686"
2020년02월_남_0~9세,"4,763","1,590",313,72,120,404,29,97,283,292,345,30,102,657,429
2020년02월_남_10~19세,"6,748","2,712",308,131,220,553,57,142,391,182,241,70,77,"1,023",641
2020년02월_남_20~29세,"10,194","3,160",569,291,490,860,126,259,567,515,635,149,149,"1,376","1,048"
2020년02월_남_30~39세,"8,206","2,289",632,217,380,729,82,187,506,479,614,84,200,"1,014",793
2020년02월_남_40~49세,"11,448","3,780",648,355,632,950,139,339,676,381,511,161,160,"1,436","1,280"
2020년02월_남_50~59세,"16,251","4,805",921,649,"1,221","1,471",231,620,857,497,784,301,254,"1,806","1,834"
2020년02월_남_60~69세,"12,207","2,729",758,587,935,"1,193",295,572,896,508,741,344,299,"1,261","1,089"
2020년02월_남_70~79세,"5,695","1,179",349,236,368,502,173,304,480,309,437,227,146,566,419
2020년02월_남_80~89세,"2,216",411,139,114,152,189,76,118,207,112,209,84,59,205,141
2020년02월_남_90~99세,218,40,9,5,10,24,9,17,24,10,30,6,5,19,10
2020년02월_남_100세 이상,26,2,1,0,0,1,0,2,5,0,5,3,0,5,2
2020년02월_여_총인구수,"69,798","21,812","4,006","1,999","3,221","5,677",974,"2,250","4,568","2,824","4,024","1,363","1,278","9,110","6,692"
2020년02월_여_연령구간인구수,"69,798","21,812","4,006","1,999","3,221","5,677",974,"2,250","4,568","2,824","4,024","1,363","1,278","9,110","6,692"
2020년02월_여_0~9세,"4,390","1,522",293,59,119,337,23,111,268,246,318,44,98,618,334
2020년02월_여_10~19세,"6,168","2,517",291,95,201,462,38,143,316,197,230,73,82,911,612
2020년02월_여_20~29세,"7,491","2,662",432,171,325,599,63,167,383,265,301,85,120,"1,092",826
2020년02월_여_30~39세,"6,707","2,226",478,134,242,537,46,131,368,346,438,50,142,927,642
2020년02월_여_40~49세,"9,860","3,833",508,214,333,784,89,213,553,253,378,116,116,"1,402","1,068"
2020년02월_여_50~59세,"13,307","4,222",745,464,755,"1,080",170,419,760,439,623,260,217,"1,727","1,426"
2020년02월_여_60~69세,"10,440","2,521",596,402,583,931,238,471,849,466,689,302,227,"1,221",944
2020년02월_여_70~79세,"6,717","1,366",381,275,342,542,199,372,603,368,618,260,149,744,498
2020년02월_여_80~89세,"3,961",776,239,160,264,338,96,193,387,218,341,148,113,388,300
2020년02월_여_90~99세,710,156,42,24,57,62,12,29,79,22,77,25,13,74,38
2020년02월_여_100세 이상,47,11,1,1,0,5,0,1,2,4,11,0,1,6,4
