,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년10월_계_총인구수,"102,151","4,583","3,757","9,430","7,915","8,891","10,459","4,386","4,767","3,209","8,220","11,934","8,064","16,536"
2020년10월_계_연령구간인구수,"102,151","4,583","3,757","9,430","7,915","8,891","10,459","4,386","4,767","3,209","8,220","11,934","8,064","16,536"
2020년10월_계_0~9세,"7,078",75,91,730,728,568,602,204,215,80,773,652,545,"1,815"
2020년10월_계_10~19세,"7,286",152,207,518,713,639,841,336,388,136,565,952,650,"1,189"
2020년10월_계_20~29세,"14,714","1,082",681,"1,199",934,"1,204","1,371",838,925,839,"1,160","1,424",973,"2,084"
2020년10월_계_30~39세,"13,264",605,376,"1,539",922,"1,179","1,113",487,432,384,"1,167","1,108","1,050","2,902"
2020년10월_계_40~49세,"13,930",517,505,"1,285","1,200","1,264","1,374",580,629,336,"1,138","1,518","1,100","2,484"
2020년10월_계_50~59세,"15,630",662,516,"1,520","1,129","1,458","1,774",627,748,436,"1,218","1,859","1,299","2,384"
2020년10월_계_60~69세,"14,658",774,590,"1,385","1,010","1,207","1,633",612,641,469,"1,051","2,010","1,273","2,003"
2020년10월_계_70~79세,"10,247",493,511,851,843,904,"1,178",448,487,341,783,"1,504",808,"1,096"
2020년10월_계_80~89세,"4,639",187,241,346,391,411,521,214,262,165,315,794,313,479
2020년10월_계_90~99세,638,31,36,53,42,52,49,33,37,20,39,106,51,89
2020년10월_계_100세 이상,67,5,3,4,3,5,3,7,3,3,11,7,2,11
2020년10월_남_총인구수,"50,495","2,350","1,875","4,976","3,852","4,424","5,099","2,223","2,449","1,662","3,927","5,663","3,906","8,089"
2020년10월_남_연령구간인구수,"50,495","2,350","1,875","4,976","3,852","4,424","5,099","2,223","2,449","1,662","3,927","5,663","3,906","8,089"
2020년10월_남_0~9세,"3,686",41,46,377,391,293,303,129,119,41,412,323,293,918
2020년10월_남_10~19세,"3,794",72,112,277,379,343,432,175,226,64,260,516,328,610
2020년10월_남_20~29세,"7,524",428,338,654,507,627,706,446,526,425,556,745,494,"1,072"
2020년10월_남_30~39세,"6,930",347,216,855,458,617,569,275,227,225,578,563,536,"1,464"
2020년10월_남_40~49세,"7,278",327,262,717,582,682,718,302,342,206,598,724,572,"1,246"
2020년10월_남_50~59세,"7,703",378,272,848,552,732,845,318,367,241,589,857,602,"1,102"
2020년10월_남_60~69세,"6,923",398,286,695,460,584,756,283,302,224,471,906,594,964
2020년10월_남_70~79세,"4,531",263,211,401,337,377,525,194,212,154,330,656,358,513
2020년10월_남_80~89세,"1,937",88,121,140,170,153,230,92,117,75,121,336,115,179
2020년10월_남_90~99세,174,8,11,12,15,15,15,6,11,5,10,33,14,19
2020년10월_남_100세 이상,15,0,0,0,1,1,0,3,0,2,2,4,0,2
2020년10월_여_총인구수,"51,656","2,233","1,882","4,454","4,063","4,467","5,360","2,163","2,318","1,547","4,293","6,271","4,158","8,447"
2020년10월_여_연령구간인구수,"51,656","2,233","1,882","4,454","4,063","4,467","5,360","2,163","2,318","1,547","4,293","6,271","4,158","8,447"
2020년10월_여_0~9세,"3,392",34,45,353,337,275,299,75,96,39,361,329,252,897
2020년10월_여_10~19세,"3,492",80,95,241,334,296,409,161,162,72,305,436,322,579
2020년10월_여_20~29세,"7,190",654,343,545,427,577,665,392,399,414,604,679,479,"1,012"
2020년10월_여_30~39세,"6,334",258,160,684,464,562,544,212,205,159,589,545,514,"1,438"
2020년10월_여_40~49세,"6,652",190,243,568,618,582,656,278,287,130,540,794,528,"1,238"
2020년10월_여_50~59세,"7,927",284,244,672,577,726,929,309,381,195,629,"1,002",697,"1,282"
2020년10월_여_60~69세,"7,735",376,304,690,550,623,877,329,339,245,580,"1,104",679,"1,039"
2020년10월_여_70~79세,"5,716",230,300,450,506,527,653,254,275,187,453,848,450,583
2020년10월_여_80~89세,"2,702",99,120,206,221,258,291,122,145,90,194,458,198,300
2020년10월_여_90~99세,464,23,25,41,27,37,34,27,26,15,29,73,37,70
2020년10월_여_100세 이상,52,5,3,4,2,4,3,4,3,1,9,3,2,9
