,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년05월_계_총인구수,"1,455,533","99,158","299,850","216,758","432,731","407,036"
2020년05월_계_연령구간인구수,"1,455,533","99,158","299,850","216,758","432,731","407,036"
2020년05월_계_0~9세,"123,851","6,661","22,853","17,912","34,511","41,914"
2020년05월_계_10~19세,"160,902","7,292","32,744","23,190","44,145","53,531"
2020년05월_계_20~29세,"208,753","14,096","45,421","28,398","62,857","57,981"
2020년05월_계_30~39세,"189,797","12,510","38,057","26,511","56,609","56,110"
2020년05월_계_40~49세,"243,859","13,656","49,980","34,343","68,416","77,464"
2020년05월_계_50~59세,"234,541","15,454","49,776","33,650","72,688","62,973"
2020년05월_계_60~69세,"157,418","14,164","33,202","27,315","51,266","31,471"
2020년05월_계_70~79세,"91,584","10,095","18,756","17,160","28,736","16,837"
2020년05월_계_80~89세,"38,746","4,538","7,811","7,094","11,727","7,576"
2020년05월_계_90~99세,"5,664",626,"1,176","1,088","1,657","1,117"
2020년05월_계_100세 이상,418,66,74,97,119,62
2020년05월_남_총인구수,"720,300","49,015","147,074","104,351","214,894","204,966"
2020년05월_남_연령구간인구수,"720,300","49,015","147,074","104,351","214,894","204,966"
2020년05월_남_0~9세,"63,618","3,459","11,871","9,146","17,606","21,536"
2020년05월_남_10~19세,"83,574","3,792","17,159","11,704","23,371","27,548"
2020년05월_남_20~29세,"108,939","7,237","23,349","14,572","33,093","30,688"
2020년05월_남_30~39세,"96,596","6,511","19,205","13,154","29,359","28,367"
2020년05월_남_40~49세,"121,039","7,154","24,095","16,848","34,265","38,677"
2020년05월_남_50~59세,"116,270","7,625","24,377","15,895","35,522","32,851"
2020년05월_남_60~69세,"74,935","6,682","15,639","12,535","24,427","15,652"
2020년05월_남_70~79세,"40,545","4,474","8,344","7,698","12,807","7,222"
2020년05월_남_80~89세,"13,514","1,896","2,766","2,543","4,095","2,214"
2020년05월_남_90~99세,"1,217",172,260,243,336,206
2020년05월_남_100세 이상,53,13,9,13,13,5
2020년05월_여_총인구수,"735,233","50,143","152,776","112,407","217,837","202,070"
2020년05월_여_연령구간인구수,"735,233","50,143","152,776","112,407","217,837","202,070"
2020년05월_여_0~9세,"60,233","3,202","10,982","8,766","16,905","20,378"
2020년05월_여_10~19세,"77,328","3,500","15,585","11,486","20,774","25,983"
2020년05월_여_20~29세,"99,814","6,859","22,072","13,826","29,764","27,293"
2020년05월_여_30~39세,"93,201","5,999","18,852","13,357","27,250","27,743"
2020년05월_여_40~49세,"122,820","6,502","25,885","17,495","34,151","38,787"
2020년05월_여_50~59세,"118,271","7,829","25,399","17,755","37,166","30,122"
2020년05월_여_60~69세,"82,483","7,482","17,563","14,780","26,839","15,819"
2020년05월_여_70~79세,"51,039","5,621","10,412","9,462","15,929","9,615"
2020년05월_여_80~89세,"25,232","2,642","5,045","4,551","7,632","5,362"
2020년05월_여_90~99세,"4,447",454,916,845,"1,321",911
2020년05월_여_100세 이상,365,53,65,84,106,57
