카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020년02월_계_총인구수,"827,374","65,517","91,369","42,383","130,694","87,915","83,424","57,111","96,709","86,080","86,172"
2020년02월_계_연령구간인구수,"827,374","65,517","91,369","42,383","130,694","87,915","83,424","57,111","96,709","86,080","86,172"
2020년02월_계_0~9세,"60,921","3,331","6,086","2,915","10,222","8,504","5,114","3,844","10,421","4,981","5,503"
2020년02월_계_10~19세,"73,590","4,197","7,614","3,991","11,803","10,341","6,687","4,576","9,225","7,744","7,412"
2020년02월_계_20~29세,"118,999","10,258","13,009","6,324","19,519","12,481","11,966","8,004","11,554","12,865","13,019"
2020년02월_계_30~39세,"120,022","9,910","12,721","5,575","21,870","12,982","11,805","8,185","15,442","10,276","11,256"
2020년02월_계_40~49세,"132,634","10,034","14,313","6,586","20,707","15,815","12,816","8,132","17,004","13,660","13,567"
2020년02월_계_50~59세,"150,251","12,054","17,036","8,042","22,993","15,440","15,101","10,469","14,458","17,260","17,398"
2020년02월_계_60~69세,"103,863","9,342","12,356","5,515","15,112","8,057","11,903","8,472","10,926","11,217","10,963"
2020년02월_계_70~79세,"44,931","4,422","5,615","2,273","5,491","2,838","5,465","3,726","5,040","5,323","4,738"
2020년02월_계_80~89세,"18,994","1,707","2,277",978,"2,516","1,223","2,208","1,447","2,232","2,396","2,010"
2020년02월_계_90~99세,"2,934",229,310,171,441,230,329,231,373,333,287
2020년02월_계_100세 이상,235,33,32,13,20,4,30,25,34,25,19
2020년02월_남_총인구수,"411,044","33,227","45,907","20,927","63,349","43,219","41,337","28,270","47,462","43,188","44,158"
2020년02월_남_연령구간인구수,"411,044","33,227","45,907","20,927","63,349","43,219","41,337","28,270","47,462","43,188","44,158"
2020년02월_남_0~9세,"31,209","1,750","3,131","1,498","5,284","4,312","2,661","1,961","5,284","2,494","2,834"
2020년02월_남_10~19세,"37,895","2,136","3,953","2,112","5,983","5,306","3,477","2,321","4,640","4,031","3,936"
2020년02월_남_20~29세,"61,373","5,186","6,856","3,214","9,642","6,372","6,215","4,154","5,939","6,841","6,954"
2020년02월_남_30~39세,"61,556","5,469","6,670","2,825","10,751","6,191","6,228","4,358","7,538","5,480","6,046"
2020년02월_남_40~49세,"66,787","5,430","7,439","3,247","9,871","7,451","6,506","4,062","8,687","6,921","7,173"
2020년02월_남_50~59세,"73,194","6,074","8,445","3,849","10,740","7,576","7,156","4,945","6,933","8,663","8,813"
2020년02월_남_60~69세,"51,535","4,464","6,025","2,754","7,698","4,271","5,713","4,106","5,261","5,630","5,613"
2020년02월_남_70~79세,"20,566","2,086","2,524","1,078","2,534","1,323","2,500","1,807","2,328","2,291","2,095"
2020년02월_남_80~89세,"6,220",588,779,307,739,369,808,496,756,752,626
2020년02월_남_90~99세,651,37,75,39,103,47,65,56,84,80,65
2020년02월_남_100세 이상,58,7,10,4,4,1,8,4,12,5,3
2020년02월_여_총인구수,"416,330","32,290","45,462","21,456","67,345","44,696","42,087","28,841","49,247","42,892","42,014"
2020년02월_여_연령구간인구수,"416,330","32,290","45,462","21,456","67,345","44,696","42,087","28,841","49,247","42,892","42,014"
2020년02월_여_0~9세,"29,712","1,581","2,955","1,417","4,938","4,192","2,453","1,883","5,137","2,487","2,669"
2020년02월_여_10~19세,"35,695","2,061","3,661","1,879","5,820","5,035","3,210","2,255","4,585","3,713","3,476"
2020년02월_여_20~29세,"57,626","5,072","6,153","3,110","9,877","6,109","5,751","3,850","5,615","6,024","6,065"
2020년02월_여_30~39세,"58,466","4,441","6,051","2,750","11,119","6,791","5,577","3,827","7,904","4,796","5,210"
2020년02월_여_40~49세,"65,847","4,604","6,874","3,339","10,836","8,364","6,310","4,070","8,317","6,739","6,394"
2020년02월_여_50~59세,"77,057","5,980","8,591","4,193","12,253","7,864","7,945","5,524","7,525","8,597","8,585"
2020년02월_여_60~69세,"52,328","4,878","6,331","2,761","7,414","3,786","6,190","4,366","5,665","5,587","5,350"
2020년02월_여_70~79세,"24,365","2,336","3,091","1,195","2,957","1,515","2,965","1,919","2,712","3,032","2,643"
2020년02월_여_80~89세,"12,774","1,119","1,498",671,"1,777",854,"1,400",951,"1,476","1,644","1,384"
2020년02월_여_90~99세,"2,283",192,235,132,338,183,264,175,289,253,222
2020년02월_여_100세 이상,177,26,22,9,16,3,22,21,22,20,16
