카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년12월_계_총인구수,"80,662","3,840","2,631","1,146","2,045","1,833","2,301","1,623","1,656","1,511","1,002","1,528","1,872","2,282","1,915","2,111","2,730","3,489","3,379","6,219","6,794","4,120","7,187","17,448"
2020년12월_계_연령구간인구수,"80,662","3,840","2,631","1,146","2,045","1,833","2,301","1,623","1,656","1,511","1,002","1,528","1,872","2,282","1,915","2,111","2,730","3,489","3,379","6,219","6,794","4,120","7,187","17,448"
2020년12월_계_0~9세,"5,011",158,97,46,61,69,72,51,63,56,25,58,65,93,92,83,119,182,179,585,592,213,411,"1,641"
2020년12월_계_10~19세,"7,331",185,164,54,109,102,107,72,91,63,37,73,90,158,117,187,197,353,240,623,781,328,639,"2,561"
2020년12월_계_20~29세,"7,569",281,233,72,142,112,125,71,98,112,71,99,125,184,112,139,170,374,366,689,617,448,781,"2,148"
2020년12월_계_30~39세,"6,417",214,147,58,117,80,112,70,94,70,59,57,97,125,100,92,153,277,278,704,655,386,607,"1,865"
2020년12월_계_40~49세,"10,747",349,288,110,170,164,225,135,146,116,71,141,166,220,171,268,295,456,458,967,"1,113",518,992,"3,208"
2020년12월_계_50~59세,"13,704",703,489,185,374,305,351,239,296,262,182,240,335,420,321,491,530,612,542,976,"1,027",688,"1,314","2,822"
2020년12월_계_60~69세,"12,945",789,542,227,420,363,494,358,354,277,218,262,354,421,392,351,595,532,580,802,969,705,"1,147","1,793"
2020년12월_계_70~79세,"9,827",622,397,193,326,339,456,307,269,292,189,306,343,334,349,286,411,450,483,570,689,532,783,901
2020년12월_계_80~89세,"6,121",457,226,171,277,261,313,271,204,236,130,254,259,278,221,193,222,227,215,269,304,253,445,435
2020년12월_계_90~99세,949,79,44,30,48,37,44,47,40,27,20,34,35,47,37,20,36,26,37,32,45,46,65,73
2020년12월_계_100세 이상,41,3,4,0,1,1,2,2,1,0,0,4,3,2,3,1,2,0,1,2,2,3,3,1
2020년12월_남_총인구수,"39,560","1,845","1,338",561,"1,008",904,"1,091",778,839,775,512,766,933,"1,133",941,"1,038","1,339","1,654","1,592","3,003","3,289","2,006","3,644","8,571"
2020년12월_남_연령구간인구수,"39,560","1,845","1,338",561,"1,008",904,"1,091",778,839,775,512,766,933,"1,133",941,"1,038","1,339","1,654","1,592","3,003","3,289","2,006","3,644","8,571"
2020년12월_남_0~9세,"2,657",85,56,23,26,39,31,33,34,33,19,30,35,52,53,42,60,97,92,311,300,111,213,882
2020년12월_남_10~19세,"3,775",91,72,29,54,58,54,36,49,37,20,37,51,90,60,95,115,178,114,294,389,188,326,"1,338"
2020년12월_남_20~29세,"4,240",149,138,41,80,73,75,35,62,67,44,52,75,94,60,81,110,212,202,379,358,267,433,"1,153"
2020년12월_남_30~39세,"3,280",118,78,29,69,46,62,39,56,32,35,31,53,71,59,51,70,138,143,355,309,216,323,897
2020년12월_남_40~49세,"5,490",189,157,74,101,100,143,86,92,73,44,96,102,121,105,130,160,212,228,460,562,249,519,"1,487"
2020년12월_남_50~59세,"7,309",378,279,99,211,181,191,141,167,169,109,144,201,237,186,277,279,304,278,499,526,327,717,"1,409"
2020년12월_남_60~69세,"6,457",423,279,119,237,185,251,185,192,143,112,126,181,237,195,191,290,240,248,386,459,332,584,862
2020년12월_남_70~79세,"4,132",244,187,92,132,129,179,127,119,129,81,145,152,134,147,117,166,180,204,227,271,221,361,388
2020년12월_남_80~89세,"1,992",154,76,47,88,85,97,84,59,85,41,94,75,86,66,53,83,84,72,84,103,83,149,144
2020년12월_남_90~99세,217,13,16,8,10,8,8,11,8,7,7,8,7,11,9,1,6,9,11,7,11,11,19,11
2020년12월_남_100세 이상,11,1,0,0,0,0,0,1,1,0,0,3,1,0,1,0,0,0,0,1,1,1,0,0
2020년12월_여_총인구수,"41,102","1,995","1,293",585,"1,037",929,"1,210",845,817,736,490,762,939,"1,149",974,"1,073","1,391","1,835","1,787","3,216","3,505","2,114","3,543","8,877"
2020년12월_여_연령구간인구수,"41,102","1,995","1,293",585,"1,037",929,"1,210",845,817,736,490,762,939,"1,149",974,"1,073","1,391","1,835","1,787","3,216","3,505","2,114","3,543","8,877"
2020년12월_여_0~9세,"2,354",73,41,23,35,30,41,18,29,23,6,28,30,41,39,41,59,85,87,274,292,102,198,759
2020년12월_여_10~19세,"3,556",94,92,25,55,44,53,36,42,26,17,36,39,68,57,92,82,175,126,329,392,140,313,"1,223"
2020년12월_여_20~29세,"3,329",132,95,31,62,39,50,36,36,45,27,47,50,90,52,58,60,162,164,310,259,181,348,995
2020년12월_여_30~39세,"3,137",96,69,29,48,34,50,31,38,38,24,26,44,54,41,41,83,139,135,349,346,170,284,968
