,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년04월_계_총인구수,"233,213","15,882","14,570","13,124","13,936","4,727","15,801","5,515","6,663","9,526","10,435","13,478","26,102","6,601","13,805","22,643","12,772","27,633"
2021년04월_계_연령구간인구수,"233,213","15,882","14,570","13,124","13,936","4,727","15,801","5,515","6,663","9,526","10,435","13,478","26,102","6,601","13,805","22,643","12,772","27,633"
2021년04월_계_0~9세,"14,648",874,"1,461",677,882,177,690,162,295,503,621,"1,139","1,911",327,910,"1,889",624,"1,506"
2021년04월_계_10~19세,"21,578","1,009","2,439","1,187","1,116",303,"1,127",255,429,734,776,"1,626","3,076",341,953,"2,837","1,076","2,294"
2021년04월_계_20~29세,"30,590","2,797","1,603","1,568","2,426",489,"1,791","1,050",784,"1,752","1,481","1,482","3,052",870,"1,791","2,872","1,530","3,252"
2021년04월_계_30~39세,"25,608","2,333","1,490","1,330","1,916",457,"1,598",616,640,"1,255","1,297","1,511","2,340",891,"1,612","2,381","1,261","2,680"
2021년04월_계_40~49세,"36,173","2,457","3,252","2,037","2,147",596,"2,047",600,874,"1,378","1,450","2,419","4,357",935,"1,897","3,938","1,835","3,954"
2021년04월_계_50~59세,"39,109","2,591","2,069","2,342","1,996",825,"2,795",897,"1,217","1,462","1,734","2,228","4,442","1,135","2,218","3,534","2,388","5,236"
2021년04월_계_60~69세,"34,221","2,165","1,216","2,104","1,833",902,"3,050",942,"1,241","1,172","1,456","1,562","3,542","1,187","2,252","2,610","2,075","4,912"
2021년04월_계_70~79세,"20,572","1,107",686,"1,219","1,061",633,"1,877",619,744,810,967,"1,020","2,225",618,"1,461","1,679","1,236","2,610"
2021년04월_계_80~89세,"9,368",469,311,576,464,310,725,330,372,398,561,445,"1,002",266,625,804,667,"1,043"
