,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년10월_계_총인구수,"105,557","5,599","7,359","7,707","13,724","8,253","7,763","7,565","6,662","4,317","9,829","4,889","9,067","12,823"
2021년10월_계_연령구간인구수,"105,557","5,599","7,359","7,707","13,724","8,253","7,763","7,565","6,662","4,317","9,829","4,889","9,067","12,823"
2021년10월_계_0~9세,"5,366",353,283,416,"1,101",570,599,413,92,103,451,130,293,562
2021년10월_계_10~19세,"7,108",371,471,507,"1,099",818,753,542,274,163,506,178,472,954
2021년10월_계_20~29세,"13,156",695,774,"1,224","1,699",934,884,"1,530",728,390,"1,398",432,813,"1,655"
2021년10월_계_30~39세,"10,635",676,604,847,"1,764",853,825,884,496,315,"1,090",428,685,"1,168"
2021년10월_계_40~49세,"14,204",759,934,"1,044","2,160","1,297","1,212","1,017",749,543,"1,235",554,"1,110","1,590"
2021년10월_계_50~59세,"17,172",916,"1,255","1,111","2,084","1,331","1,247","1,068","1,131",765,"1,667",870,"1,585","2,142"
2021년10월_계_60~69세,"19,333",913,"1,447","1,307","1,914","1,302","1,213","1,151","1,525",956,"1,804","1,158","2,031","2,612"
2021년10월_계_70~79세,"12,239",564,"1,010",806,"1,240",739,669,622,"1,050",689,"1,160",760,"1,441","1,489"
2021년10월_계_80~89세,"5,627",307,518,388,577,354,310,292,554,353,473,337,578,586
2021년10월_계_90~99세,691,42,62,55,86,53,46,43,59,40,44,42,56,63
2021년10월_계_100세 이상,26,3,1,2,0,2,5,3,4,0,1,0,3,2
2021년10월_남_총인구수,"51,084","2,738","3,586","3,612","6,481","3,785","3,735","3,575","3,382","2,189","4,690","2,478","4,525","6,308"
2021년10월_남_연령구간인구수,"51,084","2,738","3,586","3,612","6,481","3,785","3,735","3,575","3,382","2,189","4,690","2,478","4,525","6,308"
2021년10월_남_0~9세,"2,806",200,146,212,583,293,330,208,44,52,228,65,150,295
2021년10월_남_10~19세,"3,629",187,235,243,560,394,389,283,154,78,256,93,261,496
2021년10월_남_20~29세,"6,390",353,406,544,802,429,463,663,366,217,613,232,446,856
2021년10월_남_30~39세,"5,454",365,329,448,818,401,370,432,284,181,565,242,380,639
2021년10월_남_40~49세,"7,369",396,485,521,"1,057",605,583,516,438,316,645,331,611,865
2021년10월_남_50~59세,"8,828",468,632,553,"1,026",620,604,534,658,438,864,481,876,"1,074"
2021년10월_남_60~69세,"9,041",404,683,596,865,595,574,542,758,480,833,550,970,"1,191"
2021년10월_남_70~79세,"5,371",247,444,342,543,320,293,281,469,315,491,344,624,658
2021년10월_남_80~89세,"2,057",110,215,139,209,115,121,109,198,104,185,132,199,221
2021년10월_남_90~99세,134,8,11,14,18,13,7,6,10,8,10,8,8,13
2021년10월_남_100세 이상,5,0,0,0,0,0,1,1,3,0,0,0,0,0
2021년10월_여_총인구수,"54,473","2,861","3,773","4,095","7,243","4,468","4,028","3,990","3,280","2,128","5,139","2,411","4,542","6,515"
2021년10월_여_연령구간인구수,"54,473","2,861","3,773","4,095","7,243","4,468","4,028","3,990","3,280","2,128","5,139","2,411","4,542","6,515"
2021년10월_여_0~9세,"2,560",153,137,204,518,277,269,205,48,51,223,65,143,267
2021년10월_여_10~19세,"3,479",184,236,264,539,424,364,259,120,85,250,85,211,458
2021년10월_여_20~29세,"6,766",342,368,680,897,505,421,867,362,173,785,200,367,799
2021년10월_여_30~39세,"5,181",311,275,399,946,452,455,452,212,134,525,186,305,529
2021년10월_여_40~49세,"6,835",363,449,523,"1,103",692,629,501,311,227,590,223,499,725
2021년10월_여_50~59세,"8,344",448,623,558,"1,058",711,643,534,473,327,803,389,709,"1,068"
2021년10월_여_60~69세,"10,292",509,764,711,"1,049",707,639,609,767,476,971,608,"1,061","1,421"
2021년10월_여_70~79세,"6,868",317,566,464,697,419,376,341,581,374,669,416,817,831
2021년10월_여_80~89세,"3,570",197,303,249,368,239,189,183,356,249,288,205,379,365
2021년10월_여_90~99세,557,34,51,41,68,40,39,37,49,32,34,34,48,50
2021년10월_여_100세 이상,21,3,1,2,0,2,4,2,1,0,1,0,3,2
