,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2021년10월_계_총인구수,"69,351","22,662","7,983","4,866","7,111","4,547","4,293","3,041","4,002","1,863","3,263","2,866","2,204",385,265
2021년10월_계_연령구간인구수,"69,351","22,662","7,983","4,866","7,111","4,547","4,293","3,041","4,002","1,863","3,263","2,866","2,204",385,265
2021년10월_계_0~9세,"3,226","1,431",489,159,298,142,164,82,129,67,128,61,61,9,6
2021년10월_계_10~19세,"4,539","2,154",689,209,398,205,213,101,146,70,136,107,92,17,2
2021년10월_계_20~29세,"5,114","2,215",682,297,480,255,245,149,211,96,193,150,110,21,10
2021년10월_계_30~39세,"5,198","2,083",670,302,600,314,244,191,232,71,210,143,111,19,8
2021년10월_계_40~49세,"7,631","3,180","1,106",422,756,391,401,238,314,142,272,192,183,22,12
2021년10월_계_50~59세,"11,655","3,744","1,316",803,"1,313",761,728,508,630,325,548,508,363,64,44
2021년10월_계_60~69세,"15,205","3,862","1,534","1,317","1,752","1,209","1,050",814,978,448,750,695,605,104,87
2021년10월_계_70~79세,"9,980","2,449",902,775,944,785,707,595,766,365,594,585,384,69,60
2021년10월_계_80~89세,"5,904","1,370",507,486,480,401,465,326,535,248,380,375,252,50,29
2021년10월_계_90~99세,881,171,88,95,88,82,73,35,60,31,50,49,42,10,7
2021년10월_계_100세 이상,18,3,0,1,2,2,3,2,1,0,2,1,1,0,0
2021년10월_남_총인구수,"34,698","11,189","3,960","2,436","3,571","2,313","2,163","1,491","2,048",919,"1,634","1,474","1,154",200,146
2021년10월_남_연령구간인구수,"34,698","11,189","3,960","2,436","3,571","2,313","2,163","1,491","2,048",919,"1,634","1,474","1,154",200,146
2021년10월_남_0~9세,"1,692",772,224,74,150,71,93,53,72,35,69,32,39,5,3
2021년10월_남_10~19세,"2,321","1,073",356,105,204,117,109,50,78,32,69,57,59,10,2
2021년10월_남_20~29세,"2,940","1,242",389,166,289,150,147,80,139,56,109,93,62,12,6
2021년10월_남_30~39세,"2,709","1,075",336,153,308,179,134,98,119,33,117,78,64,9,6
2021년10월_남_40~49세,"4,132","1,615",565,242,429,233,226,131,182,77,164,129,115,15,9
2021년10월_남_50~59세,"6,020","1,913",671,416,643,366,386,254,340,188,303,281,197,37,25
2021년10월_남_60~69세,"7,581","1,858",756,661,869,619,539,396,515,221,368,353,325,51,50
2021년10월_남_70~79세,"4,740","1,086",444,406,462,384,325,290,367,168,285,278,175,42,28
2021년10월_남_80~89세,"2,344",510,199,190,202,170,185,128,224,103,136,158,108,16,15
2021년10월_남_90~99세,215,45,20,22,13,24,19,10,12,6,14,15,10,3,2
2021년10월_남_100세 이상,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0
2021년10월_여_총인구수,"34,653","11,473","4,023","2,430","3,540","2,234","2,130","1,550","1,954",944,"1,629","1,392","1,050",185,119
2021년10월_여_연령구간인구수,"34,653","11,473","4,023","2,430","3,540","2,234","2,130","1,550","1,954",944,"1,629","1,392","1,050",185,119
2021년10월_여_0~9세,"1,534",659,265,85,148,71,71,29,57,32,59,29,22,4,3
2021년10월_여_10~19세,"2,218","1,081",333,104,194,88,104,51,68,38,67,50,33,7,0
2021년10월_여_20~29세,"2,174",973,293,131,191,105,98,69,72,40,84,57,48,9,4
2021년10월_여_30~39세,"2,489","1,008",334,149,292,135,110,93,113,38,93,65,47,10,2
2021년10월_여_40~49세,"3,499","1,565",541,180,327,158,175,107,132,65,108,63,68,7,3
2021년10월_여_50~59세,"5,635","1,831",645,387,670,395,342,254,290,137,245,227,166,27,19
2021년10월_여_60~69세,"7,624","2,004",778,656,883,590,511,418,463,227,382,342,280,53,37
2021년10월_여_70~79세,"5,240","1,363",458,369,482,401,382,305,399,197,309,307,209,27,32
2021년10월_여_80~89세,"3,560",860,308,296,278,231,280,198,311,145,244,217,144,34,14
2021년10월_여_90~99세,666,126,68,73,75,58,54,25,48,25,36,34,32,7,5
2021년10월_여_100세 이상,14,3,0,0,0,2,3,1,1,0,2,1,1,0,0
