,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년11월_계_총인구수,"853,106","81,509","17,412","85,594","41,522","7,204","5,830","6,899","10,926","7,121","9,897","10,282","3,994","11,380","21,523","43,712","28,367","24,495","32,581","13,719","23,242","51,415","36,010","42,218","53,545","40,850","30,986","83,506","27,367"
2020년11월_계_연령구간인구수,"853,106","81,509","17,412","85,594","41,522","7,204","5,830","6,899","10,926","7,121","9,897","10,282","3,994","11,380","21,523","43,712","28,367","24,495","32,581","13,719","23,242","51,415","36,010","42,218","53,545","40,850","30,986","83,506","27,367"
2020년11월_계_0~9세,"104,868","8,431",927,"10,684","4,140",298,218,266,456,166,306,395,103,424,"3,996","4,482","2,664","2,539","4,407","1,346","1,821","6,487","4,386","5,908","9,402","6,193","4,523","14,899","5,001"
2020년11월_계_10~19세,"96,508","9,844","1,454","10,039","3,544",480,342,412,790,308,474,609,157,788,"2,078","3,939","3,128","4,019","4,004","1,806","2,246","6,941","6,615","5,368","8,825","4,129","2,912","8,934","2,323"
2020년11월_계_20~29세,"103,894","10,174","1,783","10,199","5,637",817,582,726,994,562,967,"1,001",396,"1,338","2,435","7,057","4,820","2,931","4,140","1,716","3,116","7,800","3,771","6,172","4,237","4,824","4,420","8,402","2,877"
2020년11월_계_30~39세,"151,248","11,476","1,608","15,849","7,160",669,504,733,874,523,"1,001",888,372,"1,140","4,834","8,869","4,519","3,147","5,919","1,585","3,013","9,772","4,338","8,350","9,489","9,915","7,607","19,537","7,557"
2020년11월_계_40~49세,"163,499","15,763","2,793","17,148","6,767",955,691,"1,002","1,423",826,"1,463","1,325",477,"1,645","4,057","7,802","5,101","5,423","6,036","2,696","3,954","10,395","8,769","8,544","13,222","7,877","5,768","16,705","4,872"
2020년11월_계_50~59세,"115,172","12,512","3,515","10,854","6,543","1,534","1,235","1,439","2,187","1,611","2,330","2,210",914,"2,433","2,634","5,892","4,047","3,274","4,551","2,249","4,181","6,331","4,695","4,138","5,327","4,059","3,307","8,638","2,532"
2020년11월_계_60~69세,"69,288","7,856","2,740","6,305","4,553","1,301","1,140","1,219","2,068","1,663","1,907","2,022",847,"1,939","1,098","3,430","2,400","1,692","2,414","1,360","2,951","2,334","1,998","2,068","2,004","2,412","1,612","4,412","1,543"
2020년11월_계_70~79세,"32,041","3,726","1,624","2,930","2,072",734,646,707,"1,258",849,849,"1,112",432,"1,029",250,"1,538","1,170","1,002",744,682,"1,328",937,"1,021","1,199",729,"1,031",573,"1,416",453
