카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년12월_계_총인구수,"128,293","4,677","12,668","2,933","31,088","2,018","2,025","1,506","8,932","2,993","4,044","9,043","10,658","11,347","10,441","13,920"
2020년12월_계_연령구간인구수,"128,293","4,677","12,668","2,933","31,088","2,018","2,025","1,506","8,932","2,993","4,044","9,043","10,658","11,347","10,441","13,920"
2020년12월_계_0~9세,"9,660",124,"1,226",72,"3,879",42,31,17,396,91,126,481,695,896,489,"1,095"
2020년12월_계_10~19세,"12,848",204,"1,440",127,"4,000",97,54,39,816,180,236,684,986,"1,382",981,"1,622"
2020년12월_계_20~29세,"11,223",295,"1,075",171,"2,697",115,92,67,909,223,280,687,"1,003","1,047",975,"1,587"
2020년12월_계_30~39세,"13,820",323,"1,452",160,"4,707",112,84,75,726,180,287,871,"1,096","1,137",991,"1,619"
2020년12월_계_40~49세,"21,331",549,"2,259",276,"6,495",270,163,120,"1,287",375,528,"1,346","1,603","1,942","1,525","2,593"
2020년12월_계_50~59세,"22,474",934,"2,144",529,"4,525",417,356,304,"1,672",562,840,"1,822","1,811","2,041","2,043","2,474"
2020년12월_계_60~69세,"20,489","1,058","1,634",745,"2,942",477,472,393,"1,661",686,917,"1,807","2,043","1,843","1,910","1,901"
2020년12월_계_70~79세,"11,068",715,918,528,"1,257",302,449,275,"1,021",479,578,965,"1,018",745,"1,061",757
2020년12월_계_80~89세,"4,736",420,447,291,510,168,296,190,397,189,229,342,349,277,400,231
2020년12월_계_90~99세,616,53,72,34,76,18,26,24,44,26,22,35,50,35,62,39
2020년12월_계_100세 이상,28,2,1,0,0,0,2,2,3,2,1,3,4,2,4,2
2020년12월_남_총인구수,"64,502","2,466","6,334","1,511","15,728","1,111","1,043",753,"4,456","1,470","2,002","4,600","5,130","5,572","5,378","6,948"
2020년12월_남_연령구간인구수,"64,502","2,466","6,334","1,511","15,728","1,111","1,043",753,"4,456","1,470","2,002","4,600","5,130","5,572","5,378","6,948"
2020년12월_남_0~9세,"4,854",55,580,41,"1,987",24,15,9,185,33,56,241,349,462,227,590
2020년12월_남_10~19세,"6,661",101,740,69,"2,069",56,26,18,392,87,115,349,517,722,529,871
2020년12월_남_20~29세,"6,228",182,580,107,"1,420",66,55,45,543,134,161,401,556,562,572,844
2020년12월_남_30~39세,"7,121",183,714,91,"2,307",71,49,54,398,95,172,480,582,543,547,835
2020년12월_남_40~49세,"11,506",357,"1,202",183,"3,439",179,110,69,703,226,313,805,811,989,856,"1,264"
2020년12월_남_50~59세,"11,528",554,"1,111",310,"2,327",241,235,173,851,303,442,913,810,993,"1,077","1,188"
2020년12월_남_60~69세,"9,999",574,841,365,"1,447",245,258,215,805,332,418,841,887,907,952,912
2020년12월_남_70~79세,"5,007",328,393,250,567,168,201,117,442,192,249,454,476,324,476,370
2020년12월_남_80~89세,"1,472",126,156,89,150,59,89,49,132,61,69,109,130,63,123,67
2020년12월_남_90~99세,118,6,16,6,15,2,5,4,4,7,7,7,9,6,18,6
2020년12월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년12월_여_총인구수,"63,791","2,211","6,334","1,422","15,360",907,982,753,"4,476","1,523","2,042","4,443","5,528","5,775","5,063","6,972"
2020년12월_여_연령구간인구수,"63,791","2,211","6,334","1,422","15,360",907,982,753,"4,476","1,523","2,042","4,443","5,528","5,775","5,063","6,972"
2020년12월_여_0~9세,"4,806",69,646,31,"1,892",18,16,8,211,58,70,240,346,434,262,505
2020년12월_여_10~19세,"6,187",103,700,58,"1,931",41,28,21,424,93,121,335,469,660,452,751
2020년12월_여_20~29세,"4,995",113,495,64,"1,277",49,37,22,366,89,119,286,447,485,403,743
2020년12월_여_30~39세,"6,699",140,738,69,"2,400",41,35,21,328,85,115,391,514,594,444,784
2020년12월_여_40~49세,"9,825",192,"1,057",93,"3,056",91,53,51,584,149,215,541,792,953,669,"1,329"
2020년12월_여_50~59세,"10,946",380,"1,033",219,"2,198",176,121,131,821,259,398,909,"1,001","1,048",966,"1,286"
2020년12월_여_60~69세,"10,490",484,793,380,"1,495",232,214,178,856,354,499,966,"1,156",936,958,989
2020년12월_여_70~79세,"6,061",387,525,278,690,134,248,158,579,287,329,511,542,421,585,387
2020년12월_여_80~89세,"3,264",294,291,202,360,109,207,141,265,128,160,233,219,214,277,164
2020년12월_여_90~99세,498,47,56,28,61,16,21,20,40,19,15,28,41,29,44,33
2020년12월_여_100세 이상,20,2,0,0,0,0,2,2,2,2,1,3,1,1,3,1
