,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년06월_계_총인구수,"147,482","12,547","9,258","10,921","17,304","11,629","11,541","11,167","11,286","8,218","9,712","15,990","9,410","8,499"
2020년06월_계_연령구간인구수,"147,482","12,547","9,258","10,921","17,304","11,629","11,541","11,167","11,286","8,218","9,712","15,990","9,410","8,499"
2020년06월_계_0~9세,"7,052",846,403,692,886,559,417,388,487,299,573,824,353,325
2020년06월_계_10~19세,"9,705","1,060",533,897,"1,410",790,699,656,645,468,641,941,518,447
2020년06월_계_20~29세,"20,370","1,260","1,125","1,120","2,068","1,750","2,086","1,511","1,669","1,579","1,402","2,408","1,394",998
2020년06월_계_30~39세,"17,462","1,350","1,159","1,141","1,943","1,446","1,415","1,172","1,220",973,"1,372","2,176","1,159",936
2020년06월_계_40~49세,"20,672","2,052","1,369","1,512","2,615","1,613","1,496","1,538","1,417","1,028","1,425","2,331","1,205","1,071"
2020년06월_계_50~59세,"25,328","1,971","1,664","1,830","2,964","2,053","1,874","2,053","2,078","1,336","1,574","2,730","1,639","1,562"
2020년06월_계_60~69세,"23,649","1,755","1,472","1,853","2,758","1,808","1,718","1,955","2,015","1,231","1,416","2,358","1,623","1,687"
2020년06월_계_70~79세,"15,112","1,390",925,"1,151","1,671","1,100","1,214","1,277","1,211",853,851,"1,492",991,986
2020년06월_계_80~89세,"7,151",735,548,621,881,434,553,540,490,403,403,634,473,436
2020년06월_계_90~99세,897,120,53,98,97,73,63,67,46,43,51,85,53,48
2020년06월_계_100세 이상,84,8,7,6,11,3,6,10,8,5,4,11,2,3
2020년06월_남_총인구수,"70,945","5,941","4,449","5,250","8,200","5,657","5,488","5,565","5,514","3,909","4,657","7,791","4,464","4,060"
2020년06월_남_연령구간인구수,"70,945","5,941","4,449","5,250","8,200","5,657","5,488","5,565","5,514","3,909","4,657","7,791","4,464","4,060"
2020년06월_남_0~9세,"3,657",466,201,360,474,284,206,210,243,170,282,423,182,156
2020년06월_남_10~19세,"5,115",570,292,463,716,436,335,350,360,244,332,501,275,241
2020년06월_남_20~29세,"10,267",648,540,600,"1,046",876,998,799,868,710,708,"1,239",695,540
2020년06월_남_30~39세,"9,162",674,618,589,990,748,752,660,680,511,682,"1,120",605,533
2020년06월_남_40~49세,"10,391",997,703,713,"1,219",831,778,847,740,550,695,"1,182",605,531
2020년06월_남_50~59세,"12,298",968,827,867,"1,465",970,915,"1,063","1,014",653,775,"1,296",766,719
2020년06월_남_60~69세,"10,806",771,677,864,"1,227",837,800,890,914,561,668,"1,103",732,762
2020년06월_남_70~79세,"6,430",543,377,517,696,500,500,545,530,353,369,653,433,414
2020년06월_남_80~89세,"2,578",273,201,243,340,157,183,188,153,146,137,248,156,153
2020년06월_남_90~99세,223,31,11,32,25,18,18,12,9,10,9,24,14,10
2020년06월_남_100세 이상,18,0,2,2,2,0,3,1,3,1,0,2,1,1
2020년06월_여_총인구수,"76,537","6,606","4,809","5,671","9,104","5,972","6,053","5,602","5,772","4,309","5,055","8,199","4,946","4,439"
2020년06월_여_연령구간인구수,"76,537","6,606","4,809","5,671","9,104","5,972","6,053","5,602","5,772","4,309","5,055","8,199","4,946","4,439"
2020년06월_여_0~9세,"3,395",380,202,332,412,275,211,178,244,129,291,401,171,169
2020년06월_여_10~19세,"4,590",490,241,434,694,354,364,306,285,224,309,440,243,206
2020년06월_여_20~29세,"10,103",612,585,520,"1,022",874,"1,088",712,801,869,694,"1,169",699,458
2020년06월_여_30~39세,"8,300",676,541,552,953,698,663,512,540,462,690,"1,056",554,403
2020년06월_여_40~49세,"10,281","1,055",666,799,"1,396",782,718,691,677,478,730,"1,149",600,540
2020년06월_여_50~59세,"13,030","1,003",837,963,"1,499","1,083",959,990,"1,064",683,799,"1,434",873,843
2020년06월_여_60~69세,"12,843",984,795,989,"1,531",971,918,"1,065","1,101",670,748,"1,255",891,925
2020년06월_여_70~79세,"8,682",847,548,634,975,600,714,732,681,500,482,839,558,572
2020년06월_여_80~89세,"4,573",462,347,378,541,277,370,352,337,257,266,386,317,283
2020년06월_여_90~99세,674,89,42,66,72,55,45,55,37,33,42,61,39,38
2020년06월_여_100세 이상,66,8,5,4,9,3,3,9,5,4,4,9,1,2
