,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2021년06월_계_총인구수,"270,584","33,361","53,205","15,888","26,957","17,318","18,866","21,784","16,503","20,798","20,758","25,146"
2021년06월_계_연령구간인구수,"270,584","33,361","53,205","15,888","26,957","17,318","18,866","21,784","16,503","20,798","20,758","25,146"
2021년06월_계_0~9세,"19,585","1,899","4,497",640,"2,148",811,"1,112","1,799",989,"1,779","2,252","1,659"
2021년06월_계_10~19세,"25,866","2,588","6,095",807,"2,754","1,138","1,381","2,084","1,563","3,046","1,750","2,660"
2021년06월_계_20~29세,"37,603","5,352","7,116","2,487","3,618","2,761","2,708","2,799","2,032","2,509","2,564","3,657"
2021년06월_계_30~39세,"37,378","4,567","6,976","2,168","3,448","2,327","3,096","3,659","2,079","2,171","3,673","3,214"
2021년06월_계_40~49세,"43,416","4,948","9,054","2,038","4,375","2,454","2,733","3,667","2,604","4,041","3,390","4,112"
2021년06월_계_50~59세,"47,530","6,504","9,234","2,946","4,724","3,391","3,102","3,449","2,913","3,563","3,278","4,426"
2021년06월_계_60~69세,"35,020","4,691","6,383","2,729","3,676","2,822","2,630","2,451","2,206","2,061","2,433","2,938"
2021년06월_계_70~79세,"15,135","1,899","2,523","1,361","1,391","1,104","1,290","1,122","1,193",926,954,"1,372"
2021년06월_계_80~89세,"7,807",781,"1,144",603,700,441,708,671,819,618,392,930
2021년06월_계_90~99세,"1,200",126,179,102,120,67,104,82,103,81,66,170
2021년06월_계_100세 이상,44,6,4,7,3,2,2,1,2,3,6,8
2021년06월_남_총인구수,"134,167","17,598","26,356","7,978","13,051","9,025","8,959","10,580","7,848","10,174","10,409","12,189"
2021년06월_남_연령구간인구수,"134,167","17,598","26,356","7,978","13,051","9,025","8,959","10,580","7,848","10,174","10,409","12,189"
2021년06월_남_0~9세,"9,987",957,"2,304",334,"1,085",432,578,910,466,955,"1,132",834
2021년06월_남_10~19세,"13,430","1,360","3,152",435,"1,426",595,704,"1,094",805,"1,545",919,"1,395"
2021년06월_남_20~29세,"19,596","2,964","3,678","1,345","1,853","1,480","1,352","1,445","1,034","1,328","1,286","1,831"
2021년06월_남_30~39세,"19,395","2,597","3,548","1,240","1,681","1,306","1,621","1,816","1,061","1,041","1,868","1,616"
2021년06월_남_40~49세,"21,437","2,656","4,417","1,106","2,066","1,340","1,298","1,759","1,255","1,859","1,762","1,919"
2021년06월_남_50~59세,"23,193","3,389","4,422","1,390","2,191","1,764","1,444","1,631","1,379","1,773","1,569","2,241"
2021년06월_남_60~69세,"17,173","2,436","3,183","1,285","1,829","1,396","1,195","1,161","1,017","1,013","1,239","1,419"
2021년06월_남_70~79세,"6,851",900,"1,205",617,639,544,512,475,494,408,475,582
2021년06월_남_80~89세,"2,772",301,402,203,251,154,229,265,300,220,140,307
2021년06월_남_90~99세,324,37,43,22,30,14,26,24,36,32,16,44
2021년06월_남_100세 이상,9,1,2,1,0,0,0,0,1,0,3,1
2021년06월_여_총인구수,"136,417","15,763","26,849","7,910","13,906","8,293","9,907","11,204","8,655","10,624","10,349","12,957"
2021년06월_여_연령구간인구수,"136,417","15,763","26,849","7,910","13,906","8,293","9,907","11,204","8,655","10,624","10,349","12,957"
2021년06월_여_0~9세,"9,598",942,"2,193",306,"1,063",379,534,889,523,824,"1,120",825
2021년06월_여_10~19세,"12,436","1,228","2,943",372,"1,328",543,677,990,758,"1,501",831,"1,265"
2021년06월_여_20~29세,"18,007","2,388","3,438","1,142","1,765","1,281","1,356","1,354",998,"1,181","1,278","1,826"
2021년06월_여_30~39세,"17,983","1,970","3,428",928,"1,767","1,021","1,475","1,843","1,018","1,130","1,805","1,598"
2021년06월_여_40~49세,"21,979","2,292","4,637",932,"2,309","1,114","1,435","1,908","1,349","2,182","1,628","2,193"
2021년06월_여_50~59세,"24,337","3,115","4,812","1,556","2,533","1,627","1,658","1,818","1,534","1,790","1,709","2,185"
2021년06월_여_60~69세,"17,847","2,255","3,200","1,444","1,847","1,426","1,435","1,290","1,189","1,048","1,194","1,519"
2021년06월_여_70~79세,"8,284",999,"1,318",744,752,560,778,647,699,518,479,790
2021년06월_여_80~89세,"5,035",480,742,400,449,287,479,406,519,398,252,623
2021년06월_여_90~99세,876,89,136,80,90,53,78,58,67,49,50,126
2021년06월_여_100세 이상,35,5,2,6,3,2,2,1,1,3,3,7
