카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년09월_계_총인구수,"129,064","4,739","12,730","2,932","31,141","2,041","2,037","1,523","9,005","3,036","4,085","9,090","10,727","11,429","10,544","14,005"
2020년09월_계_연령구간인구수,"129,064","4,739","12,730","2,932","31,141","2,041","2,037","1,523","9,005","3,036","4,085","9,090","10,727","11,429","10,544","14,005"
2020년09월_계_0~9세,"9,983",129,"1,272",67,"3,974",44,29,21,416,95,133,503,719,924,532,"1,125"
2020년09월_계_10~19세,"12,896",209,"1,433",130,"3,975",102,59,39,815,185,237,679,994,"1,396",987,"1,656"
2020년09월_계_20~29세,"11,287",312,"1,082",169,"2,675",115,90,69,932,227,289,705,989,"1,065",981,"1,587"
2020년09월_계_30~39세,"14,278",329,"1,506",166,"4,860",122,87,75,753,184,284,883,"1,143","1,185","1,029","1,672"
2020년09월_계_40~49세,"21,505",565,"2,264",279,"6,456",273,177,127,"1,298",387,555,"1,381","1,619","1,971","1,525","2,628"
2020년09월_계_50~59세,"22,565",946,"2,132",522,"4,486",418,352,315,"1,711",591,842,"1,828","1,836","2,042","2,061","2,483"
2020년09월_계_60~69세,"20,179","1,049","1,607",743,"2,874",470,467,381,"1,637",668,916,"1,784","2,023","1,804","1,906","1,850"
2020년09월_계_70~79세,"11,051",724,924,540,"1,253",313,456,280,"1,009",488,581,950,"1,013",735,"1,043",742
2020년09월_계_80~89세,"4,675",416,438,280,505,168,294,191,386,186,225,339,338,271,412,226
2020년09월_계_90~99세,619,58,71,36,83,16,24,23,45,23,22,35,49,35,64,35
2020년09월_계_100세 이상,26,2,1,0,0,0,2,2,3,2,1,3,4,1,4,1
2020년09월_남_총인구수,"64,870","2,500","6,368","1,514","15,751","1,128","1,047",757,"4,487","1,495","2,021","4,637","5,165","5,621","5,397","6,982"
2020년09월_남_연령구간인구수,"64,870","2,500","6,368","1,514","15,751","1,128","1,047",757,"4,487","1,495","2,021","4,637","5,165","5,621","5,397","6,982"
2020년09월_남_0~9세,"5,021",60,607,37,"2,040",24,13,10,193,37,60,255,363,482,247,593
2020년09월_남_10~19세,"6,679",105,739,73,"2,042",64,29,19,396,89,118,351,518,724,530,882
2020년09월_남_20~29세,"6,241",192,575,103,"1,417",62,53,49,554,136,163,407,547,571,569,843
2020년09월_남_30~39세,"7,374",188,733,96,"2,380",81,52,51,419,99,173,488,606,568,568,872
2020년09월_남_40~49세,"11,602",366,"1,212",186,"3,418",173,121,72,707,233,332,830,819,"1,011",840,"1,282"
2020년09월_남_50~59세,"11,548",562,"1,110",307,"2,302",248,229,177,863,319,438,904,819,985,"1,087","1,198"
2020년09월_남_60~69세,"9,858",569,826,362,"1,425",243,254,210,790,320,418,844,880,896,940,881
2020년09월_남_70~79세,"4,976",330,397,258,561,172,204,116,434,198,243,442,476,314,469,362
2020년09월_남_80~89세,"1,440",121,151,85,148,60,86,49,126,58,68,108,125,62,130,63
2020년09월_남_90~99세,123,7,17,7,18,1,6,4,4,6,8,8,9,7,16,5
2020년09월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년09월_여_총인구수,"64,194","2,239","6,362","1,418","15,390",913,990,766,"4,518","1,541","2,064","4,453","5,562","5,808","5,147","7,023"
2020년09월_여_연령구간인구수,"64,194","2,239","6,362","1,418","15,390",913,990,766,"4,518","1,541","2,064","4,453","5,562","5,808","5,147","7,023"
2020년09월_여_0~9세,"4,962",69,665,30,"1,934",20,16,11,223,58,73,248,356,442,285,532
2020년09월_여_10~19세,"6,217",104,694,57,"1,933",38,30,20,419,96,119,328,476,672,457,774
2020년09월_여_20~29세,"5,046",120,507,66,"1,258",53,37,20,378,91,126,298,442,494,412,744
2020년09월_여_30~39세,"6,904",141,773,70,"2,480",41,35,24,334,85,111,395,537,617,461,800
2020년09월_여_40~49세,"9,903",199,"1,052",93,"3,038",100,56,55,591,154,223,551,800,960,685,"1,346"
2020년09월_여_50~59세,"11,017",384,"1,022",215,"2,184",170,123,138,848,272,404,924,"1,017","1,057",974,"1,285"
2020년09월_여_60~69세,"10,321",480,781,381,"1,449",227,213,171,847,348,498,940,"1,143",908,966,969
2020년09월_여_70~79세,"6,075",394,527,282,692,141,252,164,575,290,338,508,537,421,574,380
2020년09월_여_80~89세,"3,235",295,287,195,357,108,208,142,260,128,157,231,213,209,282,163
2020년09월_여_90~99세,496,51,54,29,65,15,18,19,41,17,14,27,40,28,48,30
2020년09월_여_100세 이상,18,2,0,0,0,0,2,2,2,2,1,3,1,0,3,0
