,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년01월_계_총인구수,"176,199","14,664","7,158","12,723","16,579","27,860","19,588","11,018","16,525","13,749","6,694","13,192","16,449"
2021년01월_계_연령구간인구수,"176,199","14,664","7,158","12,723","16,579","27,860","19,588","11,018","16,525","13,749","6,694","13,192","16,449"
2021년01월_계_0~9세,"11,217",657,309,687,947,"2,055",974,496,"2,041",775,470,840,966
2021년01월_계_10~19세,"16,594",987,504,"1,016","1,700","3,877","1,596",898,"1,476","1,248",613,"1,066","1,613"
2021년01월_계_20~29세,"24,510","2,289",791,"1,459","2,310","4,110","2,981","1,487","2,006","2,095","1,033","1,735","2,214"
2021년01월_계_30~39세,"20,117","1,560",847,"1,257","1,624","2,725","2,243","1,104","2,926","1,627","1,020","1,605","1,579"
2021년01월_계_40~49세,"27,160","1,956","1,090","1,786","2,611","5,059","3,061","1,525","2,691","2,094","1,188","1,761","2,338"
2021년01월_계_50~59세,"33,617","2,791","1,348","2,403","3,168","5,614","3,733","2,176","2,653","2,646","1,164","2,601","3,320"
2021년01월_계_60~69세,"24,819","2,585","1,306","2,275","2,443","2,625","2,945","1,808","1,698","1,775",737,"1,992","2,630"
2021년01월_계_70~79세,"12,113","1,296",662,"1,182","1,214","1,137","1,439","1,020",643,980,308,"1,063","1,169"
2021년01월_계_80~89세,"5,310",460,248,583,499,579,550,442,346,447,136,479,541
2021년01월_계_90~99세,702,78,51,68,56,74,65,54,44,60,24,49,79
2021년01월_계_100세 이상,40,5,2,7,7,5,1,8,1,2,1,1,0
2021년01월_남_총인구수,"89,563","7,779","3,778","6,452","8,266","13,790","10,151","5,629","8,484","7,305","3,637","6,271","8,021"
2021년01월_남_연령구간인구수,"89,563","7,779","3,778","6,452","8,266","13,790","10,151","5,629","8,484","7,305","3,637","6,271","8,021"
2021년01월_남_0~9세,"5,649",344,165,339,470,"1,039",477,232,"1,050",414,229,403,487
2021년01월_남_10~19세,"8,661",550,274,533,900,"1,959",861,479,770,641,310,541,843
2021년01월_남_20~29세,"13,551","1,255",458,791,"1,268","2,224","1,646",828,"1,108","1,224",604,919,"1,226"
2021년01월_남_30~39세,"10,985",897,450,687,889,"1,373","1,282",622,"1,506",963,624,854,838
2021년01월_남_40~49세,"13,841","1,107",631,943,"1,282","2,265","1,633",809,"1,426","1,135",675,857,"1,078"
2021년01월_남_50~59세,"17,073","1,476",725,"1,253","1,561","2,870","1,906","1,139","1,307","1,435",625,"1,219","1,557"
2021년01월_남_60~69세,"12,293","1,327",687,"1,126","1,139","1,331","1,450",882,879,866,377,928,"1,301"
2021년01월_남_70~79세,"5,486",630,294,546,550,501,669,477,304,447,143,417,508
2021년01월_남_80~89세,"1,867",179,88,208,189,210,214,155,125,164,46,119,170
2021년01월_남_90~99세,148,12,6,22,16,17,13,6,9,16,4,14,13
2021년01월_남_100세 이상,9,2,0,4,2,1,0,0,0,0,0,0,0
2021년01월_여_총인구수,"86,636","6,885","3,380","6,271","8,313","14,070","9,437","5,389","8,041","6,444","3,057","6,921","8,428"
2021년01월_여_연령구간인구수,"86,636","6,885","3,380","6,271","8,313","14,070","9,437","5,389","8,041","6,444","3,057","6,921","8,428"
2021년01월_여_0~9세,"5,568",313,144,348,477,"1,016",497,264,991,361,241,437,479
2021년01월_여_10~19세,"7,933",437,230,483,800,"1,918",735,419,706,607,303,525,770
2021년01월_여_20~29세,"10,959","1,034",333,668,"1,042","1,886","1,335",659,898,871,429,816,988
2021년01월_여_30~39세,"9,132",663,397,570,735,"1,352",961,482,"1,420",664,396,751,741
2021년01월_여_40~49세,"13,319",849,459,843,"1,329","2,794","1,428",716,"1,265",959,513,904,"1,260"
2021년01월_여_50~59세,"16,544","1,315",623,"1,150","1,607","2,744","1,827","1,037","1,346","1,211",539,"1,382","1,763"
2021년01월_여_60~69세,"12,526","1,258",619,"1,149","1,304","1,294","1,495",926,819,909,360,"1,064","1,329"
2021년01월_여_70~79세,"6,627",666,368,636,664,636,770,543,339,533,165,646,661
2021년01월_여_80~89세,"3,443",281,160,375,310,369,336,287,221,283,90,360,371
2021년01월_여_90~99세,554,66,45,46,40,57,52,48,35,44,20,35,66
2021년01월_여_100세 이상,31,3,2,3,5,4,1,8,1,2,1,1,0
