,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년08월_계_총인구수,"175,815","13,889","12,164","14,792","27,501","11,114","25,913","18,759","9,480","13,736","28,467"
2021년08월_계_연령구간인구수,"175,815","13,889","12,164","14,792","27,501","11,114","25,913","18,759","9,480","13,736","28,467"
2021년08월_계_0~9세,"10,087",709,850,571,"1,645",641,"1,196","1,061",259,924,"2,231"
2021년08월_계_10~19세,"11,534","1,161","1,162",665,"1,910",780,"1,542","1,238",393,915,"1,768"
2021년08월_계_20~29세,"24,055","1,812","1,296","1,771","2,981","1,194","5,161","2,898","1,914","1,745","3,283"
2021년08월_계_30~39세,"23,606","1,598","1,219","1,726","3,292","1,347","4,122","2,770","1,412","2,031","4,089"
2021년08월_계_40~49세,"25,135","1,998","1,927","1,879","3,775","1,651","3,510","2,831","1,154","2,113","4,297"
2021년08월_계_50~59세,"27,146","2,448","2,159","2,264","4,211","1,827","3,521","2,732","1,304","2,091","4,589"
2021년08월_계_60~69세,"29,062","2,158","1,960","2,980","5,204","2,002","3,680","2,674","1,605","2,070","4,729"
2021년08월_계_70~79세,"17,162","1,260","1,092","1,974","3,009","1,190","2,191","1,760","1,011","1,217","2,458"
2021년08월_계_80~89세,"7,081",636,421,855,"1,301",432,862,712,389,576,897
2021년08월_계_90~99세,913,107,71,102,172,49,122,75,38,52,125
2021년08월_계_100세 이상,34,2,7,5,1,1,6,8,1,2,1
2021년08월_남_총인구수,"83,040","6,398","5,656","7,100","13,148","5,492","12,074","8,727","4,494","6,231","13,720"
2021년08월_남_연령구간인구수,"83,040","6,398","5,656","7,100","13,148","5,492","12,074","8,727","4,494","6,231","13,720"
2021년08월_남_0~9세,"5,184",340,427,303,864,336,627,531,131,490,"1,135"
2021년08월_남_10~19세,"5,928",586,594,350,978,421,827,626,196,453,897
2021년08월_남_20~29세,"11,655",889,664,891,"1,558",666,"2,251","1,335",854,806,"1,741"
2021년08월_남_30~39세,"11,759",787,574,897,"1,633",730,"2,048","1,362",733,971,"2,024"
2021년08월_남_40~49세,"12,401",924,863,"1,017","1,889",850,"1,732","1,394",588,956,"2,188"
2021년08월_남_50~59세,"12,590","1,130",954,"1,082","1,945",884,"1,611","1,267",657,936,"2,124"
2021년08월_남_60~69세,"12,883",948,895,"1,304","2,313",903,"1,616","1,169",747,862,"2,126"
2021년08월_남_70~79세,"7,677",521,507,897,"1,406",516,997,738,433,536,"1,126"
2021년08월_남_80~89세,"2,715",238,166,334,506,180,327,281,145,208,330
2021년08월_남_90~99세,241,34,11,25,56,6,36,21,10,13,29
2021년08월_남_100세 이상,7,1,1,0,0,0,2,3,0,0,0
2021년08월_여_총인구수,"92,775","7,491","6,508","7,692","14,353","5,622","13,839","10,032","4,986","7,505","14,747"
2021년08월_여_연령구간인구수,"92,775","7,491","6,508","7,692","14,353","5,622","13,839","10,032","4,986","7,505","14,747"
2021년08월_여_0~9세,"4,903",369,423,268,781,305,569,530,128,434,"1,096"
2021년08월_여_10~19세,"5,606",575,568,315,932,359,715,612,197,462,871
2021년08월_여_20~29세,"12,400",923,632,880,"1,423",528,"2,910","1,563","1,060",939,"1,542"
2021년08월_여_30~39세,"11,847",811,645,829,"1,659",617,"2,074","1,408",679,"1,060","2,065"
2021년08월_여_40~49세,"12,734","1,074","1,064",862,"1,886",801,"1,778","1,437",566,"1,157","2,109"
2021년08월_여_50~59세,"14,556","1,318","1,205","1,182","2,266",943,"1,910","1,465",647,"1,155","2,465"
2021년08월_여_60~69세,"16,179","1,210","1,065","1,676","2,891","1,099","2,064","1,505",858,"1,208","2,603"
2021년08월_여_70~79세,"9,485",739,585,"1,077","1,603",674,"1,194","1,022",578,681,"1,332"
2021년08월_여_80~89세,"4,366",398,255,521,795,252,535,431,244,368,567
2021년08월_여_90~99세,672,73,60,77,116,43,86,54,28,39,96
2021년08월_여_100세 이상,27,1,6,5,1,1,4,5,1,2,1
