카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2020년08월_계_총인구수,"352,550","35,335","34,618","40,297","22,289","25,074","37,976","25,816","27,377","28,112","29,068","46,588"
2020년08월_계_연령구간인구수,"352,550","35,335","34,618","40,297","22,289","25,074","37,976","25,816","27,377","28,112","29,068","46,588"
2020년08월_계_0~9세,"35,828","3,371","1,561","3,588","2,337","2,581","5,136","3,018","2,705","2,664","3,246","5,621"
2020년08월_계_10~19세,"38,465","3,441","1,532","3,259","3,034","3,491","4,588","2,938","3,277","3,175","4,575","5,155"
2020년08월_계_20~29세,"52,865","4,486","8,268","8,377","2,892","3,192","3,891","4,026","4,331","4,242","3,715","5,445"
2020년08월_계_30~39세,"56,911","4,541","6,650","6,547","3,283","3,218","6,567","5,263","4,496","4,221","4,035","8,090"
2020년08월_계_40~49세,"60,866","6,000","4,365","5,602","4,370","4,878","7,383","4,167","4,411","4,870","6,105","8,715"
2020년08월_계_50~59세,"54,176","6,301","5,649","6,005","3,237","4,007","5,208","3,488","4,496","4,631","4,346","6,808"
2020년08월_계_60~69세,"32,688","4,238","3,881","4,384","1,768","2,032","3,298","1,829","2,362","2,410","2,064","4,422"
2020년08월_계_70~79세,"13,347","1,915","1,752","1,660",873,"1,080","1,287",659,737,"1,153",658,"1,573"
2020년08월_계_80~89세,"6,280",902,797,748,420,511,521,370,458,643,275,635
2020년08월_계_90~99세,"1,067",130,140,121,74,83,93,57,101,99,48,121
2020년08월_계_100세 이상,57,10,23,6,1,1,4,1,3,4,1,3
2020년08월_남_총인구수,"178,001","17,937","17,896","20,948","11,036","12,344","18,660","13,518","13,981","14,412","14,890","22,379"
2020년08월_남_연령구간인구수,"178,001","17,937","17,896","20,948","11,036","12,344","18,660","13,518","13,981","14,412","14,890","22,379"
2020년08월_남_0~9세,"18,451","1,712",796,"1,798","1,202","1,312","2,616","1,569","1,450","1,387","1,702","2,907"
2020년08월_남_10~19세,"19,954","1,837",787,"1,710","1,571","1,798","2,340","1,539","1,661","1,635","2,397","2,679"
2020년08월_남_20~29세,"28,337","2,451","4,256","4,905","1,483","1,645","2,032","2,229","2,360","2,363","1,971","2,642"
2020년08월_남_30~39세,"29,564","2,344","3,821","3,552","1,623","1,598","3,114","2,883","2,436","2,272","2,071","3,850"
2020년08월_남_40~49세,"29,950","3,081","2,329","2,811","2,066","2,282","3,628","2,094","2,105","2,479","2,904","4,171"
2020년08월_남_50~59세,"26,995","3,161","2,791","2,879","1,654","2,045","2,530","1,802","2,214","2,388","2,374","3,157"
2020년08월_남_60~69세,"16,291","2,126","2,009","2,200",863,995,"1,578",950,"1,250","1,212","1,070","2,038"
2020년08월_남_70~79세,"6,157",914,774,794,396,469,619,337,344,459,321,730
2020년08월_남_80~89세,"2,045",284,286,261,157,181,184,103,130,194,70,195
2020년08월_남_90~99세,244,24,44,37,20,18,18,12,29,22,10,10
2020년08월_남_100세 이상,13,3,3,1,1,1,1,0,2,1,0,0
2020년08월_여_총인구수,"174,549","17,398","16,722","19,349","11,253","12,730","19,316","12,298","13,396","13,700","14,178","24,209"
2020년08월_여_연령구간인구수,"174,549","17,398","16,722","19,349","11,253","12,730","19,316","12,298","13,396","13,700","14,178","24,209"
2020년08월_여_0~9세,"17,377","1,659",765,"1,790","1,135","1,269","2,520","1,449","1,255","1,277","1,544","2,714"
2020년08월_여_10~19세,"18,511","1,604",745,"1,549","1,463","1,693","2,248","1,399","1,616","1,540","2,178","2,476"
2020년08월_여_20~29세,"24,528","2,035","4,012","3,472","1,409","1,547","1,859","1,797","1,971","1,879","1,744","2,803"
2020년08월_여_30~39세,"27,347","2,197","2,829","2,995","1,660","1,620","3,453","2,380","2,060","1,949","1,964","4,240"
2020년08월_여_40~49세,"30,916","2,919","2,036","2,791","2,304","2,596","3,755","2,073","2,306","2,391","3,201","4,544"
2020년08월_여_50~59세,"27,181","3,140","2,858","3,126","1,583","1,962","2,678","1,686","2,282","2,243","1,972","3,651"
2020년08월_여_60~69세,"16,397","2,112","1,872","2,184",905,"1,037","1,720",879,"1,112","1,198",994,"2,384"
2020년08월_여_70~79세,"7,190","1,001",978,866,477,611,668,322,393,694,337,843
2020년08월_여_80~89세,"4,235",618,511,487,263,330,337,267,328,449,205,440
2020년08월_여_90~99세,823,106,96,84,54,65,75,45,72,77,38,111
2020년08월_여_100세 이상,44,7,20,5,0,0,3,1,1,3,1,3
