,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년02월_계_총인구수,"196,685","31,357","37,985","23,480","16,361","22,213","17,786","25,702","21,801"
2021년02월_계_연령구간인구수,"196,685","31,357","37,985","23,480","16,361","22,213","17,786","25,702","21,801"
2021년02월_계_0~9세,"14,918","4,546","2,688","1,752",723,"1,575",726,"1,332","1,576"
2021년02월_계_10~19세,"17,952","2,277","3,932","2,356","1,081","2,733","1,207","2,117","2,249"
2021년02월_계_20~29세,"27,129","3,309","5,627","3,363","2,216","3,039","2,743","3,800","3,032"
2021년02월_계_30~39세,"26,044","5,936","4,573","3,014","2,023","2,494","2,090","3,200","2,714"
2021년02월_계_40~49세,"32,582","5,791","6,304","3,948","2,474","3,826","2,550","3,725","3,964"
2021년02월_계_50~59세,"35,698","4,253","7,260","4,315","3,220","3,949","3,669","5,066","3,966"
2021년02월_계_60~69세,"24,888","3,315","4,375","2,692","2,620","2,744","2,867","3,838","2,437"
2021년02월_계_70~79세,"11,759","1,439","2,088","1,372","1,317","1,238","1,321","1,744","1,240"
2021년02월_계_80~89세,"4,936",416,993,585,579,536,526,762,539
2021년02월_계_90~99세,695,72,139,75,81,73,77,103,75
2021년02월_계_100세 이상,84,3,6,8,27,6,10,15,9
2021년02월_남_총인구수,"97,601","15,557","18,766","11,493","8,348","10,778","8,854","12,799","11,006"
2021년02월_남_연령구간인구수,"97,601","15,557","18,766","11,493","8,348","10,778","8,854","12,799","11,006"
2021년02월_남_0~9세,"7,706","2,354","1,424",892,376,800,391,668,801
2021년02월_남_10~19세,"9,266","1,135","2,090","1,229",520,"1,381",626,"1,116","1,169"
2021년02월_남_20~29세,"13,948","1,647","2,915","1,693","1,150","1,572","1,357","2,002","1,612"
2021년02월_남_30~39세,"13,094","2,854","2,296","1,473","1,116","1,214","1,127","1,635","1,379"
2021년02월_남_40~49세,"16,289","3,093","3,007","1,919","1,345","1,768","1,283","1,939","1,935"
2021년02월_남_50~59세,"17,575","2,039","3,484","2,115","1,647","1,906","1,837","2,491","2,056"
2021년02월_남_60~69세,"12,425","1,583","2,230","1,318","1,336","1,335","1,460","1,900","1,263"
2021년02월_남_70~79세,"5,277",705,901,609,611,568,575,750,558
2021년02월_남_80~89세,"1,812",130,378,215,211,215,176,275,212
2021년02월_남_90~99세,182,15,39,27,25,18,19,19,20
2021년02월_남_100세 이상,27,2,2,3,11,1,3,4,1
2021년02월_여_총인구수,"99,084","15,800","19,219","11,987","8,013","11,435","8,932","12,903","10,795"
2021년02월_여_연령구간인구수,"99,084","15,800","19,219","11,987","8,013","11,435","8,932","12,903","10,795"
2021년02월_여_0~9세,"7,212","2,192","1,264",860,347,775,335,664,775
2021년02월_여_10~19세,"8,686","1,142","1,842","1,127",561,"1,352",581,"1,001","1,080"
2021년02월_여_20~29세,"13,181","1,662","2,712","1,670","1,066","1,467","1,386","1,798","1,420"
2021년02월_여_30~39세,"12,950","3,082","2,277","1,541",907,"1,280",963,"1,565","1,335"
2021년02월_여_40~49세,"16,293","2,698","3,297","2,029","1,129","2,058","1,267","1,786","2,029"
2021년02월_여_50~59세,"18,123","2,214","3,776","2,200","1,573","2,043","1,832","2,575","1,910"
2021년02월_여_60~69세,"12,463","1,732","2,145","1,374","1,284","1,409","1,407","1,938","1,174"
2021년02월_여_70~79세,"6,482",734,"1,187",763,706,670,746,994,682
2021년02월_여_80~89세,"3,124",286,615,370,368,321,350,487,327
2021년02월_여_90~99세,513,57,100,48,56,55,58,84,55
2021년02월_여_100세 이상,57,1,4,5,16,5,7,11,8
