,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년05월_계_총인구수,"2,402,940","75,133","341,730","168,704","146,066","437,892","420,820","552,192","260,403"
2021년05월_계_연령구간인구수,"2,402,940","75,133","341,730","168,704","146,066","437,892","420,820","552,192","260,403"
2021년05월_계_0~9세,"173,269","4,886","24,544","7,212","6,669","32,963","29,312","38,595","29,088"
2021년05월_계_10~19세,"221,672","4,974","26,360","10,525","9,274","42,462","50,122","53,891","24,064"
2021년05월_계_20~29세,"316,866","11,597","41,273","21,070","20,306","61,812","54,420","77,616","28,772"
2021년05월_계_30~39세,"289,317","10,550","43,472","17,214","17,049","53,071","42,162","64,733","41,066"
2021년05월_계_40~49세,"378,018","10,505","51,054","22,218","20,009","71,258","71,545","87,508","43,921"
2021년05월_계_50~59세,"421,792","11,142","56,662","33,428","24,735","77,887","74,856","102,347","40,735"
2021년05월_계_60~69세,"335,269","10,249","52,816","31,793","24,403","55,773","53,179","75,788","31,268"
2021년05월_계_70~79세,"176,065","7,238","30,336","17,257","15,044","28,478","28,916","34,619","14,177"
2021년05월_계_80~89세,"80,339","3,432","13,582","7,166","7,509","12,661","14,305","15,229","6,455"
2021년05월_계_90~99세,"9,830",486,"1,550",761,998,"1,460","1,927","1,812",836
2021년05월_계_100세 이상,503,74,81,60,70,67,76,54,21
2021년05월_남_총인구수,"1,184,977","36,106","168,209","84,423","70,118","218,036","203,573","272,325","132,187"
2021년05월_남_연령구간인구수,"1,184,977","36,106","168,209","84,423","70,118","218,036","203,573","272,325","132,187"
2021년05월_남_0~9세,"88,761","2,515","12,517","3,711","3,445","16,897","15,114","19,726","14,836"
2021년05월_남_10~19세,"115,747","2,556","13,839","5,445","4,875","22,062","26,449","27,969","12,552"
2021년05월_남_20~29세,"169,020","5,549","22,047","11,589","10,122","33,417","29,147","41,359","15,790"
2021년05월_남_30~39세,"150,980","5,468","23,008","9,764","8,996","27,891","20,590","33,798","21,465"
2021년05월_남_40~49세,"186,596","5,322","26,163","11,933","10,116","34,993","32,643","42,497","22,929"
2021년05월_남_50~59세,"206,719","5,518","27,634","16,897","12,064","38,669","36,218","49,448","20,271"
2021년05월_남_60~69세,"159,410","4,740","24,503","14,877","11,163","27,065","25,099","36,454","15,509"
2021년05월_남_70~79세,"77,140","3,049","13,245","7,553","6,385","12,306","12,584","15,452","6,566"
2021년05월_남_80~89세,"28,380","1,260","4,892","2,510","2,716","4,428","5,252","5,219","2,103"
2021년05월_남_90~99세,"2,107",114,334,129,222,295,456,394,163
2021년05월_남_100세 이상,117,15,27,15,14,13,21,9,3
2021년05월_여_총인구수,"1,217,963","39,027","173,521","84,281","75,948","219,856","217,247","279,867","128,216"
2021년05월_여_연령구간인구수,"1,217,963","39,027","173,521","84,281","75,948","219,856","217,247","279,867","128,216"
2021년05월_여_0~9세,"84,508","2,371","12,027","3,501","3,224","16,066","14,198","18,869","14,252"
2021년05월_여_10~19세,"105,925","2,418","12,521","5,080","4,399","20,400","23,673","25,922","11,512"
2021년05월_여_20~29세,"147,846","6,048","19,226","9,481","10,184","28,395","25,273","36,257","12,982"
2021년05월_여_30~39세,"138,337","5,082","20,464","7,450","8,053","25,180","21,572","30,935","19,601"
2021년05월_여_40~49세,"191,422","5,183","24,891","10,285","9,893","36,265","38,902","45,011","20,992"
2021년05월_여_50~59세,"215,073","5,624","29,028","16,531","12,671","39,218","38,638","52,899","20,464"
2021년05월_여_60~69세,"175,859","5,509","28,313","16,916","13,240","28,708","28,080","39,334","15,759"
2021년05월_여_70~79세,"98,925","4,189","17,091","9,704","8,659","16,172","16,332","19,167","7,611"
2021년05월_여_80~89세,"51,959","2,172","8,690","4,656","4,793","8,233","9,053","10,010","4,352"
2021년05월_여_90~99세,"7,723",372,"1,216",632,776,"1,165","1,471","1,418",673
2021년05월_여_100세 이상,386,59,54,45,56,54,55,45,18
