,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년09월_계_총인구수,"2,426,849","77,030","343,233","171,947","146,864","440,500","425,949","562,972","258,354"
2020년09월_계_연령구간인구수,"2,426,849","77,030","343,233","171,947","146,864","440,500","425,949","562,972","258,354"
2020년09월_계_0~9세,"181,188","5,262","25,683","7,745","6,868","34,591","30,126","41,226","29,687"
2020년09월_계_10~19세,"228,270","5,111","26,846","11,136","9,536","43,868","51,854","56,150","23,769"
2020년09월_계_20~29세,"323,230","11,976","41,847","21,845","20,453","61,937","55,881","80,224","29,067"
2020년09월_계_30~39세,"298,224","10,974","44,514","17,785","17,266","54,630","43,356","67,716","41,983"
2020년09월_계_40~49세,"386,278","10,772","51,682","23,202","20,529","73,103","73,426","90,453","43,111"
2020년09월_계_50~59세,"427,217","11,457","57,318","34,680","25,130","78,011","75,383","104,461","40,777"
2020년09월_계_60~69세,"321,394","10,166","50,779","30,754","23,738","52,873","51,578","72,386","29,120"
2020년09월_계_70~79세,"174,520","7,354","30,174","17,180","15,163","28,058","28,657","34,068","13,866"
2020년09월_계_80~89세,"76,577","3,379","12,811","6,756","7,180","11,991","13,777","14,507","6,176"
2020년09월_계_90~99세,"9,240",478,"1,456",764,916,"1,346","1,815","1,694",771
2020년09월_계_100세 이상,711,101,123,100,85,92,96,87,27
2020년09월_남_총인구수,"1,197,914","37,052","169,170","86,202","70,576","219,416","206,262","277,979","131,257"
2020년09월_남_연령구간인구수,"1,197,914","37,052","169,170","86,202","70,576","219,416","206,262","277,979","131,257"
2020년09월_남_0~9세,"92,857","2,716","13,103","3,999","3,558","17,717","15,496","21,126","15,142"
2020년09월_남_10~19세,"119,297","2,612","14,096","5,816","5,022","22,753","27,389","29,145","12,464"
2020년09월_남_20~29세,"173,021","5,732","22,409","12,030","10,280","33,714","30,078","42,807","15,971"
2020년09월_남_30~39세,"154,844","5,668","23,435","10,064","9,015","28,523","21,045","35,231","21,863"
2020년09월_남_40~49세,"190,535","5,481","26,649","12,439","10,355","35,840","33,452","43,820","22,499"
2020년09월_남_50~59세,"209,104","5,664","27,779","17,410","12,223","38,672","36,535","50,504","20,317"
2020년09월_남_60~69세,"153,067","4,690","23,623","14,422","10,835","25,739","24,322","34,951","14,485"
2020년09월_남_70~79세,"76,218","3,111","13,164","7,538","6,459","11,996","12,498","15,120","6,332"
2020년09월_남_80~89세,"26,767","1,246","4,562","2,318","2,580","4,166","4,996","4,885","2,014"
2020년09월_남_90~99세,"2,035",111,315,143,231,277,424,372,162
2020년09월_남_100세 이상,169,21,35,23,18,19,27,18,8
2020년09월_여_총인구수,"1,228,935","39,978","174,063","85,745","76,288","221,084","219,687","284,993","127,097"
2020년09월_여_연령구간인구수,"1,228,935","39,978","174,063","85,745","76,288","221,084","219,687","284,993","127,097"
2020년09월_여_0~9세,"88,331","2,546","12,580","3,746","3,310","16,874","14,630","20,100","14,545"
2020년09월_여_10~19세,"108,973","2,499","12,750","5,320","4,514","21,115","24,465","27,005","11,305"
2020년09월_여_20~29세,"150,209","6,244","19,438","9,815","10,173","28,223","25,803","37,417","13,096"
2020년09월_여_30~39세,"143,380","5,306","21,079","7,721","8,251","26,107","22,311","32,485","20,120"
2020년09월_여_40~49세,"195,743","5,291","25,033","10,763","10,174","37,263","39,974","46,633","20,612"
2020년09월_여_50~59세,"218,113","5,793","29,539","17,270","12,907","39,339","38,848","53,957","20,460"
2020년09월_여_60~69세,"168,327","5,476","27,156","16,332","12,903","27,134","27,256","37,435","14,635"
2020년09월_여_70~79세,"98,302","4,243","17,010","9,642","8,704","16,062","16,159","18,948","7,534"
2020년09월_여_80~89세,"49,810","2,133","8,249","4,438","4,600","7,825","8,781","9,622","4,162"
2020년09월_여_90~99세,"7,205",367,"1,141",621,685,"1,069","1,391","1,322",609
2020년09월_여_100세 이상,542,80,88,77,67,73,69,69,19
