,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2021년07월_계_총인구수,"174,986","14,514","7,069","12,488","16,394","27,562","19,561","11,000","16,420","13,959","6,593","13,268","16,158"
2021년07월_계_연령구간인구수,"174,986","14,514","7,069","12,488","16,394","27,562","19,561","11,000","16,420","13,959","6,593","13,268","16,158"
2021년07월_계_0~9세,"10,726",609,286,653,912,"1,971",908,470,"1,964",759,437,852,905
2021년07월_계_10~19세,"16,129",975,469,974,"1,643","3,749","1,580",880,"1,515","1,218",598,"1,019","1,509"
2021년07월_계_20~29세,"24,276","2,270",809,"1,426","2,239","4,046","3,002","1,453","1,946","2,159",998,"1,742","2,186"
2021년07월_계_30~39세,"19,747","1,537",801,"1,217","1,585","2,669","2,202","1,101","2,845","1,690",997,"1,614","1,489"
2021년07월_계_40~49세,"26,482","1,912","1,052","1,741","2,481","4,880","2,984","1,489","2,686","2,096","1,178","1,727","2,256"
2021년07월_계_50~59세,"33,244","2,686","1,329","2,329","3,171","5,575","3,729","2,142","2,601","2,659","1,151","2,616","3,256"
2021년07월_계_60~69세,"25,921","2,655","1,349","2,311","2,549","2,836","3,078","1,895","1,807","1,854",767,"2,088","2,732"
2021년07월_계_70~79세,"12,184","1,319",677,"1,171","1,220","1,151","1,427","1,024",666,"1,003",310,"1,038","1,178"
2021년07월_계_80~89세,"5,535",468,250,593,527,608,586,486,341,462,135,516,563
2021년07월_계_90~99세,713,78,45,71,65,74,63,52,48,57,21,55,84
2021년07월_계_100세 이상,29,5,2,2,2,3,2,8,1,2,1,1,0
2021년07월_남_총인구수,"89,057","7,739","3,738","6,347","8,173","13,643","10,164","5,630","8,425","7,409","3,590","6,298","7,901"
2021년07월_남_연령구간인구수,"89,057","7,739","3,738","6,347","8,173","13,643","10,164","5,630","8,425","7,409","3,590","6,298","7,901"
2021년07월_남_0~9세,"5,420",317,151,323,459,986,454,215,"1,023",400,216,420,456
2021년07월_남_10~19세,"8,409",548,261,511,865,"1,907",845,472,781,629,299,511,780
2021년07월_남_20~29세,"13,477","1,257",460,782,"1,217","2,192","1,668",812,"1,066","1,254",585,935,"1,249"
2021년07월_남_30~39세,"10,812",888,422,677,879,"1,345","1,258",633,"1,452",994,623,859,782
2021년07월_남_40~49세,"13,587","1,097",615,920,"1,226","2,196","1,603",804,"1,434","1,139",665,846,"1,042"
2021년07월_남_50~59세,"16,877","1,431",722,"1,223","1,555","2,813","1,926","1,105","1,288","1,452",614,"1,213","1,535"
2021년07월_남_60~69세,"12,824","1,359",708,"1,136","1,190","1,453","1,504",928,937,904,395,961,"1,349"
2021년07월_남_70~79세,"5,554",646,306,549,556,512,670,481,309,450,148,408,519
2021년07월_남_80~89세,"1,952",180,86,208,210,222,224,173,124,173,43,133,176
2021년07월_남_90~99세,143,15,7,18,15,17,12,7,11,14,2,12,13
2021년07월_남_100세 이상,2,1,0,0,1,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"85,929","6,775","3,331","6,141","8,221","13,919","9,397","5,370","7,995","6,550","3,003","6,970","8,257"
2021년07월_여_연령구간인구수,"85,929","6,775","3,331","6,141","8,221","13,919","9,397","5,370","7,995","6,550","3,003","6,970","8,257"
2021년07월_여_0~9세,"5,306",292,135,330,453,985,454,255,941,359,221,432,449
2021년07월_여_10~19세,"7,720",427,208,463,778,"1,842",735,408,734,589,299,508,729
2021년07월_여_20~29세,"10,799","1,013",349,644,"1,022","1,854","1,334",641,880,905,413,807,937
2021년07월_여_30~39세,"8,935",649,379,540,706,"1,324",944,468,"1,393",696,374,755,707
2021년07월_여_40~49세,"12,895",815,437,821,"1,255","2,684","1,381",685,"1,252",957,513,881,"1,214"
2021년07월_여_50~59세,"16,367","1,255",607,"1,106","1,616","2,762","1,803","1,037","1,313","1,207",537,"1,403","1,721"
2021년07월_여_60~69세,"13,097","1,296",641,"1,175","1,359","1,383","1,574",967,870,950,372,"1,127","1,383"
2021년07월_여_70~79세,"6,630",673,371,622,664,639,757,543,357,553,162,630,659
2021년07월_여_80~89세,"3,583",288,164,385,317,386,362,313,217,289,92,383,387
2021년07월_여_90~99세,570,63,38,53,50,57,51,45,37,43,19,43,71
2021년07월_여_100세 이상,27,4,2,2,1,3,2,8,1,2,1,1,0
