,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년03월_여_0~9세,"27,204","12,333",158,50,325,89,164,171,491,753,"1,572",291,"2,034",394,381,855,333,274,520,"1,831","1,647","14,871",354,825,302,"1,434","1,047",110,235,170,360,475,823,"3,929","1,113",439,"1,759","1,496",0
2020년03월_여_10~19세,"35,476","18,036",255,95,406,172,218,360,628,"1,329","2,494",446,"2,671",586,700,"1,293",458,500,824,"2,229","2,372","17,440",524,"1,181",388,"2,088",778,215,336,273,409,685,"1,345","4,101","1,568",478,"1,509","1,562",0
2020년03월_여_20~29세,"43,682","23,525",433,203,710,253,358,485,"1,204","1,538","2,900",653,"2,781",817,998,"1,443",711,755,"1,027","2,798","3,458","20,157",838,"1,144",764,"2,231","1,416",906,745,369,653,985,"1,262","3,609","1,918",692,"1,878",747,0
2020년03월_여_30~39세,"40,869","19,821",358,174,697,188,274,368,853,"1,165","2,448",640,"2,726",628,669,"1,149",608,546,882,"2,424","3,024","21,048",626,"1,057",609,"2,069","1,679",388,496,302,590,933,"1,127","4,839","1,524",779,"2,564","1,466",0
2020년03월_여_40~49세,"55,235","28,489",441,219,828,328,385,577,"1,107","1,937","3,760",862,"4,020",961,"1,009","2,042",815,781,"1,190","3,388","3,839","26,746",918,"1,688",713,"3,224","1,411",349,598,431,700,"1,233","1,765","5,920","2,271",846,"2,504","2,175",0
2020년03월_여_50~59세,"53,885","29,605",673,359,"1,102",381,548,818,"1,428","1,617","3,467","1,252","3,966","1,234","1,524","2,242","1,032","1,037","1,492","2,883","2,550","24,280","1,255","1,497",960,"2,444","1,432",541,850,693,871,"1,190","1,919","3,974","2,404","1,024","2,223","1,003",0
2020년03월_여_60~69세,"38,482","21,395",747,471,"1,178",459,636,902,"1,106",910,"1,903","1,159","2,937",901,"1,156","1,344",975,912,"1,110","1,559","1,030","17,087","1,237","1,213","1,011","1,403","1,108",489,928,662,742,862,"1,386","1,942","1,496",790,"1,382",436,0
2020년03월_여_70~79세,"23,533","12,716",496,388,853,402,448,607,601,438,"1,144",920,"1,547",520,561,787,680,529,596,691,508,"10,817","1,144",803,744,972,715,368,672,495,377,506,750,966,837,535,744,189,0
2020년03월_여_80~89세,"12,239","6,763",271,194,481,225,256,295,317,239,595,503,829,245,281,516,293,225,321,403,274,"5,476",547,339,299,482,336,170,267,228,212,295,418,534,463,369,402,115,0
2020년03월_여_90~99세,"2,025","1,179",40,50,84,37,46,44,44,45,81,86,131,52,46,88,57,42,67,89,50,846,78,57,41,71,54,26,33,29,34,44,65,103,75,48,65,23,0
2020년03월_여_100세 이상,134,68,8,2,13,1,4,4,2,3,4,1,7,1,1,2,3,3,1,3,5,66,6,10,6,4,14,0,1,4,1,1,2,1,1,8,7,0,0
