카테고리,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020년10월_계_총인구수,"2,120,347","658,911","258,556","400,355","104,972","100,336","314,552","175,426","117,030","42,767","166,073","51,476","65,528","51,933","30,823","99,844","78,286","62,390"
2020년10월_계_연령구간인구수,"2,120,347","658,911","258,556","400,355","104,972","100,336","314,552","175,426","117,030","42,767","166,073","51,476","65,528","51,933","30,823","99,844","78,286","62,390"
2020년10월_계_0~9세,"174,262","62,635","20,685","41,950","5,873","6,210","33,279","15,530","7,304","3,932","15,711","2,614","2,967","2,327","1,285","7,797","3,663","3,135"
2020년10월_계_10~19세,"203,350","68,654","26,353","42,301","8,307","8,353","34,338","17,328","9,911","6,339","15,691","4,324","4,722","3,494","2,048","9,632","5,699","4,510"
2020년10월_계_20~29세,"242,446","96,365","35,411","60,954","11,344","9,559","36,143","19,184","11,445","4,849","16,084","3,977","5,431","3,910","2,622","9,606","6,866","5,061"
2020년10월_계_30~39세,"269,895","106,056","33,526","72,530","9,576","9,505","48,460","22,212","10,874","4,624","22,881","3,800","4,455","3,479","2,079","10,546","6,181","5,167"
2020년10월_계_40~49세,"328,045","111,999","43,016","68,983","13,426","14,020","55,915","27,807","15,495","8,436","26,634","6,268","7,242","5,868","3,120","14,473","9,602","7,740"
2020년10월_계_50~59세,"340,592","103,176","44,067","59,109","18,610","17,263","46,001","28,402","19,803","6,910","25,946","9,137","10,938","8,560","5,292","15,902","13,757","10,895"
2020년10월_계_60~69세,"275,826","62,658","30,792","31,866","18,181","16,902","31,372","21,710","19,852","4,397","20,717","9,721","12,946","10,144","6,070","14,554","14,648","11,954"
2020년10월_계_70~79세,"171,072","30,008","15,472","14,536","11,469","11,269","17,978","13,865","13,030","2,016","13,261","6,824","9,479","8,045","4,538","10,056","10,443","8,791"
2020년10월_계_80~89세,"99,693","14,992","7,961","7,031","7,109","6,280","9,652","8,125","8,034","1,079","7,947","4,234","6,299","5,235","3,310","6,342","6,560","4,495"
2020년10월_계_90~99세,"14,249","2,193","1,185","1,008","1,016",912,"1,300","1,203","1,191",174,"1,131",548,993,829,440,875,828,616
2020년10월_계_100세 이상,917,175,88,87,61,63,114,60,91,11,70,29,56,42,19,61,39,26
2020년10월_남_총인구수,"1,081,967","336,138","130,986","205,152","52,542","50,850","163,284","91,228","58,493","21,306","88,081","25,957","32,454","25,687","15,616","49,626","39,276","31,429"
2020년10월_남_연령구간인구수,"1,081,967","336,138","130,986","205,152","52,542","50,850","163,284","91,228","58,493","21,306","88,081","25,957","32,454","25,687","15,616","49,626","39,276","31,429"
2020년10월_남_0~9세,"89,222","31,992","10,648","21,344","3,053","3,125","17,076","8,002","3,741","1,996","8,021","1,330","1,581","1,166",654,"4,048","1,902","1,535"
2020년10월_남_10~19세,"105,647","35,608","13,692","21,916","4,286","4,339","17,682","9,194","5,129","3,321","8,238","2,265","2,507","1,808","1,078","4,917","2,927","2,348"
2020년10월_남_20~29세,"133,832","50,622","18,770","31,852","6,303","5,621","20,091","11,337","6,396","2,697","9,417","2,287","3,138","2,283","1,514","5,285","3,876","2,965"
