,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년10월_계_총인구수,"397,516","22,507","30,705","28,869","27,621","15,875","18,127","32,112","16,212","23,235","9,921","34,687","12,742","8,634","16,156","13,939","23,351","37,973","24,850"
2021년10월_계_연령구간인구수,"397,516","22,507","30,705","28,869","27,621","15,875","18,127","32,112","16,212","23,235","9,921","34,687","12,742","8,634","16,156","13,939","23,351","37,973","24,850"
2021년10월_계_0~9세,"27,351","1,232","2,829","2,892","2,171","1,224","1,174","2,004","1,040","1,715",475,"2,506",470,224,"1,224",343,830,"3,794","1,204"
2021년10월_계_10~19세,"37,037","1,541","3,042","3,149","2,530","1,168","1,971","2,795","1,769","2,919",482,"4,085",584,475,"1,525",703,"1,395","4,979","1,925"
2021년10월_계_20~29세,"47,336","2,953","3,375","2,758","3,389","1,663","2,741","5,060","1,903","2,863","1,127","4,085","1,375",939,"1,993","1,573","2,323","4,107","3,109"
2021년10월_계_30~39세,"45,405","2,831","3,716","3,387","3,533","2,193","2,081","4,425","1,627","2,454","1,240","3,539","1,487",774,"1,910","1,104","1,839","4,476","2,789"
2021년10월_계_40~49세,"64,300","3,337","5,153","5,041","4,729","2,716","3,145","4,890","2,470","3,921","1,325","6,010","1,664","1,079","2,578","1,679","3,044","7,754","3,765"
2021년10월_계_50~59세,"69,475","3,837","5,399","4,797","4,844","2,768","3,209","5,709","2,954","4,278","1,703","6,271","2,334","1,625","2,910","2,604","4,035","5,602","4,596"
2021년10월_계_60~69세,"59,966","3,697","4,038","3,991","3,580","2,520","1,970","4,064","2,348","2,841","2,006","4,846","2,567","1,882","2,571","2,871","5,159","4,387","4,628"
2021년10월_계_70~79세,"31,113","2,133","2,086","1,888","1,872","1,120","1,092","1,961","1,237","1,378","1,014","2,281","1,565","1,093","1,056","2,064","3,197","2,103","1,973"
2021년10월_계_80~89세,"13,651",824,921,838,858,416,660,"1,063",751,762,483,924,639,498,344,896,"1,336",674,764
2021년10월_계_90~99세,"1,809",118,140,125,98,80,82,138,112,102,64,137,54,45,43,96,188,94,93
2021년10월_계_100세 이상,73,4,6,3,17,7,2,3,1,2,2,3,3,0,2,6,5,3,4
2021년10월_남_총인구수,"191,154","10,696","14,625","13,668","13,293","7,554","8,449","14,778","7,609","11,021","4,783","17,112","6,190","4,238","7,976","6,982","11,357","18,673","12,150"
2021년10월_남_연령구간인구수,"191,154","10,696","14,625","13,668","13,293","7,554","8,449","14,778","7,609","11,021","4,783","17,112","6,190","4,238","7,976","6,982","11,357","18,673","12,150"
2021년10월_남_0~9세,"14,103",615,"1,473","1,486","1,148",581,587,"1,033",519,913,252,"1,282",222,125,647,166,438,"1,996",620
2021년10월_남_10~19세,"19,086",779,"1,564","1,578","1,312",615,"1,041","1,414",921,"1,472",268,"2,151",307,257,771,357,743,"2,551",985
2021년10월_남_20~29세,"24,690","1,445","1,724","1,442","1,727",862,"1,297","2,376","1,029","1,502",611,"2,222",773,519,"1,070",885,"1,298","2,166","1,742"
2021년10월_남_30~39세,"22,240","1,422","1,716","1,478","1,677","1,038",978,"2,100",787,"1,155",662,"1,705",821,459,963,661,"1,024","2,133","1,461"
2021년10월_남_40~49세,"30,620","1,596","2,338","2,328","2,211","1,327","1,353","2,176","1,087","1,716",704,"2,798",897,590,"1,292",944,"1,664","3,669","1,930"
2021년10월_남_50~59세,"33,058","1,803","2,576","2,202","2,331","1,287","1,555","2,530","1,359","2,009",782,"3,123","1,119",798,"1,351","1,371","1,974","2,800","2,088"
