카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년11월_계_총인구수,"223,831","14,552","36,123","13,984","11,399","6,211","15,633","14,615","4,406","4,728","2,659","16,944","57,330","15,016","10,231"
2021년11월_계_연령구간인구수,"223,831","14,552","36,123","13,984","11,399","6,211","15,633","14,615","4,406","4,728","2,659","16,944","57,330","15,016","10,231"
2021년11월_계_0~9세,"18,027",906,"3,020","1,036",746,288,"1,565","1,100",129,149,57,865,"6,750",882,534
2021년11월_계_10~19세,"22,736","1,310","4,388","1,027",850,647,"1,489","1,179",248,215,119,"1,477","8,151",881,755
2021년11월_계_20~29세,"31,493","1,516","5,235","1,639","1,340",747,"2,393","2,717",368,407,171,"2,783","7,442","3,220","1,515"
2021년11월_계_30~39세,"30,945","1,449","5,006","1,813","1,269",669,"2,800","2,482",350,352,151,"2,183","8,679","2,457","1,285"
2021년11월_계_40~49세,"35,029","2,003","6,577","1,962","1,600",692,"2,150","2,142",477,492,224,"2,475","10,968","1,833","1,434"
2021년11월_계_50~59세,"35,635","2,386","5,617","2,611","2,155","1,094","2,098","1,934",822,847,424,"2,844","8,578","2,263","1,962"
2021년11월_계_60~69세,"28,633","2,638","3,715","2,276","1,904","1,133","1,737","1,693","1,027","1,097",715,"2,575","4,401","2,062","1,660"
2021년11월_계_70~79세,"13,180","1,389","1,631","1,033",901,566,876,850,566,666,408,"1,155","1,506",904,729
2021년11월_계_80~89세,"7,136",841,836,504,539,326,452,450,372,431,343,520,751,450,321
2021년11월_계_90~99세,983,111,95,79,92,48,70,67,47,65,45,67,104,59,34
2021년11월_계_100세 이상,34,3,3,4,3,1,3,1,0,7,2,0,0,5,2
2021년11월_남_총인구수,"116,100","7,398","19,067","7,314","5,819","3,345","8,548","7,458","2,359","2,503","1,378","8,473","28,592","8,608","5,238"
2021년11월_남_연령구간인구수,"116,100","7,398","19,067","7,314","5,819","3,345","8,548","7,458","2,359","2,503","1,378","8,473","28,592","8,608","5,238"
2021년11월_남_0~9세,"9,301",453,"1,551",525,390,145,825,555,72,74,35,450,"3,484",460,282
2021년11월_남_10~19세,"11,814",697,"2,260",563,453,365,761,601,151,106,64,741,"4,231",463,358
2021년11월_남_20~29세,"17,947",894,"3,164",869,748,424,"1,471","1,354",224,248,102,"1,517","3,908","2,246",778
2021년11월_남_30~39세,"16,682",779,"2,667",983,644,403,"1,601","1,322",214,222,92,"1,256","4,173","1,585",741
2021년11월_남_40~49세,"18,168","1,035","3,367","1,085",850,400,"1,225","1,191",271,294,142,"1,237","5,292","1,015",764
2021년11월_남_50~59세,"18,550","1,245","3,035","1,364","1,083",640,"1,141","1,018",457,483,223,"1,352","4,338","1,171","1,000"
2021년11월_남_60~69세,"14,691","1,312","1,936","1,215","1,001",583,914,854,543,582,382,"1,187","2,274","1,046",862
2021년11월_남_70~79세,"6,090",646,760,497,406,260,426,396,272,320,194,535,627,423,328
2021년11월_남_80~89세,"2,619",310,306,196,220,114,165,151,142,157,134,179,245,183,117
2021년11월_남_90~99세,230,27,21,16,24,11,17,16,13,15,9,19,20,14,8
2021년11월_남_100세 이상,8,0,0,1,0,0,2,0,0,2,1,0,0,2,0
2021년11월_여_총인구수,"107,731","7,154","17,056","6,670","5,580","2,866","7,085","7,157","2,047","2,225","1,281","8,471","28,738","6,408","4,993"
2021년11월_여_연령구간인구수,"107,731","7,154","17,056","6,670","5,580","2,866","7,085","7,157","2,047","2,225","1,281","8,471","28,738","6,408","4,993"
2021년11월_여_0~9세,"8,726",453,"1,469",511,356,143,740,545,57,75,22,415,"3,266",422,252
2021년11월_여_10~19세,"10,922",613,"2,128",464,397,282,728,578,97,109,55,736,"3,920",418,397
2021년11월_여_20~29세,"13,546",622,"2,071",770,592,323,922,"1,363",144,159,69,"1,266","3,534",974,737
2021년11월_여_30~39세,"14,263",670,"2,339",830,625,266,"1,199","1,160",136,130,59,927,"4,506",872,544
2021년11월_여_40~49세,"16,861",968,"3,210",877,750,292,925,951,206,198,82,"1,238","5,676",818,670
2021년11월_여_50~59세,"17,085","1,141","2,582","1,247","1,072",454,957,916,365,364,201,"1,492","4,240","1,092",962
2021년11월_여_60~69세,"13,942","1,326","1,779","1,061",903,550,823,839,484,515,333,"1,388","2,127","1,016",798
2021년11월_여_70~79세,"7,090",743,871,536,495,306,450,454,294,346,214,620,879,481,401
2021년11월_여_80~89세,"4,517",531,530,308,319,212,287,299,230,274,209,341,506,267,204
2021년11월_여_90~99세,753,84,74,63,68,37,53,51,34,50,36,48,84,45,26
2021년11월_여_100세 이상,26,3,3,3,3,1,1,1,0,5,1,0,0,3,2
