,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년05월_계_총인구수,"176,062","13,955","12,258","14,824","27,598","11,235","25,854","18,669","9,507","13,625","28,537"
2021년05월_계_연령구간인구수,"176,062","13,955","12,258","14,824","27,598","11,235","25,854","18,669","9,507","13,625","28,537"
2021년05월_계_0~9세,"10,217",710,875,586,"1,671",666,"1,218","1,076",277,905,"2,233"
2021년05월_계_10~19세,"11,643","1,188","1,166",658,"1,931",799,"1,555","1,255",397,909,"1,785"
2021년05월_계_20~29세,"24,095","1,836","1,331","1,799","3,024","1,204","5,064","2,858","1,879","1,763","3,337"
2021년05월_계_30~39세,"23,749","1,621","1,251","1,747","3,337","1,372","4,130","2,738","1,409","2,038","4,106"
2021년05월_계_40~49세,"25,217","2,013","1,940","1,893","3,770","1,651","3,533","2,838","1,179","2,076","4,324"
2021년05월_계_50~59세,"27,265","2,439","2,169","2,271","4,258","1,857","3,532","2,712","1,323","2,096","4,608"
2021년05월_계_60~69세,"28,888","2,142","1,941","2,967","5,174","2,007","3,668","2,664","1,618","2,019","4,688"
2021년05월_계_70~79세,"17,082","1,274","1,095","1,969","2,974","1,208","2,173","1,746",996,"1,207","2,440"
2021년05월_계_80~89세,"6,978",628,412,830,"1,282",415,865,701,391,560,894
2021년05월_계_90~99세,893,102,70,100,175,55,110,73,37,50,121
2021년05월_계_100세 이상,35,2,8,4,2,1,6,8,1,2,1
2021년05월_남_총인구수,"83,210","6,423","5,703","7,121","13,189","5,531","12,077","8,675","4,540","6,191","13,760"
2021년05월_남_연령구간인구수,"83,210","6,423","5,703","7,121","13,189","5,531","12,077","8,675","4,540","6,191","13,760"
2021년05월_남_0~9세,"5,257",338,441,317,874,342,634,545,145,486,"1,135"
2021년05월_남_10~19세,"5,990",601,591,344,996,427,855,627,202,443,904
2021년05월_남_20~29세,"11,697",901,681,897,"1,570",669,"2,203","1,324",854,826,"1,772"
2021년05월_남_30~39세,"11,841",788,586,925,"1,662",736,"2,080","1,330",737,961,"2,036"
2021년05월_남_40~49세,"12,437",937,873,"1,021","1,896",849,"1,730","1,392",607,938,"2,194"
2021년05월_남_50~59세,"12,629","1,119",953,"1,082","1,960",903,"1,613","1,262",659,942,"2,136"
2021년05월_남_60~69세,"12,804",944,890,"1,293","2,299",902,"1,599","1,161",756,850,"2,110"
2021년05월_남_70~79세,"7,642",527,514,890,"1,378",525,"1,005",729,426,527,"1,121"
2021년05월_남_80~89세,"2,675",233,161,327,500,172,324,281,145,207,325
2021년05월_남_90~99세,230,34,11,25,54,6,32,21,9,11,27
2021년05월_남_100세 이상,8,1,2,0,0,0,2,3,0,0,0
2021년05월_여_총인구수,"92,852","7,532","6,555","7,703","14,409","5,704","13,777","9,994","4,967","7,434","14,777"
2021년05월_여_연령구간인구수,"92,852","7,532","6,555","7,703","14,409","5,704","13,777","9,994","4,967","7,434","14,777"
2021년05월_여_0~9세,"4,960",372,434,269,797,324,584,531,132,419,"1,098"
2021년05월_여_10~19세,"5,653",587,575,314,935,372,700,628,195,466,881
2021년05월_여_20~29세,"12,398",935,650,902,"1,454",535,"2,861","1,534","1,025",937,"1,565"
2021년05월_여_30~39세,"11,908",833,665,822,"1,675",636,"2,050","1,408",672,"1,077","2,070"
2021년05월_여_40~49세,"12,780","1,076","1,067",872,"1,874",802,"1,803","1,446",572,"1,138","2,130"
2021년05월_여_50~59세,"14,636","1,320","1,216","1,189","2,298",954,"1,919","1,450",664,"1,154","2,472"
2021년05월_여_60~69세,"16,084","1,198","1,051","1,674","2,875","1,105","2,069","1,503",862,"1,169","2,578"
2021년05월_여_70~79세,"9,440",747,581,"1,079","1,596",683,"1,168","1,017",570,680,"1,319"
2021년05월_여_80~89세,"4,303",395,251,503,782,243,541,420,246,353,569
2021년05월_여_90~99세,663,68,59,75,121,49,78,52,28,39,94
2021년05월_여_100세 이상,27,1,6,4,2,1,4,5,1,2,1
