카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년07월_계_총인구수,"111,400","15,621","4,603","5,044","2,997","6,426","7,116","4,913","4,175","2,563","22,009","18,588","17,345"
2020년07월_계_연령구간인구수,"111,400","15,621","4,603","5,044","2,997","6,426","7,116","4,913","4,175","2,563","22,009","18,588","17,345"
2020년07월_계_0~9세,"7,601","1,084",177,177,100,300,227,148,141,114,"1,618","1,435","2,080"
2020년07월_계_10~19세,"9,697","1,318",275,284,141,441,433,388,264,145,"2,047","2,276","1,685"
2020년07월_계_20~29세,"12,084","1,655",451,415,237,552,612,406,348,213,"2,837","2,386","1,972"
2020년07월_계_30~39세,"11,718","1,870",293,358,195,519,465,305,307,186,"2,571","2,023","2,626"
2020년07월_계_40~49세,"16,067","2,249",414,519,285,704,726,609,496,275,"3,542","3,181","3,067"
2020년07월_계_50~59세,"20,092","2,820",867,982,587,"1,199","1,363",992,857,458,"3,894","3,314","2,759"
2020년07월_계_60~69세,"17,924","2,460","1,026","1,151",731,"1,296","1,592",980,861,596,"3,146","2,274","1,811"
2020년07월_계_70~79세,"10,210","1,346",669,710,459,858,"1,000",634,549,366,"1,561","1,156",902
2020년07월_계_80~89세,"5,182",709,381,382,218,477,603,389,292,184,680,476,391
2020년07월_계_90~99세,778,100,49,65,43,79,91,57,58,24,103,63,46
2020년07월_계_100세 이상,47,10,1,1,1,1,4,5,2,2,10,4,6
2020년07월_남_총인구수,"56,600","8,090","2,393","2,636","1,553","3,293","3,700","2,542","2,145","1,285","10,999","9,304","8,660"
2020년07월_남_연령구간인구수,"56,600","8,090","2,393","2,636","1,553","3,293","3,700","2,542","2,145","1,285","10,999","9,304","8,660"
2020년07월_남_0~9세,"3,915",532,104,96,55,126,123,77,68,52,837,752,"1,093"
2020년07월_남_10~19세,"5,013",681,153,155,63,231,237,225,140,71,"1,045","1,176",836
2020년07월_남_20~29세,"6,638",934,261,240,150,309,377,224,204,114,"1,505","1,268","1,052"
2020년07월_남_30~39세,"6,132","1,041",163,208,109,279,265,164,163,101,"1,314","1,034","1,291"
2020년07월_남_40~49세,"8,313","1,207",233,289,159,418,384,331,272,150,"1,782","1,542","1,546"
2020년07월_남_50~59세,"10,564","1,501",471,531,321,658,739,568,482,234,"1,952","1,727","1,380"
2020년07월_남_60~69세,"9,107","1,255",522,602,376,675,850,512,419,301,"1,569","1,122",904
2020년07월_남_70~79세,"4,807",648,343,347,225,422,456,279,276,177,720,501,413
2020년07월_남_80~89세,"1,928",262,131,155,88,159,240,144,110,77,251,171,140
2020년07월_남_90~99세,167,25,11,13,7,15,27,17,10,7,20,11,4
2020년07월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1
2020년07월_여_총인구수,"54,800","7,531","2,210","2,408","1,444","3,133","3,416","2,371","2,030","1,278","11,010","9,284","8,685"
2020년07월_여_연령구간인구수,"54,800","7,531","2,210","2,408","1,444","3,133","3,416","2,371","2,030","1,278","11,010","9,284","8,685"
2020년07월_여_0~9세,"3,686",552,73,81,45,174,104,71,73,62,781,683,987
2020년07월_여_10~19세,"4,684",637,122,129,78,210,196,163,124,74,"1,002","1,100",849
2020년07월_여_20~29세,"5,446",721,190,175,87,243,235,182,144,99,"1,332","1,118",920
2020년07월_여_30~39세,"5,586",829,130,150,86,240,200,141,144,85,"1,257",989,"1,335"
2020년07월_여_40~49세,"7,754","1,042",181,230,126,286,342,278,224,125,"1,760","1,639","1,521"
2020년07월_여_50~59세,"9,528","1,319",396,451,266,541,624,424,375,224,"1,942","1,587","1,379"
2020년07월_여_60~69세,"8,817","1,205",504,549,355,621,742,468,442,295,"1,577","1,152",907
2020년07월_여_70~79세,"5,403",698,326,363,234,436,544,355,273,189,841,655,489
2020년07월_여_80~89세,"3,254",447,250,227,130,318,363,245,182,107,429,305,251
2020년07월_여_90~99세,611,75,38,52,36,64,64,40,48,17,83,52,42
2020년07월_여_100세 이상,31,6,0,1,1,0,2,4,1,1,6,4,5
