카테고리,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2020년06월_계_총인구수,"54,858","21,362","2,273","2,700","2,807","2,563","2,458","2,861","1,845","3,389","2,548","3,140","1,995","2,249","2,668"
2020년06월_계_연령구간인구수,"54,858","21,362","2,273","2,700","2,807","2,563","2,458","2,861","1,845","3,389","2,548","3,140","1,995","2,249","2,668"
2020년06월_계_0~9세,"2,770","1,849",54,86,88,71,62,84,53,85,73,81,50,61,73
2020년06월_계_10~19세,"4,249","2,627",110,100,205,128,148,123,58,160,110,146,82,116,136
2020년06월_계_20~29세,"4,348","2,358",148,178,162,145,178,151,79,199,160,214,125,129,122
2020년06월_계_30~39세,"4,013","2,199",130,144,143,144,131,142,101,167,164,176,109,126,137
2020년06월_계_40~49세,"6,370","3,239",196,263,253,222,252,235,167,309,263,314,182,215,260
2020년06월_계_50~59세,"9,223","3,420",420,506,474,434,441,463,291,612,500,564,319,379,400
2020년06월_계_60~69세,"9,480","2,722",473,530,526,523,442,634,409,666,522,648,419,434,532
2020년06월_계_70~79세,"8,381","1,792",416,526,595,513,480,609,338,686,464,557,395,434,576
2020년06월_계_80~89세,"5,209",989,281,320,321,337,281,368,311,433,259,381,267,295,366
2020년06월_계_90~99세,780,159,43,46,39,44,42,49,37,66,32,56,47,59,61
2020년06월_계_100세 이상,35,8,2,1,1,2,1,3,1,6,1,3,0,1,5
2020년06월_남_총인구수,"27,076","10,529","1,171","1,378","1,386","1,262","1,184","1,389",908,"1,666","1,293","1,518","1,010","1,086","1,296"
2020년06월_남_연령구간인구수,"27,076","10,529","1,171","1,378","1,386","1,262","1,184","1,389",908,"1,666","1,293","1,518","1,010","1,086","1,296"
2020년06월_남_0~9세,"1,469",964,28,46,46,41,39,46,26,47,43,43,23,36,41
2020년06월_남_10~19세,"2,285","1,404",62,59,123,62,86,54,36,84,54,70,55,55,81
2020년06월_남_20~29세,"2,458","1,303",95,105,96,86,92,85,50,116,88,121,78,70,73
2020년06월_남_30~39세,"2,147","1,076",81,86,82,86,70,86,63,99,97,98,64,71,88
2020년06월_남_40~49세,"3,634","1,639",133,167,158,133,149,158,108,195,183,185,124,136,166
2020년06월_남_50~59세,"5,028","1,698",253,310,263,251,249,264,179,335,278,303,179,216,250
2020년06월_남_60~69세,"4,685","1,302",253,264,259,250,211,310,197,349,271,330,223,219,247
2020년06월_남_70~79세,"3,572",763,187,225,241,234,199,274,143,287,192,229,174,187,237
2020년06월_남_80~89세,"1,659",352,75,107,111,107,79,105,96,140,81,132,82,88,104
2020년06월_남_90~99세,138,28,4,9,7,12,10,7,10,13,6,7,8,8,9
2020년06월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020년06월_여_총인구수,"27,782","10,833","1,102","1,322","1,421","1,301","1,274","1,472",937,"1,723","1,255","1,622",985,"1,163","1,372"
2020년06월_여_연령구간인구수,"27,782","10,833","1,102","1,322","1,421","1,301","1,274","1,472",937,"1,723","1,255","1,622",985,"1,163","1,372"
2020년06월_여_0~9세,"1,301",885,26,40,42,30,23,38,27,38,30,38,27,25,32
2020년06월_여_10~19세,"1,964","1,223",48,41,82,66,62,69,22,76,56,76,27,61,55
2020년06월_여_20~29세,"1,890","1,055",53,73,66,59,86,66,29,83,72,93,47,59,49
2020년06월_여_30~39세,"1,866","1,123",49,58,61,58,61,56,38,68,67,78,45,55,49
2020년06월_여_40~49세,"2,736","1,600",63,96,95,89,103,77,59,114,80,129,58,79,94
2020년06월_여_50~59세,"4,195","1,722",167,196,211,183,192,199,112,277,222,261,140,163,150
2020년06월_여_60~69세,"4,795","1,420",220,266,267,273,231,324,212,317,251,318,196,215,285
2020년06월_여_70~79세,"4,809","1,029",229,301,354,279,281,335,195,399,272,328,221,247,339
2020년06월_여_80~89세,"3,550",637,206,213,210,230,202,263,215,293,178,249,185,207,262
2020년06월_여_90~99세,642,131,39,37,32,32,32,42,27,53,26,49,39,51,52
2020년06월_여_100세 이상,34,8,2,1,1,2,1,3,1,5,1,3,0,1,5
