,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년10월_계_총인구수,"2,390,721","74,682","340,575","165,862","144,119","436,499","418,833","547,340","262,811"
2021년10월_계_연령구간인구수,"2,390,721","74,682","340,575","165,862","144,119","436,499","418,833","547,340","262,811"
2021년10월_계_0~9세,"169,417","4,981","24,007","6,937","6,453","32,096","28,831","37,233","28,879"
2021년10월_계_10~19세,"219,348","4,972","26,196","10,232","9,028","41,927","49,571","53,022","24,400"
2021년10월_계_20~29세,"312,144","11,434","40,702","20,334","20,046","61,352","53,359","76,239","28,678"
2021년10월_계_30~39세,"286,283","10,571","43,089","16,875","16,883","52,477","42,108","63,424","40,856"
2021년10월_계_40~49세,"373,251","10,483","50,660","21,567","19,585","70,263","70,477","85,671","44,545"
2021년10월_계_50~59세,"419,894","11,023","56,414","32,573","24,310","77,981","74,814","101,679","41,100"
2021년10월_계_60~69세,"340,970","10,200","53,412","32,058","24,385","57,106","54,025","77,483","32,301"
2021년10월_계_70~79세,"177,181","7,039","30,562","17,214","14,879","28,799","29,064","35,101","14,523"
2021년10월_계_80~89세,"81,934","3,453","13,913","7,288","7,556","12,946","14,561","15,561","6,656"
2021년10월_계_90~99세,"9,939",464,"1,568",753,973,"1,501","1,957","1,870",853
2021년10월_계_100세 이상,360,62,52,31,21,51,66,57,20
2021년10월_남_총인구수,"1,178,486","35,858","167,505","82,929","69,287","217,197","202,574","269,775","133,361"
2021년10월_남_연령구간인구수,"1,178,486","35,858","167,505","82,929","69,287","217,197","202,574","269,775","133,361"
2021년10월_남_0~9세,"86,775","2,559","12,218","3,578","3,324","16,421","14,863","19,077","14,735"
2021년10월_남_10~19세,"114,392","2,513","13,730","5,309","4,771","21,780","26,106","27,486","12,697"
2021년10월_남_20~29세,"166,160","5,467","21,648","11,120","9,962","33,094","28,611","40,458","15,800"
2021년10월_남_30~39세,"150,026","5,460","22,915","9,587","8,952","27,700","20,689","33,356","21,367"
2021년10월_남_40~49세,"184,278","5,317","25,967","11,625","9,899","34,465","32,170","41,598","23,237"
2021년10월_남_50~59세,"205,661","5,473","27,555","16,437","11,924","38,663","36,104","49,063","20,442"
2021년10월_남_60~69세,"162,305","4,711","24,791","15,056","11,188","27,759","25,528","37,260","16,012"
2021년10월_남_70~79세,"77,699","2,971","13,334","7,529","6,322","12,467","12,641","15,717","6,718"
2021년10월_남_80~89세,"28,993","1,257","5,003","2,560","2,735","4,535","5,388","5,337","2,178"
2021년10월_남_90~99세,"2,133",118,332,123,209,306,460,415,170
2021년10월_남_100세 이상,64,12,12,5,1,7,14,8,5
2021년10월_여_총인구수,"1,212,235","38,824","173,070","82,933","74,832","219,302","216,259","277,565","129,450"
2021년10월_여_연령구간인구수,"1,212,235","38,824","173,070","82,933","74,832","219,302","216,259","277,565","129,450"
2021년10월_여_0~9세,"82,642","2,422","11,789","3,359","3,129","15,675","13,968","18,156","14,144"
2021년10월_여_10~19세,"104,956","2,459","12,466","4,923","4,257","20,147","23,465","25,536","11,703"
2021년10월_여_20~29세,"145,984","5,967","19,054","9,214","10,084","28,258","24,748","35,781","12,878"
2021년10월_여_30~39세,"136,257","5,111","20,174","7,288","7,931","24,777","21,419","30,068","19,489"
2021년10월_여_40~49세,"188,973","5,166","24,693","9,942","9,686","35,798","38,307","44,073","21,308"
2021년10월_여_50~59세,"214,233","5,550","28,859","16,136","12,386","39,318","38,710","52,616","20,658"
2021년10월_여_60~69세,"178,665","5,489","28,621","17,002","13,197","29,347","28,497","40,223","16,289"
2021년10월_여_70~79세,"99,482","4,068","17,228","9,685","8,557","16,332","16,423","19,384","7,805"
2021년10월_여_80~89세,"52,941","2,196","8,910","4,728","4,821","8,411","9,173","10,224","4,478"
2021년10월_여_90~99세,"7,806",346,"1,236",630,764,"1,195","1,497","1,455",683
2021년10월_여_100세 이상,296,50,40,26,20,44,52,49,15
