카테고리,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년10월_계_총인구수,"230,740","23,541","44,527","18,768","24,190","15,220","32,842","21,291","10,799","20,296","19,266"
2021년10월_계_연령구간인구수,"230,740","23,541","44,527","18,768","24,190","15,220","32,842","21,291","10,799","20,296","19,266"
2021년10월_계_0~9세,"11,814",654,"3,256",815,937,608,"1,685","1,457",504,"1,013",885
2021년10월_계_10~19세,"14,036",664,"2,334","1,129","1,279",918,"2,175","2,069",679,"1,423","1,366"
2021년10월_계_20~29세,"37,158","6,742","7,884","2,804","3,904","2,201","4,781","2,364","1,368","2,625","2,485"
2021년10월_계_30~39세,"36,302","5,727","9,275","2,510","3,594","2,021","4,717","2,371","1,354","2,538","2,195"
2021년10월_계_40~49세,"31,827","2,766","6,494","2,510","3,065","1,953","4,693","3,366","1,461","2,784","2,735"
2021년10월_계_50~59세,"39,310","2,891","6,430","3,680","4,567","3,124","5,761","3,666","1,955","3,778","3,458"
2021년10월_계_60~69세,"34,523","2,462","5,157","3,151","4,047","2,568","5,046","3,376","1,989","3,540","3,187"
2021년10월_계_70~79세,"17,956","1,164","2,609","1,546","1,932","1,338","2,751","1,779","1,051","1,828","1,958"
2021년10월_계_80~89세,"6,886",412,974,543,746,431,"1,072",743,400,683,882
2021년10월_계_90~99세,881,56,106,76,116,55,156,96,37,81,102
2021년10월_계_100세 이상,47,3,8,4,3,3,5,4,1,3,13
2021년10월_남_총인구수,"116,588","12,808","22,840","9,517","12,119","7,647","16,347","10,255","5,364","10,062","9,629"
2021년10월_남_연령구간인구수,"116,588","12,808","22,840","9,517","12,119","7,647","16,347","10,255","5,364","10,062","9,629"
2021년10월_남_0~9세,"6,087",314,"1,675",432,500,318,864,746,255,510,473
2021년10월_남_10~19세,"7,104",319,"1,152",607,628,457,"1,180","1,018",328,725,690
2021년10월_남_20~29세,"18,397","3,104","3,830","1,456","1,909","1,113","2,372","1,210",733,"1,340","1,330"
2021년10월_남_30~39세,"20,065","3,529","5,130","1,354","2,019","1,094","2,515","1,166",725,"1,347","1,186"
2021년10월_남_40~49세,"16,819","1,730","3,582","1,307","1,600",987,"2,394","1,648",752,"1,399","1,420"
2021년10월_남_50~59세,"19,754","1,697","3,252","1,856","2,248","1,579","2,841","1,733",947,"1,825","1,776"
2021년10월_남_60~69세,"16,942","1,341","2,583","1,530","1,959","1,275","2,434","1,612",945,"1,734","1,529"
2021년10월_남_70~79세,"8,435",582,"1,179",744,927,625,"1,287",820,517,884,870
2021년10월_남_80~89세,"2,754",182,428,209,299,185,410,284,157,271,329
2021년10월_남_90~99세,218,9,27,22,29,14,47,17,5,25,23
2021년10월_남_100세 이상,13,1,2,0,1,0,3,1,0,2,3
2021년10월_여_총인구수,"114,152","10,733","21,687","9,251","12,071","7,573","16,495","11,036","5,435","10,234","9,637"
2021년10월_여_연령구간인구수,"114,152","10,733","21,687","9,251","12,071","7,573","16,495","11,036","5,435","10,234","9,637"
2021년10월_여_0~9세,"5,727",340,"1,581",383,437,290,821,711,249,503,412
2021년10월_여_10~19세,"6,932",345,"1,182",522,651,461,995,"1,051",351,698,676
2021년10월_여_20~29세,"18,761","3,638","4,054","1,348","1,995","1,088","2,409","1,154",635,"1,285","1,155"
2021년10월_여_30~39세,"16,237","2,198","4,145","1,156","1,575",927,"2,202","1,205",629,"1,191","1,009"
2021년10월_여_40~49세,"15,008","1,036","2,912","1,203","1,465",966,"2,299","1,718",709,"1,385","1,315"
2021년10월_여_50~59세,"19,556","1,194","3,178","1,824","2,319","1,545","2,920","1,933","1,008","1,953","1,682"
2021년10월_여_60~69세,"17,581","1,121","2,574","1,621","2,088","1,293","2,612","1,764","1,044","1,806","1,658"
2021년10월_여_70~79세,"9,521",582,"1,430",802,"1,005",713,"1,464",959,534,944,"1,088"
2021년10월_여_80~89세,"4,132",230,546,334,447,246,662,459,243,412,553
2021년10월_여_90~99세,663,47,79,54,87,41,109,79,32,56,79
2021년10월_여_100세 이상,34,2,6,4,2,3,2,3,1,1,10
