카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년11월_계_총인구수,"213,441","11,219","16,964","8,681","4,423","11,268","12,691","18,343","33,155","22,715","22,079","20,203","10,837","20,863"
2021년11월_계_연령구간인구수,"213,441","11,219","16,964","8,681","4,423","11,268","12,691","18,343","33,155","22,715","22,079","20,203","10,837","20,863"
2021년11월_계_0~9세,"15,382",519,"1,299",366,192,897,392,"1,225","3,202",946,"1,375","1,919","1,267","1,783"
2021년11월_계_10~19세,"19,555",672,"1,300",570,295,"1,072",618,"1,530","3,669","1,902","2,181","1,913","1,287","2,546"
2021년11월_계_20~29세,"25,394","1,299","1,979","1,251",528,"1,449","1,478","2,131","3,638","3,051","2,812","2,116","1,260","2,402"
2021년11월_계_30~39세,"25,261","1,348","2,349","1,012",463,"1,595","1,253","2,183","4,126","2,033","2,228","2,666","1,578","2,427"
2021년11월_계_40~49세,"33,173","1,502","2,585","1,100",501,"1,715","1,518","2,684","5,857","3,119","3,175","3,383","1,823","4,211"
2021년11월_계_50~59세,"40,298","1,959","3,276","1,727",877,"2,046","2,443","3,301","5,797","4,959","4,646","3,567","1,978","3,722"
2021년11월_계_60~69세,"33,489","2,137","2,721","1,551",944,"1,533","2,842","3,155","4,445","4,016","3,669","3,051","1,102","2,323"
2021년11월_계_70~79세,"14,792","1,286","1,054",789,456,679,"1,516","1,437","1,775","1,835","1,444","1,128",380,"1,013"
2021년11월_계_80~89세,"5,433",441,357,275,153,245,581,626,565,777,484,417,139,373
2021년11월_계_90~99세,648,53,42,40,14,37,50,71,79,77,61,42,22,60
2021년11월_계_100세 이상,16,3,2,0,0,0,0,0,2,0,4,1,1,3
2021년11월_남_총인구수,"108,044","5,719","8,802","4,413","2,223","5,617","6,541","9,138","16,532","11,566","11,215","10,164","5,436","10,678"
2021년11월_남_연령구간인구수,"108,044","5,719","8,802","4,413","2,223","5,617","6,541","9,138","16,532","11,566","11,215","10,164","5,436","10,678"
2021년11월_남_0~9세,"7,914",252,660,206,116,440,208,656,"1,708",475,694,941,634,924
2021년11월_남_10~19세,"10,391",354,677,307,158,558,323,832,"1,925","1,048","1,174","1,019",674,"1,342"
2021년11월_남_20~29세,"14,253",703,"1,098",686,289,799,838,"1,169","2,073","1,782","1,616","1,197",691,"1,312"
2021년11월_남_30~39세,"13,268",760,"1,274",552,273,855,749,"1,129","2,002","1,137","1,164","1,357",764,"1,252"
2021년11월_남_40~49세,"16,938",845,"1,412",582,258,856,834,"1,368","2,861","1,544","1,563","1,779",877,"2,159"
2021년11월_남_50~59세,"20,107","1,060","1,698",858,409,971,"1,265","1,612","2,754","2,484","2,306","1,742","1,004","1,944"
2021년11월_남_60~69세,"16,282","1,009","1,333",731,460,718,"1,441","1,514","2,152","1,974","1,802","1,470",558,"1,120"
2021년11월_남_70~79세,"6,851",569,510,384,201,335,656,615,850,849,700,517,171,494
2021년11월_남_80~89세,"1,932",159,136,100,57,77,215,224,196,259,188,139,58,124
2021년11월_남_90~99세,107,8,4,7,2,8,12,19,11,14,8,3,5,6
2021년11월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년11월_여_총인구수,"105,397","5,500","8,162","4,268","2,200","5,651","6,150","9,205","16,623","11,149","10,864","10,039","5,401","10,185"
2021년11월_여_연령구간인구수,"105,397","5,500","8,162","4,268","2,200","5,651","6,150","9,205","16,623","11,149","10,864","10,039","5,401","10,185"
2021년11월_여_0~9세,"7,468",267,639,160,76,457,184,569,"1,494",471,681,978,633,859
2021년11월_여_10~19세,"9,164",318,623,263,137,514,295,698,"1,744",854,"1,007",894,613,"1,204"
2021년11월_여_20~29세,"11,141",596,881,565,239,650,640,962,"1,565","1,269","1,196",919,569,"1,090"
2021년11월_여_30~39세,"11,993",588,"1,075",460,190,740,504,"1,054","2,124",896,"1,064","1,309",814,"1,175"
2021년11월_여_40~49세,"16,235",657,"1,173",518,243,859,684,"1,316","2,996","1,575","1,612","1,604",946,"2,052"
2021년11월_여_50~59세,"20,191",899,"1,578",869,468,"1,075","1,178","1,689","3,043","2,475","2,340","1,825",974,"1,778"
2021년11월_여_60~69세,"17,207","1,128","1,388",820,484,815,"1,401","1,641","2,293","2,042","1,867","1,581",544,"1,203"
2021년11월_여_70~79세,"7,941",717,544,405,255,344,860,822,925,986,744,611,209,519
2021년11월_여_80~89세,"3,501",282,221,175,96,168,366,402,369,518,296,278,81,249
2021년11월_여_90~99세,541,45,38,33,12,29,38,52,68,63,53,39,17,54
2021년11월_여_100세 이상,15,3,2,0,0,0,0,0,2,0,4,1,1,2
