,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2020년12월_계_총인구수,"273,791","33,793","53,722","16,117","27,346","17,449","19,203","22,206","16,844","21,117","20,582","25,412"
2020년12월_계_연령구간인구수,"273,791","33,793","53,722","16,117","27,346","17,449","19,203","22,206","16,844","21,117","20,582","25,412"
2020년12월_계_0~9세,"20,630","1,994","4,710",662,"2,282",859,"1,200","1,954","1,061","1,878","2,259","1,771"
2020년12월_계_10~19세,"26,654","2,677","6,222",856,"2,790","1,188","1,458","2,177","1,633","3,140","1,755","2,758"
2020년12월_계_20~29세,"38,232","5,457","7,252","2,495","3,759","2,753","2,749","2,849","2,112","2,551","2,605","3,650"
2020년12월_계_30~39세,"38,258","4,653","7,209","2,202","3,537","2,342","3,206","3,760","2,126","2,232","3,735","3,256"
2020년12월_계_40~49세,"44,520","5,085","9,247","2,086","4,442","2,521","2,807","3,823","2,735","4,170","3,320","4,284"
2020년12월_계_50~59세,"48,202","6,573","9,353","3,085","4,822","3,520","3,171","3,458","2,954","3,567","3,270","4,429"
2020년12월_계_60~69세,"33,359","4,533","5,974","2,686","3,532","2,673","2,533","2,312","2,119","1,953","2,264","2,780"
2020년12월_계_70~79세,"15,124","1,908","2,498","1,350","1,383","1,100","1,282","1,134","1,205",938,927,"1,399"
2020년12월_계_80~89세,"7,532",769,"1,064",591,674,418,685,654,789,607,373,908
2020년12월_계_90~99세,"1,202",132,180,96,121,66,107,84,105,78,68,165
2020년12월_계_100세 이상,78,12,13,8,4,9,5,1,5,3,6,12
2020년12월_남_총인구수,"135,834","17,811","26,673","8,064","13,278","9,066","9,124","10,825","8,035","10,281","10,332","12,345"
2020년12월_남_연령구간인구수,"135,834","17,811","26,673","8,064","13,278","9,066","9,124","10,825","8,035","10,281","10,332","12,345"
2020년12월_남_0~9세,"10,547","1,016","2,427",345,"1,163",459,615,990,497,991,"1,127",917
2020년12월_남_10~19세,"13,753","1,399","3,191",443,"1,452",618,737,"1,142",853,"1,583",909,"1,426"
2020년12월_남_20~29세,"19,959","2,998","3,763","1,350","1,939","1,476","1,380","1,489","1,073","1,349","1,313","1,829"
2020년12월_남_30~39세,"19,850","2,654","3,658","1,266","1,719","1,317","1,677","1,873","1,088","1,048","1,917","1,633"
2020년12월_남_40~49세,"21,924","2,732","4,502","1,109","2,098","1,359","1,331","1,843","1,317","1,913","1,718","2,002"
2020년12월_남_50~59세,"23,544","3,419","4,528","1,455","2,242","1,799","1,456","1,643","1,404","1,772","1,565","2,261"
2020년12월_남_60~69세,"16,450","2,354","3,002","1,275","1,753","1,346","1,163","1,084",979,978,"1,172","1,344"
2020년12월_남_70~79세,"6,783",902,"1,184",608,630,528,508,478,487,403,459,596
2020년12월_남_80~89세,"2,672",296,367,192,248,147,230,258,296,214,133,291
2020년12월_남_90~99세,330,37,47,20,33,14,26,25,38,30,16,44
2020년12월_남_100세 이상,22,4,4,1,1,3,1,0,3,0,3,2
2020년12월_여_총인구수,"137,957","15,982","27,049","8,053","14,068","8,383","10,079","11,381","8,809","10,836","10,250","13,067"
2020년12월_여_연령구간인구수,"137,957","15,982","27,049","8,053","14,068","8,383","10,079","11,381","8,809","10,836","10,250","13,067"
2020년12월_여_0~9세,"10,083",978,"2,283",317,"1,119",400,585,964,564,887,"1,132",854
2020년12월_여_10~19세,"12,901","1,278","3,031",413,"1,338",570,721,"1,035",780,"1,557",846,"1,332"
2020년12월_여_20~29세,"18,273","2,459","3,489","1,145","1,820","1,277","1,369","1,360","1,039","1,202","1,292","1,821"
2020년12월_여_30~39세,"18,408","1,999","3,551",936,"1,818","1,025","1,529","1,887","1,038","1,184","1,818","1,623"
2020년12월_여_40~49세,"22,596","2,353","4,745",977,"2,344","1,162","1,476","1,980","1,418","2,257","1,602","2,282"
2020년12월_여_50~59세,"24,658","3,154","4,825","1,630","2,580","1,721","1,715","1,815","1,550","1,795","1,705","2,168"
2020년12월_여_60~69세,"16,909","2,179","2,972","1,411","1,779","1,327","1,370","1,228","1,140",975,"1,092","1,436"
2020년12월_여_70~79세,"8,341","1,006","1,314",742,753,572,774,656,718,535,468,803
2020년12월_여_80~89세,"4,860",473,697,399,426,271,455,396,493,393,240,617
2020년12월_여_90~99세,872,95,133,76,88,52,81,59,67,48,52,121
2020년12월_여_100세 이상,56,8,9,7,3,6,4,1,2,3,3,10
