카테고리,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년03월_계_총인구수,"147,853","44,361","8,636","4,669","7,769","12,643","2,182","4,888","9,458","6,088","8,594","2,809","2,724","18,626","14,406"
2020년03월_계_연령구간인구수,"147,853","44,361","8,636","4,669","7,769","12,643","2,182","4,888","9,458","6,088","8,594","2,809","2,724","18,626","14,406"
2020년03월_계_0~9세,"9,084","3,069",600,133,242,735,48,202,544,520,669,68,198,"1,298",758
2020년03월_계_10~19세,"12,832","5,169",606,223,420,"1,007",94,286,708,368,469,142,158,"1,938","1,244"
2020년03월_계_20~29세,"17,833","5,844",987,463,826,"1,519",191,425,954,787,950,237,274,"2,497","1,879"
2020년03월_계_30~39세,"14,892","4,459","1,108",354,615,"1,274",127,313,866,829,"1,054",122,335,"1,984","1,452"
2020년03월_계_40~49세,"21,198","7,528","1,156",570,962,"1,733",223,544,"1,229",629,892,277,274,"2,837","2,344"
2020년03월_계_50~59세,"29,509","9,010","1,657","1,100","1,966","2,560",395,"1,038","1,610",931,"1,397",561,472,"3,555","3,257"
2020년03월_계_60~69세,"22,887","5,340","1,363","1,009","1,538","2,143",537,"1,043","1,769",979,"1,440",643,525,"2,508","2,050"
2020년03월_계_70~79세,"12,398","2,540",716,505,713,"1,050",374,674,"1,076",680,"1,051",490,297,"1,315",917
2020년03월_계_80~89세,"6,217","1,198",389,282,418,529,172,313,593,329,548,237,172,589,448
2020년03월_계_90~99세,929,192,51,29,69,87,21,47,102,32,107,29,18,94,51
2020년03월_계_100세 이상,74,12,3,1,0,6,0,3,7,4,17,3,1,11,6
2020년03월_남_총인구수,"78,050","22,605","4,642","2,671","4,534","6,949","1,213","2,651","4,890","3,282","4,562","1,454","1,446","9,435","7,716"
2020년03월_남_연령구간인구수,"78,050","22,605","4,642","2,671","4,534","6,949","1,213","2,651","4,890","3,282","4,562","1,454","1,446","9,435","7,716"
2020년03월_남_0~9세,"4,724","1,565",314,74,120,400,27,96,278,281,348,29,104,665,423
2020년03월_남_10~19세,"6,707","2,679",310,129,218,549,57,144,394,177,239,71,76,"1,025",639
2020년03월_남_20~29세,"10,306","3,165",566,295,495,916,128,255,564,522,647,152,150,"1,390","1,061"
2020년03월_남_30~39세,"8,198","2,259",631,217,376,732,82,186,504,485,616,78,197,"1,032",803
2020년03월_남_40~49세,"11,399","3,740",649,361,626,949,134,336,678,379,509,161,160,"1,437","1,280"
2020년03월_남_50~59세,"16,207","4,788",914,641,"1,222","1,467",227,618,851,494,779,302,250,"1,823","1,831"
2020년03월_남_60~69세,"12,333","2,777",760,596,941,"1,214",299,576,904,510,745,337,300,"1,272","1,102"
2020년03월_남_70~79세,"5,697","1,178",342,235,372,504,174,303,483,312,437,228,146,563,420
2020년03월_남_80~89세,"2,237",414,146,119,154,193,77,118,205,112,208,87,58,203,143
2020년03월_남_90~99세,214,38,8,4,10,24,8,17,24,10,28,6,5,20,12
2020년03월_남_100세 이상,28,2,2,0,0,1,0,2,5,0,6,3,0,5,2
2020년03월_여_총인구수,"69,803","21,756","3,994","1,998","3,235","5,694",969,"2,237","4,568","2,806","4,032","1,355","1,278","9,191","6,690"
2020년03월_여_연령구간인구수,"69,803","21,756","3,994","1,998","3,235","5,694",969,"2,237","4,568","2,806","4,032","1,355","1,278","9,191","6,690"
2020년03월_여_0~9세,"4,360","1,504",286,59,122,335,21,106,266,239,321,39,94,633,335
2020년03월_여_10~19세,"6,125","2,490",296,94,202,458,37,142,314,191,230,71,82,913,605
2020년03월_여_20~29세,"7,527","2,679",421,168,331,603,63,170,390,265,303,85,124,"1,107",818
2020년03월_여_30~39세,"6,694","2,200",477,137,239,542,45,127,362,344,438,44,138,952,649
2020년03월_여_40~49세,"9,799","3,788",507,209,336,784,89,208,551,250,383,116,114,"1,400","1,064"
2020년03월_여_50~59세,"13,302","4,222",743,459,744,"1,093",168,420,759,437,618,259,222,"1,732","1,426"
2020년03월_여_60~69세,"10,554","2,563",603,413,597,929,238,467,865,469,695,306,225,"1,236",948
2020년03월_여_70~79세,"6,701","1,362",374,270,341,546,200,371,593,368,614,262,151,752,497
2020년03월_여_80~89세,"3,980",784,243,163,264,336,95,195,388,217,340,150,114,386,305
2020년03월_여_90~99세,715,154,43,25,59,63,13,30,78,22,79,23,13,74,39
2020년03월_여_100세 이상,46,10,1,1,0,5,0,1,2,4,11,0,1,6,4
