,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년04월_계_총인구수,"227,550","36,188","19,823","59,309","31,679","16,226","64,325"
2020년04월_계_연령구간인구수,"227,550","36,188","19,823","59,309","31,679","16,226","64,325"
2020년04월_계_0~9세,"24,690","4,189",967,"7,341","4,133","1,493","6,567"
2020년04월_계_10~19세,"24,903","4,283","1,212","6,703","3,276","2,016","7,413"
2020년04월_계_20~29세,"30,832","4,503","3,684","6,857","4,102","2,200","9,486"
2020년04월_계_30~39세,"39,570","5,818","4,855","9,968","6,106","2,489","10,334"
2020년04월_계_40~49세,"42,475","6,767","3,589","11,032","5,923","3,106","12,058"
2020년04월_계_50~59세,"32,654","5,341","2,777","8,228","4,163","2,461","9,684"
2020년04월_계_60~69세,"18,645","2,972","1,618","5,264","2,447","1,362","4,982"
2020년04월_계_70~79세,"9,439","1,552",777,"2,662","1,053",730,"2,665"
2020년04월_계_80~89세,"3,826",669,305,"1,114",404,336,998
2020년04월_계_90~99세,468,85,32,127,66,28,130
2020년04월_계_100세 이상,48,9,7,13,6,5,8
2020년04월_남_총인구수,"117,610","18,145","11,621","29,897","16,299","8,379","33,269"
2020년04월_남_연령구간인구수,"117,610","18,145","11,621","29,897","16,299","8,379","33,269"
2020년04월_남_0~9세,"12,631","2,153",483,"3,740","2,115",791,"3,349"
2020년04월_남_10~19세,"12,747","2,107",628,"3,381","1,680","1,039","3,912"
2020년04월_남_20~29세,"16,621","2,370","2,094","3,618","2,185","1,204","5,150"
2020년04월_남_30~39세,"21,299","2,983","3,115","5,131","3,220","1,352","5,498"
2020년04월_남_40~49세,"22,486","3,441","2,209","5,827","3,095","1,599","6,315"
2020년04월_남_50~59세,"16,967","2,721","1,727","4,082","2,103","1,298","5,036"
2020년04월_남_60~69세,"9,198","1,465",869,"2,529","1,226",653,"2,456"
2020년04월_남_70~79세,"4,160",637,365,"1,181",514,320,"1,143"
2020년04월_남_80~89세,"1,391",251,123,377,149,114,377
2020년04월_남_90~99세,96,13,6,28,11,6,32
2020년04월_남_100세 이상,14,4,2,3,1,3,1
2020년04월_여_총인구수,"109,940","18,043","8,202","29,412","15,380","7,847","31,056"
2020년04월_여_연령구간인구수,"109,940","18,043","8,202","29,412","15,380","7,847","31,056"
2020년04월_여_0~9세,"12,059","2,036",484,"3,601","2,018",702,"3,218"
2020년04월_여_10~19세,"12,156","2,176",584,"3,322","1,596",977,"3,501"
2020년04월_여_20~29세,"14,211","2,133","1,590","3,239","1,917",996,"4,336"
2020년04월_여_30~39세,"18,271","2,835","1,740","4,837","2,886","1,137","4,836"
2020년04월_여_40~49세,"19,989","3,326","1,380","5,205","2,828","1,507","5,743"
2020년04월_여_50~59세,"15,687","2,620","1,050","4,146","2,060","1,163","4,648"
2020년04월_여_60~69세,"9,447","1,507",749,"2,735","1,221",709,"2,526"
2020년04월_여_70~79세,"5,279",915,412,"1,481",539,410,"1,522"
2020년04월_여_80~89세,"2,435",418,182,737,255,222,621
2020년04월_여_90~99세,372,72,26,99,55,22,98
2020년04월_여_100세 이상,34,5,5,10,5,2,7
