,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021년04월_계_총인구수,"343,006","22,854","19,790","15,575","21,696","16,382","28,912","11,406","35,120","22,530","25,239","28,485","17,519","21,859","26,604","29,035"
2021년04월_계_연령구간인구수,"343,006","22,854","19,790","15,575","21,696","16,382","28,912","11,406","35,120","22,530","25,239","28,485","17,519","21,859","26,604","29,035"
2021년04월_계_0~9세,"18,733",370,844,720,"1,148",738,"1,381",540,"3,187",950,"1,587","2,268",678,810,"1,693","1,819"
2021년04월_계_10~19세,"25,430",752,"1,008",728,"1,356",916,"1,902",530,"5,462","1,486","1,826","2,615",858,"1,145","2,340","2,506"
2021년04월_계_20~29세,"62,496","9,875","4,520","2,843","3,879","2,662","4,395","2,362","4,085","4,368","3,774","3,873","2,733","4,783","3,702","4,642"
2021년04월_계_30~39세,"55,324","4,415","3,629","2,969","3,876","2,674","4,318","2,604","3,730","3,721","3,851","4,269","2,566","4,288","3,780","4,634"
2021년04월_계_40~49세,"51,659","2,180","2,585","2,155","2,967","2,283","4,075","1,612","7,603","3,349","3,968","4,564","2,393","3,181","4,263","4,481"
2021년04월_계_50~59세,"53,974","2,062","2,874","2,450","3,525","2,882","5,256","1,409","5,553","3,593","4,192","4,680","3,028","3,129","4,509","4,832"
2021년04월_계_60~69세,"43,036","1,733","2,386","2,108","2,911","2,403","4,435","1,266","3,075","2,859","3,696","3,583","2,990","2,476","3,557","3,558"
2021년04월_계_70~79세,"22,072",998,"1,339","1,145","1,456","1,274","2,263",744,"1,449","1,514","1,660","1,633","1,589","1,391","1,910","1,707"
2021년04월_계_80~89세,"9,024",411,540,402,507,482,775,295,833,618,596,874,612,578,759,742
2021년04월_계_90~99세,"1,185",53,61,54,69,62,100,42,138,71,85,121,70,63,87,109
2021년04월_계_100세 이상,73,5,4,1,2,6,12,2,5,1,4,5,2,15,4,5
2021년04월_남_총인구수,"165,555","10,892","9,749","7,574","10,245","8,123","14,172","5,220","16,986","10,868","12,271","13,650","8,745","10,439","12,833","13,788"
2021년04월_남_연령구간인구수,"165,555","10,892","9,749","7,574","10,245","8,123","14,172","5,220","16,986","10,868","12,271","13,650","8,745","10,439","12,833","13,788"
2021년04월_남_0~9세,"9,538",175,440,367,586,409,720,273,"1,666",462,809,"1,126",335,416,855,899
2021년04월_남_10~19세,"12,903",346,522,372,685,471,"1,016",270,"2,774",779,972,"1,274",418,567,"1,184","1,253"
2021년04월_남_20~29세,"29,255","4,262","2,121","1,278","1,701","1,297","2,205","1,006","2,031","2,069","1,848","1,917","1,346","2,185","1,834","2,155"
2021년04월_남_30~39세,"27,408","2,334","1,865","1,519","1,889","1,394","2,175","1,150","1,619","1,864","1,901","2,007","1,392","2,148","1,890","2,261"
2021년04월_남_40~49세,"25,478","1,209","1,348","1,119","1,467","1,169","2,068",821,"3,493","1,680","1,951","2,172","1,248","1,595","2,077","2,061"
2021년04월_남_50~59세,"26,421","1,114","1,449","1,214","1,654","1,428","2,508",651,"2,830","1,749","1,991","2,230","1,602","1,518","2,166","2,317"
2021년04월_남_60~69세,"20,488",809,"1,153",995,"1,355","1,170","2,085",573,"1,529","1,349","1,773","1,783","1,435","1,150","1,625","1,704"
2021년04월_남_70~79세,"10,147",458,627,524,686,586,"1,060",334,663,640,782,746,720,616,888,817
2021년04월_남_80~89세,"3,571",169,214,175,209,182,308,124,338,256,220,348,232,223,290,283
2021년04월_남_90~99세,327,15,10,10,11,16,23,18,41,20,23,46,16,19,23,36
2021년04월_남_100세 이상,19,1,0,1,2,1,4,0,2,0,1,1,1,2,1,2
2021년04월_여_총인구수,"177,451","11,962","10,041","8,001","11,451","8,259","14,740","6,186","18,134","11,662","12,968","14,835","8,774","11,420","13,771","15,247"
2021년04월_여_연령구간인구수,"177,451","11,962","10,041","8,001","11,451","8,259","14,740","6,186","18,134","11,662","12,968","14,835","8,774","11,420","13,771","15,247"
2021년04월_여_0~9세,"9,195",195,404,353,562,329,661,267,"1,521",488,778,"1,142",343,394,838,920
2021년04월_여_10~19세,"12,527",406,486,356,671,445,886,260,"2,688",707,854,"1,341",440,578,"1,156","1,253"
2021년04월_여_20~29세,"33,241","5,613","2,399","1,565","2,178","1,365","2,190","1,356","2,054","2,299","1,926","1,956","1,387","2,598","1,868","2,487"
2021년04월_여_30~39세,"27,916","2,081","1,764","1,450","1,987","1,280","2,143","1,454","2,111","1,857","1,950","2,262","1,174","2,140","1,890","2,373"
2021년04월_여_40~49세,"26,181",971,"1,237","1,036","1,500","1,114","2,007",791,"4,110","1,669","2,017","2,392","1,145","1,586","2,186","2,420"
2021년04월_여_50~59세,"27,553",948,"1,425","1,236","1,871","1,454","2,748",758,"2,723","1,844","2,201","2,450","1,426","1,611","2,343","2,515"
2021년04월_여_60~69세,"22,548",924,"1,233","1,113","1,556","1,233","2,350",693,"1,546","1,510","1,923","1,800","1,555","1,326","1,932","1,854"
2021년04월_여_70~79세,"11,925",540,712,621,770,688,"1,203",410,786,874,878,887,869,775,"1,022",890
2021년04월_여_80~89세,"5,453",242,326,227,298,300,467,171,495,362,376,526,380,355,469,459
2021년04월_여_90~99세,858,38,51,44,58,46,77,24,97,51,62,75,54,44,64,73
2021년04월_여_100세 이상,54,4,4,0,0,5,8,2,3,1,3,4,1,13,3,3
