,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년06월_계_총인구수,"103,640","7,313","3,228","2,964","5,481","4,263","4,653","4,601","5,195","2,893","3,180","4,583","8,247","5,430","7,940","19,360","14,309"
2021년06월_계_연령구간인구수,"103,640","7,313","3,228","2,964","5,481","4,263","4,653","4,601","5,195","2,893","3,180","4,583","8,247","5,430","7,940","19,360","14,309"
2021년06월_계_0~9세,"5,563",264,98,64,161,154,184,114,160,65,77,186,454,335,304,"1,341","1,602"
2021년06월_계_10~19세,"8,026",397,117,123,273,191,357,211,280,151,88,315,680,578,540,"2,015","1,710"
2021년06월_계_20~29세,"10,950",447,214,191,318,340,455,275,364,180,151,583,932,730,841,"3,177","1,752"
2021년06월_계_30~39세,"9,229",465,192,173,295,309,349,241,334,139,168,377,829,524,656,"2,282","1,896"
2021년06월_계_40~49세,"13,064",739,265,226,460,461,580,418,517,247,296,558,"1,155",777,997,"2,963","2,405"
2021년06월_계_50~59세,"17,968","1,252",588,467,"1,005",965,927,765,903,500,588,785,"1,379",863,"1,516","3,251","2,214"
2021년06월_계_60~69세,"19,131","1,812",749,689,"1,400","1,027",900,"1,174","1,188",692,881,811,"1,453",879,"1,552","2,435","1,489"
2021년06월_계_70~79세,"11,399","1,126",546,527,874,507,497,727,789,479,552,587,851,457,957,"1,202",721
2021년06월_계_80~89세,"7,183",719,398,428,600,261,344,576,567,389,322,322,449,247,512,607,442
2021년06월_계_90~99세,"1,087",90,58,73,94,47,59,99,87,47,52,59,60,38,64,85,75
2021년06월_계_100세 이상,40,2,3,3,1,1,1,1,6,4,5,0,5,2,1,2,3
2021년06월_남_총인구수,"51,835","3,681","1,658","1,530","2,809","2,240","2,400","2,390","2,697","1,454","1,429","2,296","4,057","2,715","3,987","9,426","7,066"
2021년06월_남_연령구간인구수,"51,835","3,681","1,658","1,530","2,809","2,240","2,400","2,390","2,697","1,454","1,429","2,296","4,057","2,715","3,987","9,426","7,066"
2021년06월_남_0~9세,"2,880",148,42,34,84,95,89,64,85,35,36,97,245,175,156,693,802
2021년06월_남_10~19세,"4,140",201,79,59,145,111,174,120,136,73,49,174,333,284,280,"1,024",898
2021년06월_남_20~29세,"6,014",269,125,126,185,193,276,170,219,93,93,315,501,370,488,"1,638",953
2021년06월_남_30~39세,"4,961",282,107,102,161,180,199,138,207,87,86,211,462,285,375,"1,166",913
2021년06월_남_40~49세,"6,896",431,170,143,281,237,317,262,319,151,131,309,613,397,542,"1,435","1,158"
2021년06월_남_50~59세,"9,255",623,330,266,586,524,496,414,514,277,250,402,687,443,782,"1,562","1,099"
2021년06월_남_60~69세,"9,614",924,401,369,711,534,477,635,617,366,405,397,686,452,757,"1,128",755
2021년06월_남_70~79세,"5,260",521,262,254,436,245,244,349,383,212,240,256,362,228,401,539,328
2021년06월_남_80~89세,"2,525",259,120,161,196,106,117,208,188,148,123,119,154,77,186,223,140
2021년06월_남_90~99세,282,22,22,16,23,15,11,30,29,11,16,16,13,3,20,16,19
2021년06월_남_100세 이상,8,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,1
2021년06월_여_총인구수,"51,805","3,632","1,570","1,434","2,672","2,023","2,253","2,211","2,498","1,439","1,751","2,287","4,190","2,715","3,953","9,934","7,243"
2021년06월_여_연령구간인구수,"51,805","3,632","1,570","1,434","2,672","2,023","2,253","2,211","2,498","1,439","1,751","2,287","4,190","2,715","3,953","9,934","7,243"
2021년06월_여_0~9세,"2,683",116,56,30,77,59,95,50,75,30,41,89,209,160,148,648,800
2021년06월_여_10~19세,"3,886",196,38,64,128,80,183,91,144,78,39,141,347,294,260,991,812
2021년06월_여_20~29세,"4,936",178,89,65,133,147,179,105,145,87,58,268,431,360,353,"1,539",799
2021년06월_여_30~39세,"4,268",183,85,71,134,129,150,103,127,52,82,166,367,239,281,"1,116",983
2021년06월_여_40~49세,"6,168",308,95,83,179,224,263,156,198,96,165,249,542,380,455,"1,528","1,247"
2021년06월_여_50~59세,"8,713",629,258,201,419,441,431,351,389,223,338,383,692,420,734,"1,689","1,115"
2021년06월_여_60~69세,"9,517",888,348,320,689,493,423,539,571,326,476,414,767,427,795,"1,307",734
2021년06월_여_70~79세,"6,139",605,284,273,438,262,253,378,406,267,312,331,489,229,556,663,393
2021년06월_여_80~89세,"4,658",460,278,267,404,155,227,368,379,241,199,203,295,170,326,384,302
2021년06월_여_90~99세,805,68,36,57,71,32,48,69,58,36,36,43,47,35,44,69,56
2021년06월_여_100세 이상,32,1,3,3,0,1,1,1,6,3,5,0,4,1,1,0,2
