,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년06월_계_총인구수,"317,258","20,388","14,614","13,228","11,577","27,822","22,182","25,827","17,978","16,322","11,638","28,132","40,506","28,707","11,782","19,863","6,692"
2020년06월_계_연령구간인구수,"317,258","20,388","14,614","13,228","11,577","27,822","22,182","25,827","17,978","16,322","11,638","28,132","40,506","28,707","11,782","19,863","6,692"
2020년06월_계_0~9세,"21,150","1,173",953,610,566,"1,755","1,301","1,543","1,162","1,187","1,059","2,120","3,336","1,847","1,357","1,030",151
2020년06월_계_10~19세,"26,253","1,614","1,154",779,831,"2,426","1,767","2,180","1,222","1,374",996,"2,502","4,121","2,622",855,"1,518",292
2020년06월_계_20~29세,"40,911","2,381","1,627","1,549","1,470","3,625","3,726","4,990","2,031","2,289","1,142","3,605","4,635","3,517","1,341","2,377",606
2020년06월_계_30~39세,"38,803","2,408","1,630","1,624","1,205","3,261","2,996","3,376","2,336","2,305","1,649","3,861","4,658","2,895","2,132","1,962",505
2020년06월_계_40~49세,"47,142","2,830","2,204","1,707","1,620","4,014","3,093","3,611","2,650","2,459","2,090","4,474","6,765","4,273","1,810","2,720",822
2020년06월_계_50~59세,"56,118","3,519","2,419","2,287","2,025","4,977","3,772","4,264","3,314","2,983","1,860","4,908","7,231","5,571","1,841","3,836","1,311"
2020년06월_계_60~69세,"50,064","3,432","2,547","2,559","2,127","4,595","3,260","3,440","3,018","2,368","1,643","4,187","5,631","4,655","1,535","3,691","1,376"
2020년06월_계_70~79세,"25,921","2,032","1,518","1,470","1,238","2,258","1,600","1,760","1,597",957,887,"1,857","2,836","2,228",659,"1,948","1,076"
2020년06월_계_80~89세,"9,430",842,484,556,431,816,586,593,544,342,285,542,"1,119",937,204,678,471
2020년06월_계_90~99세,"1,301",129,69,73,57,84,71,66,82,56,25,72,163,155,43,89,67
2020년06월_계_100세 이상,165,28,9,14,7,11,10,4,22,2,2,4,11,7,5,14,15
2020년06월_남_총인구수,"158,222","9,867","7,196","6,370","5,614","13,675","11,115","12,886","9,222","8,183","6,048","14,297","20,321","14,128","6,013","9,842","3,445"
2020년06월_남_연령구간인구수,"158,222","9,867","7,196","6,370","5,614","13,675","11,115","12,886","9,222","8,183","6,048","14,297","20,321","14,128","6,013","9,842","3,445"
2020년06월_남_0~9세,"10,841",622,493,316,300,913,670,799,589,617,529,"1,127","1,662",922,706,506,70
2020년06월_남_10~19세,"13,695",852,583,404,414,"1,272",907,"1,062",635,740,539,"1,299","2,228","1,353",469,789,149
2020년06월_남_20~29세,"22,007","1,236",871,798,799,"1,918","1,999","2,793","1,112","1,160",631,"1,923","2,537","1,949",691,"1,234",356
2020년06월_남_30~39세,"20,522","1,262",843,895,656,"1,694","1,629","1,803","1,307","1,215",878,"2,047","2,351","1,479","1,101","1,058",304
2020년06월_남_40~49세,"24,106","1,403","1,152",906,770,"1,972","1,526","1,812","1,453","1,259","1,153","2,347","3,351","2,073",970,"1,457",502
2020년06월_남_50~59세,"27,412","1,614","1,196","1,068",961,"2,272","1,821","2,016","1,684","1,425","1,025","2,410","3,656","2,723",924,"1,861",756
2020년06월_남_60~69세,"24,218","1,605","1,157","1,136",958,"2,199","1,592","1,585","1,535","1,167",806,"2,067","2,863","2,328",758,"1,769",693
2020년06월_남_70~79세,"11,885",940,718,640,589,"1,113",742,786,699,464,385,880,"1,271",976,323,914,445
2020년06월_남_80~89세,"3,246",299,168,182,152,304,220,216,184,123,97,185,359,296,66,237,158
2020년06월_남_90~99세,254,27,15,19,14,15,6,13,19,13,4,11,42,28,5,15,8
2020년06월_남_100세 이상,36,7,0,6,1,3,3,1,5,0,1,1,1,1,0,2,4
2020년06월_여_총인구수,"159,036","10,521","7,418","6,858","5,963","14,147","11,067","12,941","8,756","8,139","5,590","13,835","20,185","14,579","5,769","10,021","3,247"
2020년06월_여_연령구간인구수,"159,036","10,521","7,418","6,858","5,963","14,147","11,067","12,941","8,756","8,139","5,590","13,835","20,185","14,579","5,769","10,021","3,247"
2020년06월_여_0~9세,"10,309",551,460,294,266,842,631,744,573,570,530,993,"1,674",925,651,524,81
2020년06월_여_10~19세,"12,558",762,571,375,417,"1,154",860,"1,118",587,634,457,"1,203","1,893","1,269",386,729,143
2020년06월_여_20~29세,"18,904","1,145",756,751,671,"1,707","1,727","2,197",919,"1,129",511,"1,682","2,098","1,568",650,"1,143",250
2020년06월_여_30~39세,"18,281","1,146",787,729,549,"1,567","1,367","1,573","1,029","1,090",771,"1,814","2,307","1,416","1,031",904,201
2020년06월_여_40~49세,"23,036","1,427","1,052",801,850,"2,042","1,567","1,799","1,197","1,200",937,"2,127","3,414","2,200",840,"1,263",320
