,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년09월_계_총인구수,"348,064","22,452","19,958","15,694","22,000","16,812","29,671","11,600","35,685","22,898","25,934","28,805","17,985","22,152","27,071","29,347"
2020년09월_계_연령구간인구수,"348,064","22,452","19,958","15,694","22,000","16,812","29,671","11,600","35,685","22,898","25,934","28,805","17,985","22,152","27,071","29,347"
2020년09월_계_0~9세,"20,085",401,908,790,"1,231",775,"1,542",579,"3,399","1,054","1,682","2,370",728,897,"1,822","1,907"
2020년09월_계_10~19세,"26,350",767,"1,077",768,"1,420","1,001","2,006",557,"5,559","1,541","1,936","2,648",894,"1,192","2,401","2,583"
2020년09월_계_20~29세,"62,726","9,459","4,461","2,752","3,936","2,703","4,517","2,411","4,161","4,390","3,918","3,976","2,720","4,812","3,762","4,748"
2020년09월_계_30~39세,"56,455","4,334","3,659","2,947","3,945","2,730","4,457","2,664","3,938","3,826","4,030","4,396","2,637","4,314","3,910","4,668"
2020년09월_계_40~49세,"52,997","2,209","2,598","2,214","3,022","2,387","4,264","1,625","7,748","3,424","4,114","4,624","2,514","3,218","4,435","4,601"
2020년09월_계_50~59세,"54,870","2,084","2,930","2,575","3,600","2,978","5,389","1,443","5,434","3,665","4,287","4,685","3,172","3,225","4,535","4,868"
2020년09월_계_60~69세,"42,031","1,670","2,355","2,041","2,797","2,391","4,306","1,237","3,001","2,804","3,588","3,536","2,981","2,426","3,442","3,456"
2020년09월_계_70~79세,"22,372","1,042","1,372","1,161","1,473","1,312","2,317",735,"1,479","1,531","1,676","1,597","1,645","1,428","1,922","1,682"
2020년09월_계_80~89세,"8,698",398,523,383,490,465,740,298,806,564,597,835,602,566,725,706
2020년09월_계_90~99세,"1,259",64,65,54,76,56,105,45,150,84,92,124,76,60,92,116
2020년09월_계_100세 이상,221,24,10,9,10,14,28,6,10,15,14,14,16,14,25,12
2020년09월_남_총인구수,"168,095","10,632","9,864","7,674","10,439","8,353","14,530","5,338","17,232","11,030","12,628","13,865","8,978","10,582","13,010","13,940"
2020년09월_남_연령구간인구수,"168,095","10,632","9,864","7,674","10,439","8,353","14,530","5,338","17,232","11,030","12,628","13,865","8,978","10,582","13,010","13,940"
2020년09월_남_0~9세,"10,238",193,474,419,633,410,803,299,"1,767",513,865,"1,198",355,457,925,927
2020년09월_남_10~19세,"13,414",351,553,395,717,504,"1,083",287,"2,843",813,"1,019","1,332",440,594,"1,202","1,281"
2020년09월_남_20~29세,"29,570","4,045","2,159","1,274","1,758","1,362","2,271","1,014","2,065","2,079","1,944","1,956","1,328","2,211","1,855","2,249"
2020년09월_남_30~39세,"27,863","2,273","1,857","1,507","1,930","1,432","2,211","1,215","1,686","1,921","1,986","2,069","1,421","2,152","1,943","2,260"
2020년09월_남_40~49세,"26,175","1,232","1,349","1,141","1,499","1,217","2,149",825,"3,598","1,718","2,041","2,179","1,324","1,622","2,149","2,132"
2020년09월_남_50~59세,"26,767","1,101","1,488","1,266","1,707","1,470","2,586",647,"2,766","1,771","2,007","2,254","1,674","1,560","2,157","2,313"
2020년09월_남_60~69세,"19,984",778,"1,130",965,"1,296","1,156","2,005",570,"1,477","1,322","1,741","1,760","1,427","1,103","1,593","1,661"
2020년09월_남_70~79세,"10,276",472,633,528,686,608,"1,093",334,652,648,786,743,755,648,882,808
2020년09월_남_80~89세,"3,407",162,207,168,196,177,295,128,326,215,213,326,230,217,277,270
2020년09월_남_90~99세,347,20,13,8,14,15,26,18,49,25,23,45,19,16,22,34
2020년09월_남_100세 이상,54,5,1,3,3,2,8,1,3,5,3,3,5,2,5,5
2020년09월_여_총인구수,"179,969","11,820","10,094","8,020","11,561","8,459","15,141","6,262","18,453","11,868","13,306","14,940","9,007","11,570","14,061","15,407"
2020년09월_여_연령구간인구수,"179,969","11,820","10,094","8,020","11,561","8,459","15,141","6,262","18,453","11,868","13,306","14,940","9,007","11,570","14,061","15,407"
