,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2021년04월_계_총인구수,"388,672","31,855","12,739","44,500","29,082","24,747","28,749","31,763","22,895","26,919","24,788","14,254","14,607","38,385","23,467","19,922"
2021년04월_계_연령구간인구수,"388,672","31,855","12,739","44,500","29,082","24,747","28,749","31,763","22,895","26,919","24,788","14,254","14,607","38,385","23,467","19,922"
2021년04월_계_0~9세,"24,053","1,912",332,"2,756","2,484","1,192","1,616","2,337",792,"1,756","2,090",723,"1,026","2,159","1,494","1,384"
2021년04월_계_10~19세,"27,436","1,963",531,"3,186","2,001","1,618","1,871","2,159",880,"1,614","1,635",749,"1,006","4,127","2,425","1,671"
2021년04월_계_20~29세,"65,627","5,409","2,416","9,613","4,332","4,169","4,584","4,969","5,188","3,595","3,364","2,490","2,210","6,374","3,424","3,490"
2021년04월_계_30~39세,"61,761","5,458","1,991","6,157","4,959","4,138","4,801","4,449","4,674","4,370","4,031","2,462","2,578","5,354","3,068","3,271"
2021년04월_계_40~49세,"58,314","4,303","1,561","6,521","4,622","3,594","4,288","4,819","2,947","3,981","3,818","2,012","2,303","6,472","3,931","3,142"
2021년04월_계_50~59세,"57,982","4,663","2,090","6,298","4,274","3,841","4,390","5,156","3,011","4,135","3,609","2,056","2,207","5,863","3,706","2,683"
2021년04월_계_60~69세,"49,743","4,283","2,015","5,361","3,436","3,219","3,873","4,027","3,019","3,933","3,413","2,011","1,790","4,225","2,957","2,181"
2021년04월_계_70~79세,"29,706","2,504","1,191","3,056","1,944","2,068","2,268","2,507","1,772","2,454","2,055","1,229","1,006","2,529","1,665","1,458"
2021년04월_계_80~89세,"12,105","1,170",521,"1,316",876,806,932,"1,157",545,911,683,448,410,"1,081",685,564
2021년04월_계_90~99세,"1,768",167,80,210,141,96,118,175,64,138,85,68,67,179,104,76
2021년04월_계_100세 이상,177,23,11,26,13,6,8,8,3,32,5,6,4,22,8,2
2021년04월_남_총인구수,"188,032","15,914","6,565","21,495","13,984","11,831","13,962","15,484","10,891","12,931","12,032","6,820","7,082","18,257","11,276","9,508"
