카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년07월_계_총인구수,"349,836","34,669","34,986","39,985","22,080","24,778","37,596","26,090","27,152","27,732","28,905","45,863"
2021년07월_계_연령구간인구수,"349,836","34,669","34,986","39,985","22,080","24,778","37,596","26,090","27,152","27,732","28,905","45,863"
2021년07월_계_0~9세,"33,750","3,192","1,510","3,439","2,212","2,328","4,840","2,898","2,568","2,405","3,079","5,279"
2021년07월_계_10~19세,"37,640","3,308","1,459","3,175","2,991","3,420","4,567","2,887","3,155","3,036","4,457","5,185"
2021년07월_계_20~29세,"52,293","4,332","8,281","8,360","2,849","3,143","3,782","4,133","4,332","4,244","3,767","5,070"
2021년07월_계_30~39세,"55,037","4,337","6,877","6,328","3,147","3,113","6,013","5,231","4,439","4,030","3,986","7,536"
2021년07월_계_40~49세,"59,986","5,825","4,392","5,598","4,281","4,640","7,431","4,247","4,276","4,697","5,852","8,747"
2021년07월_계_50~59세,"54,100","6,165","5,454","5,809","3,305","4,101","5,292","3,505","4,465","4,711","4,553","6,740"
2021년07월_계_60~69세,"35,633","4,539","4,253","4,661","1,902","2,274","3,624","2,061","2,588","2,662","2,201","4,868"
2021년07월_계_70~79세,"13,663","1,893","1,793","1,713",896,"1,097","1,394",663,744,"1,175",655,"1,640"
2021년07월_계_80~89세,"6,603",946,823,772,425,573,552,407,474,666,301,664
2021년07월_계_90~99세,"1,102",129,135,130,71,88,97,58,109,102,54,129
2021년07월_계_100세 이상,29,3,9,0,1,1,4,0,2,4,0,5
2021년07월_남_총인구수,"176,651","17,630","18,101","20,771","10,969","12,178","18,458","13,703","13,912","14,189","14,784","21,956"
2021년07월_남_연령구간인구수,"176,651","17,630","18,101","20,771","10,969","12,178","18,458","13,703","13,912","14,189","14,784","21,956"
2021년07월_남_0~9세,"17,366","1,620",794,"1,729","1,158","1,214","2,445","1,522","1,360","1,227","1,586","2,711"
2021년07월_남_10~19세,"19,444","1,759",750,"1,628","1,525","1,755","2,325","1,484","1,603","1,575","2,354","2,686"
2021년07월_남_20~29세,"28,065","2,365","4,187","4,879","1,485","1,615","1,997","2,289","2,401","2,340","1,992","2,515"
2021년07월_남_30~39세,"28,804","2,251","3,951","3,462","1,583","1,540","2,862","2,903","2,448","2,183","2,056","3,565"
2021년07월_남_40~49세,"29,502","3,000","2,363","2,822","2,027","2,183","3,609","2,158","2,048","2,375","2,773","4,144"
2021년07월_남_50~59세,"26,975","3,088","2,714","2,799","1,701","2,061","2,589","1,808","2,168","2,461","2,474","3,112"
2021년07월_남_60~69세,"17,656","2,289","2,202","2,303",905,"1,100","1,728","1,074","1,364","1,337","1,131","2,223"
2021년07월_남_70~79세,"6,384",915,812,839,417,479,678,328,357,471,328,760
2021년07월_남_80~89세,"2,206",314,289,273,154,213,206,125,131,199,78,224
2021년07월_남_90~99세,245,28,38,37,13,18,19,12,32,21,12,15
2021년07월_남_100세 이상,4,1,1,0,1,0,0,0,0,0,0,1
2021년07월_여_총인구수,"173,185","17,039","16,885","19,214","11,111","12,600","19,138","12,387","13,240","13,543","14,121","23,907"
2021년07월_여_연령구간인구수,"173,185","17,039","16,885","19,214","11,111","12,600","19,138","12,387","13,240","13,543","14,121","23,907"
2021년07월_여_0~9세,"16,384","1,572",716,"1,710","1,054","1,114","2,395","1,376","1,208","1,178","1,493","2,568"
2021년07월_여_10~19세,"18,196","1,549",709,"1,547","1,466","1,665","2,242","1,403","1,552","1,461","2,103","2,499"
2021년07월_여_20~29세,"24,228","1,967","4,094","3,481","1,364","1,528","1,785","1,844","1,931","1,904","1,775","2,555"
2021년07월_여_30~39세,"26,233","2,086","2,926","2,866","1,564","1,573","3,151","2,328","1,991","1,847","1,930","3,971"
2021년07월_여_40~49세,"30,484","2,825","2,029","2,776","2,254","2,457","3,822","2,089","2,228","2,322","3,079","4,603"
2021년07월_여_50~59세,"27,125","3,077","2,740","3,010","1,604","2,040","2,703","1,697","2,297","2,250","2,079","3,628"
2021년07월_여_60~69세,"17,977","2,250","2,051","2,358",997,"1,174","1,896",987,"1,224","1,325","1,070","2,645"
2021년07월_여_70~79세,"7,279",978,981,874,479,618,716,335,387,704,327,880
2021년07월_여_80~89세,"4,397",632,534,499,271,360,346,282,343,467,223,440
2021년07월_여_90~99세,857,101,97,93,58,70,78,46,77,81,42,114
2021년07월_여_100세 이상,25,2,8,0,0,1,4,0,2,4,0,4
