카테고리,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년06월_계_총인구수,"299,248","4,117","4,827","11,184","5,214","8,894","10,769","30,661","25,161","24,243","15,877","21,192","10,494","16,032","5,775","20,921","29,326","37,923","16,638"
2020년06월_계_연령구간인구수,"299,248","4,117","4,827","11,184","5,214","8,894","10,769","30,661","25,161","24,243","15,877","21,192","10,494","16,032","5,775","20,921","29,326","37,923","16,638"
2020년06월_계_0~9세,"22,698",111,414,607,186,604,922,"2,250","1,721","1,232",907,"2,473",610,"1,139",376,"1,358","2,782","3,278","1,728"
2020년06월_계_10~19세,"32,572",166,366,703,288,654,"1,330","3,211","2,553","1,834","1,136","2,394","1,082","1,675",415,"2,214","4,558","5,447","2,546"
2020년06월_계_20~29세,"45,341",428,537,"1,710",883,"1,154","1,651","5,427","4,688","4,302","3,028","2,543","1,589","2,210",704,"3,136","4,051","5,436","1,864"
2020년06월_계_30~39세,"37,914",376,647,"1,604",640,"1,073","1,472","4,475","3,682","3,043","2,415","3,173","1,137","1,768",711,"2,187","3,249","4,390","1,872"
2020년06월_계_40~49세,"49,812",472,752,"1,577",703,"1,388","1,954","5,044","4,084","3,331","2,295","3,613","1,466","2,299",709,"3,114","5,871","7,683","3,457"
2020년06월_계_50~59세,"49,593",707,703,"1,747",931,"1,641","1,711","5,328","3,940","4,144","2,338","3,041","1,796","2,764","1,169","4,022","4,972","6,099","2,540"
2020년06월_계_60~69세,"33,394",781,751,"1,526",787,"1,253",906,"2,611","2,550","3,345","1,888","2,373","1,560","2,537",916,"2,825","2,184","3,012","1,589"
2020년06월_계_70~79세,"18,838",740,479,"1,164",537,764,524,"1,504","1,374","2,045","1,211","1,133",851,"1,110",468,"1,357","1,130","1,705",742
2020년06월_계_80~89세,"7,830",289,152,476,228,299,263,728,491,833,572,375,338,453,249,625,452,753,254
2020년06월_계_90~99세,"1,182",39,26,66,30,54,35,81,74,120,85,72,61,73,52,80,70,119,45
2020년06월_계_100세 이상,74,8,0,4,1,10,1,2,4,14,2,2,4,4,6,3,7,1,1
2020년06월_남_총인구수,"146,717","2,024","2,372","5,524","2,689","4,544","5,501","14,706","12,476","11,831","7,602","10,671","5,156","7,780","2,998","10,001","14,284","18,631","7,927"
2020년06월_남_연령구간인구수,"146,717","2,024","2,372","5,524","2,689","4,544","5,501","14,706","12,476","11,831","7,602","10,671","5,156","7,780","2,998","10,001","14,284","18,631","7,927"
2020년06월_남_0~9세,"11,793",60,223,304,100,333,503,"1,119",842,637,472,"1,324",327,614,188,729,"1,460","1,693",865
2020년06월_남_10~19세,"17,063",88,191,390,163,319,687,"1,664","1,259",938,593,"1,400",589,923,225,"1,191","2,295","2,855","1,293"
2020년06월_남_20~29세,"23,281",235,291,831,453,607,887,"2,627","2,355","2,145","1,370","1,392",893,"1,206",398,"1,660","2,145","2,775","1,011"
2020년06월_남_30~39세,"19,131",206,330,858,362,577,785,"2,209","1,943","1,634","1,234","1,537",593,892,383,"1,063","1,525","2,167",833
2020년06월_남_40~49세,"24,019",281,417,815,392,779,976,"2,283","2,062","1,697","1,200","1,796",701,"1,049",375,"1,385","2,635","3,551","1,625"
2020년06월_남_50~59세,"24,301",371,339,896,467,841,920,"2,583","1,952","2,010","1,122","1,452",819,"1,212",632,"1,840","2,516","3,094","1,235"
2020년06월_남_60~69세,"15,710",356,324,685,385,600,445,"1,293","1,207","1,602",814,"1,094",713,"1,196",486,"1,345","1,029","1,471",665
2020년06월_남_70~79세,"8,370",313,202,543,253,372,192,632,657,869,549,529,389,517,222,591,499,723,318
2020년06월_남_80~89세,"2,777",104,48,187,107,98,98,271,185,273,225,136,120,154,79,180,163,273,76
2020년06월_남_90~99세,263,8,7,14,7,16,8,24,14,25,23,11,12,17,10,17,16,28,6
2020년06월_남_100세 이상,9,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0
2020년06월_여_총인구수,"152,531","2,093","2,455","5,660","2,525","4,350","5,268","15,955","12,685","12,412","8,275","10,521","5,338","8,252","2,777","10,920","15,042","19,292","8,711"
2020년06월_여_연령구간인구수,"152,531","2,093","2,455","5,660","2,525","4,350","5,268","15,955","12,685","12,412","8,275","10,521","5,338","8,252","2,777","10,920","15,042","19,292","8,711"
2020년06월_여_0~9세,"10,905",51,191,303,86,271,419,"1,131",879,595,435,"1,149",283,525,188,629,"1,322","1,585",863
2020년06월_여_10~19세,"15,509",78,175,313,125,335,643,"1,547","1,294",896,543,994,493,752,190,"1,023","2,263","2,592","1,253"
2020년06월_여_20~29세,"22,060",193,246,879,430,547,764,"2,800","2,333","2,157","1,658","1,151",696,"1,004",306,"1,476","1,906","2,661",853
2020년06월_여_30~39세,"18,783",170,317,746,278,496,687,"2,266","1,739","1,409","1,181","1,636",544,876,328,"1,124","1,724","2,223","1,039"
2020년06월_여_40~49세,"25,793",191,335,762,311,609,978,"2,761","2,022","1,634","1,095","1,817",765,"1,250",334,"1,729","3,236","4,132","1,832"
2020년06월_여_50~59세,"25,292",336,364,851,464,800,791,"2,745","1,988","2,134","1,216","1,589",977,"1,552",537,"2,182","2,456","3,005","1,305"
2020년06월_여_60~69세,"17,684",425,427,841,402,653,461,"1,318","1,343","1,743","1,074","1,279",847,"1,341",430,"1,480","1,155","1,541",924
2020년06월_여_70~79세,"10,468",427,277,621,284,392,332,872,717,"1,176",662,604,462,593,246,766,631,982,424
2020년06월_여_80~89세,"5,053",185,104,289,121,201,165,457,306,560,347,239,218,299,170,445,289,480,178
2020년06월_여_90~99세,919,31,19,52,23,38,27,57,60,95,62,61,49,56,42,63,54,91,39
2020년06월_여_100세 이상,65,6,0,3,1,8,1,1,4,13,2,2,4,4,6,3,6,0,1
