카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 의정부3동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년01월_여_10~19세,"21,174",835,"1,091",0,"1,405","1,835","1,001","2,206","2,469","1,382","2,286","2,461","1,326","1,034",792,"1,051"
2020년01월_여_20~29세,"30,601","2,903","2,665",0,"2,423","2,250","1,106","3,066","3,191","1,871","2,216","2,599","1,839","1,755","1,208","1,509"
2020년01월_여_30~39세,"29,342","2,037","2,309",0,"2,416","2,189","1,122","2,717","2,384","1,655","2,105","4,635","1,691","1,598","1,061","1,423"
2020년01월_여_40~49세,"37,306","1,956","2,500",0,"2,815","3,005","1,686","3,791","3,887","2,414","3,496","4,246","2,313","1,968","1,408","1,821"
2020년01월_여_50~59세,"39,934","2,584","2,891",0,"3,014","3,086","1,752","4,431","4,448","2,682","2,804","3,051","2,696","2,626","1,827","2,042"
2020년01월_여_60~69세,"27,207","2,105","2,003",0,"2,713","2,281","1,376","2,783","2,605","1,811","1,476","1,816","1,665","1,788","1,424","1,361"
2020년01월_여_70~79세,"17,061","1,258","1,208",0,"1,841","1,681",952,"1,604","1,503","1,063","1,100",871,"1,071","1,187",886,836
2020년01월_여_80~89세,"8,231",624,517,0,675,715,485,812,819,660,548,434,569,497,430,446
2020년01월_여_90~99세,"1,291",115,70,0,89,88,86,107,138,118,91,65,89,86,69,80
2020년01월_여_100세 이상,158,46,7,0,15,7,9,8,5,9,2,1,8,8,31,2
