,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년11월_계_총인구수,"79,581","3,846","2,615","1,082","2,003","1,805","2,275","1,571","1,658","1,491",930,"1,448","1,819","2,256","1,881","2,099","2,713","3,387","3,289","6,146","6,625","4,195","7,026","17,421"
2021년11월_계_연령구간인구수,"79,581","3,846","2,615","1,082","2,003","1,805","2,275","1,571","1,658","1,491",930,"1,448","1,819","2,256","1,881","2,099","2,713","3,387","3,289","6,146","6,625","4,195","7,026","17,421"
2021년11월_계_0~9세,"4,640",166,97,39,57,63,53,35,63,46,29,49,49,84,86,81,109,168,178,562,520,206,382,"1,518"
2021년11월_계_10~19세,"7,104",202,166,46,104,100,112,62,82,63,29,59,79,147,113,175,190,326,230,638,768,323,576,"2,514"
2021년11월_계_20~29세,"7,352",267,221,60,143,104,123,75,92,99,51,84,118,162,98,141,161,358,337,652,613,477,741,"2,175"
2021년11월_계_30~39세,"6,053",221,151,51,102,72,106,56,84,70,51,49,74,123,95,90,131,269,269,661,586,379,584,"1,779"
2021년11월_계_40~49세,"10,161",331,246,98,148,155,214,125,147,113,63,113,162,203,170,227,291,418,413,929,"1,050",501,949,"3,095"
2021년11월_계_50~59세,"13,591",677,494,171,364,304,343,225,261,241,156,221,318,397,307,515,506,591,524,999,"1,041",705,"1,284","2,947"
2021년11월_계_60~69세,"13,494",812,561,231,437,380,503,368,394,289,218,282,373,467,393,367,625,561,579,836,989,737,"1,177","1,915"
2021년11월_계_70~79세,"9,719",621,387,184,329,329,448,289,268,292,185,288,345,329,350,277,418,425,483,553,675,539,777,928
2021년11월_계_80~89세,"6,401",471,240,167,273,258,322,274,220,248,129,267,265,284,233,205,240,237,230,283,331,277,478,469
2021년11월_계_90~99세,"1,034",78,48,35,44,39,51,60,47,30,19,33,35,56,33,21,41,34,44,33,52,46,76,79
2021년11월_계_100세 이상,32,0,4,0,2,1,0,2,0,0,0,3,1,4,3,0,1,0,2,0,0,5,2,2
2021년11월_남_총인구수,"39,039","1,867","1,339",536,998,887,"1,089",750,839,782,481,723,912,"1,106",922,"1,033","1,324","1,608","1,554","2,963","3,197","2,048","3,565","8,516"
2021년11월_남_연령구간인구수,"39,039","1,867","1,339",536,998,887,"1,089",750,839,782,481,723,912,"1,106",922,"1,033","1,324","1,608","1,554","2,963","3,197","2,048","3,565","8,516"
2021년11월_남_0~9세,"2,458",91,58,18,26,36,22,21,33,29,22,26,28,46,52,39,59,89,97,291,266,111,200,798
2021년11월_남_10~19세,"3,666",110,78,26,53,53,57,34,48,40,16,30,45,82,58,97,107,168,111,308,371,179,303,"1,292"
2021년11월_남_20~29세,"4,106",141,131,38,85,63,75,41,55,62,31,48,73,87,54,71,106,202,184,351,352,274,400,"1,182"
2021년11월_남_30~39세,"3,109",125,77,25,59,40,61,29,54,39,26,27,41,70,52,51,56,131,140,333,281,217,320,855
2021년11월_남_40~49세,"5,157",177,137,65,87,93,133,80,89,59,45,75,98,105,107,108,158,201,199,446,527,248,486,"1,434"
2021년11월_남_50~59세,"7,281",366,274,97,206,179,191,135,149,166,95,132,191,222,177,284,274,302,276,512,538,337,709,"1,469"
2021년11월_남_60~69세,"6,755",430,296,124,248,200,258,184,212,153,116,145,196,255,194,204,299,252,255,412,465,344,598,915
2021년11월_남_70~79세,"4,150",253,190,91,142,128,184,130,122,136,82,132,152,135,150,119,173,164,198,212,272,232,356,397
2021년11월_남_80~89세,"2,105",161,81,44,81,86,99,82,67,90,40,97,81,91,71,57,85,89,81,91,114,89,170,158
2021년11월_남_90~99세,247,13,17,8,10,9,9,13,10,8,8,11,7,13,6,3,7,10,12,7,11,16,23,16
2021년11월_남_100세 이상,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2021년11월_여_총인구수,"40,542","1,979","1,276",546,"1,005",918,"1,186",821,819,709,449,725,907,"1,150",959,"1,066","1,389","1,779","1,735","3,183","3,428","2,147","3,461","8,905"
2021년11월_여_연령구간인구수,"40,542","1,979","1,276",546,"1,005",918,"1,186",821,819,709,449,725,907,"1,150",959,"1,066","1,389","1,779","1,735","3,183","3,428","2,147","3,461","8,905"
2021년11월_여_0~9세,"2,182",75,39,21,31,27,31,14,30,17,7,23,21,38,34,42,50,79,81,271,254,95,182,720
2021년11월_여_10~19세,"3,438",92,88,20,51,47,55,28,34,23,13,29,34,65,55,78,83,158,119,330,397,144,273,"1,222"
2021년11월_여_20~29세,"3,246",126,90,22,58,41,48,34,37,37,20,36,45,75,44,70,55,156,153,301,261,203,341,993
2021년11월_여_30~39세,"2,944",96,74,26,43,32,45,27,30,31,25,22,33,53,43,39,75,138,129,328,305,162,264,924
2021년11월_여_40~49세,"5,004",154,109,33,61,62,81,45,58,54,18,38,64,98,63,119,133,217,214,483,523,253,463,"1,661"
2021년11월_여_50~59세,"6,310",311,220,74,158,125,152,90,112,75,61,89,127,175,130,231,232,289,248,487,503,368,575,"1,478"
2021년11월_여_60~69세,"6,739",382,265,107,189,180,245,184,182,136,102,137,177,212,199,163,326,309,324,424,524,393,579,"1,000"
2021년11월_여_70~79세,"5,569",368,197,93,187,201,264,159,146,156,103,156,193,194,200,158,245,261,285,341,403,307,421,531
2021년11월_여_80~89세,"4,296",310,159,123,192,172,223,192,153,158,89,170,184,193,162,148,155,148,149,192,217,188,308,311
2021년11월_여_90~99세,787,65,31,27,34,30,42,47,37,22,11,22,28,43,27,18,34,24,32,26,41,30,53,63
2021년11월_여_100세 이상,27,0,4,0,1,1,0,1,0,0,0,3,1,4,2,0,1,0,1,0,0,4,2,2
