카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년10월_계_총인구수,"236,825","16,324","14,757","13,569","14,162","4,815","16,010","5,517","6,825","9,739","10,492","13,662","26,483","6,699","13,948","22,915","12,965","27,943"
2020년10월_계_연령구간인구수,"236,825","16,324","14,757","13,569","14,162","4,815","16,010","5,517","6,825","9,739","10,492","13,662","26,483","6,699","13,948","22,915","12,965","27,943"
2020년10월_계_0~9세,"15,483",925,"1,528",762,980,179,731,170,303,529,658,"1,218","2,016",340,924,"1,982",648,"1,590"
2020년10월_계_10~19세,"22,176","1,016","2,454","1,259","1,121",310,"1,166",267,473,750,783,"1,645","3,177",354,"1,005","2,922","1,126","2,348"
2020년10월_계_20~29세,"31,106","2,834","1,639","1,656","2,425",507,"1,859",995,768,"1,817","1,512","1,525","3,076",875,"1,805","2,844","1,592","3,377"
2020년10월_계_30~39세,"26,476","2,443","1,579","1,382","1,980",482,"1,649",597,661,"1,264","1,297","1,590","2,466",889,"1,627","2,515","1,296","2,759"
2020년10월_계_40~49세,"37,232","2,533","3,268","2,177","2,174",615,"2,115",626,934,"1,434","1,497","2,488","4,490",953,"1,941","4,031","1,896","4,060"
2020년10월_계_50~59세,"39,925","2,700","2,085","2,433","2,044",865,"2,883",948,"1,281","1,490","1,735","2,210","4,496","1,226","2,260","3,522","2,426","5,321"
2020년10월_계_60~69세,"33,355","2,184","1,162","2,048","1,810",864,"2,947",896,"1,200","1,156","1,407","1,513","3,447","1,161","2,225","2,545","2,021","4,769"
2020년10월_계_70~79세,"20,581","1,131",695,"1,204","1,068",648,"1,876",646,767,839,970,"1,007","2,192",617,"1,458","1,688","1,230","2,545"
2020년10월_계_80~89세,"9,128",471,303,565,464,304,688,322,364,399,546,422,973,249,609,763,657,"1,029"
2020년10월_계_90~99세,"1,279",79,39,77,89,38,89,43,70,54,85,44,144,33,87,99,70,139
2020년10월_계_100세 이상,84,8,5,6,7,3,7,7,4,7,2,0,6,2,7,4,3,6
2020년10월_남_총인구수,"116,865","8,461","7,061","6,582","6,983","2,517","8,040","2,721","3,429","4,663","4,941","6,637","12,735","3,550","6,842","11,095","6,330","14,278"
2020년10월_남_연령구간인구수,"116,865","8,461","7,061","6,582","6,983","2,517","8,040","2,721","3,429","4,663","4,941","6,637","12,735","3,550","6,842","11,095","6,330","14,278"
2020년10월_남_0~9세,"7,908",449,765,378,526,102,372,106,168,257,321,652,"1,023",189,463,"1,025",321,791
2020년10월_남_10~19세,"11,427",514,"1,207",670,613,173,592,150,248,332,387,813,"1,630",205,534,"1,522",604,"1,233"
2020년10월_남_20~29세,"15,946","1,354",827,882,"1,107",273,"1,006",451,402,833,762,784,"1,636",490,902,"1,431",902,"1,904"
2020년10월_남_30~39세,"13,602","1,326",691,729,983,275,946,346,373,668,637,764,"1,172",486,861,"1,172",708,"1,465"
2020년10월_남_40~49세,"18,894","1,439","1,533","1,092","1,162",359,"1,123",345,504,736,713,"1,191","2,102",557,"1,002","1,898",950,"2,188"
2020년10월_남_50~59세,"20,200","1,523","1,114","1,194","1,056",513,"1,434",491,649,774,835,"1,117","2,182",648,"1,095","1,736","1,156","2,683"
2020년10월_남_60~69세,"15,883","1,132",508,921,870,426,"1,425",408,567,550,652,720,"1,565",584,"1,019","1,222",943,"2,371"
