,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년05월_계_총인구수,"150,660","48,582","2,172","3,074","4,916","2,822","2,797","1,789","1,566","57,423","11,919","11,843","1,757"
2021년05월_계_연령구간인구수,"150,660","48,582","2,172","3,074","4,916","2,822","2,797","1,789","1,566","57,423","11,919","11,843","1,757"
2021년05월_계_0~9세,"13,022","4,325",67,80,251,65,78,41,30,"6,305",883,844,53
2021년05월_계_10~19세,"15,770","5,082",128,134,277,127,78,87,53,"7,237","1,143","1,297",127
2021년05월_계_20~29세,"19,830","6,071",204,260,632,198,192,117,122,"8,199","1,566","2,090",179
2021년05월_계_30~39세,"18,163","5,807",141,152,479,165,156,93,113,"8,405","1,233","1,294",125
2021년05월_계_40~49세,"23,366","7,879",207,272,546,208,251,158,155,"10,337","1,841","1,321",191
2021년05월_계_50~59세,"29,157","8,475",435,637,"1,112",537,490,329,285,"10,956","2,723","2,800",378
2021년05월_계_60~69세,"17,575","6,093",412,633,764,581,599,426,303,"4,047","1,666","1,710",341
2021년05월_계_70~79세,"8,253","2,975",301,480,482,512,537,301,269,"1,259",578,356,203
2021년05월_계_80~89세,"4,707","1,594",228,363,318,365,337,206,199,599,250,108,140
2021년05월_계_90~99세,800,276,48,61,55,62,76,29,37,78,36,22,20
2021년05월_계_100세 이상,17,5,1,2,0,2,3,2,0,1,0,1,0
2021년05월_남_총인구수,"78,631","24,868","1,130","1,512","2,524","1,412","1,384",903,860,"30,251","6,330","6,480",977
2021년05월_남_연령구간인구수,"78,631","24,868","1,130","1,512","2,524","1,412","1,384",903,860,"30,251","6,330","6,480",977
2021년05월_남_0~9세,"6,616","2,194",45,34,132,28,34,19,13,"3,207",452,431,27
2021년05월_남_10~19세,"8,166","2,656",77,66,144,78,43,43,33,"3,708",584,662,72
2021년05월_남_20~29세,"11,544","3,343",125,153,369,123,119,78,73,"4,725",926,"1,389",121
2021년05월_남_30~39세,"9,753","2,979",81,81,266,92,91,51,68,"4,505",691,758,90
2021년05월_남_40~49세,"12,053","4,145",124,142,276,125,159,107,109,"5,183",987,565,131
2021년05월_남_50~59세,"15,902","4,497",250,369,595,314,294,182,195,"5,988","1,493","1,508",217
2021년05월_남_60~69세,"9,267","3,174",217,336,397,296,292,228,163,"2,185",864,927,188
2021년05월_남_70~79세,"3,703","1,332",125,204,221,222,231,116,131,555,267,208,91
2021년05월_남_80~89세,"1,488",497,72,114,116,123,113,74,69,183,62,27,38
2021년05월_남_90~99세,137,51,13,12,8,11,8,5,6,12,4,5,2
2021년05월_남_100세 이상,2,0,1,1,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"72,029","23,714","1,042","1,562","2,392","1,410","1,413",886,706,"27,172","5,589","5,363",780
2021년05월_여_연령구간인구수,"72,029","23,714","1,042","1,562","2,392","1,410","1,413",886,706,"27,172","5,589","5,363",780
2021년05월_여_0~9세,"6,406","2,131",22,46,119,37,44,22,17,"3,098",431,413,26
2021년05월_여_10~19세,"7,604","2,426",51,68,133,49,35,44,20,"3,529",559,635,55
2021년05월_여_20~29세,"8,286","2,728",79,107,263,75,73,39,49,"3,474",640,701,58
2021년05월_여_30~39세,"8,410","2,828",60,71,213,73,65,42,45,"3,900",542,536,35
2021년05월_여_40~49세,"11,313","3,734",83,130,270,83,92,51,46,"5,154",854,756,60
2021년05월_여_50~59세,"13,255","3,978",185,268,517,223,196,147,90,"4,968","1,230","1,292",161
2021년05월_여_60~69세,"8,308","2,919",195,297,367,285,307,198,140,"1,862",802,783,153
2021년05월_여_70~79세,"4,550","1,643",176,276,261,290,306,185,138,704,311,148,112
2021년05월_여_80~89세,"3,219","1,097",156,249,202,242,224,132,130,416,188,81,102
2021년05월_여_90~99세,663,225,35,49,47,51,68,24,31,66,32,17,18
2021년05월_여_100세 이상,15,5,0,1,0,2,3,2,0,1,0,1,0
