,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2021년10월_계_총인구수,"224,066","14,584","36,085","14,033","11,365","6,442","15,812","14,549","4,377","4,735","2,651","16,963","57,237","15,012","10,221"
2021년10월_계_연령구간인구수,"224,066","14,584","36,085","14,033","11,365","6,442","15,812","14,549","4,377","4,735","2,651","16,963","57,237","15,012","10,221"
2021년10월_계_0~9세,"18,113",911,"3,022","1,040",748,290,"1,559","1,108",122,154,57,868,"6,810",881,543
2021년10월_계_10~19세,"23,254","1,326","4,379","1,070",851,850,"1,762","1,179",250,213,120,"1,481","8,126",892,755
2021년10월_계_20~29세,"31,500","1,517","5,271","1,642","1,335",779,"2,396","2,677",368,410,169,"2,782","7,419","3,226","1,509"
2021년10월_계_30~39세,"30,920","1,449","4,992","1,810","1,264",671,"2,770","2,476",349,352,153,"2,188","8,708","2,446","1,292"
2021년10월_계_40~49세,"34,955","1,996","6,560","1,974","1,607",698,"2,110","2,131",471,493,225,"2,485","10,925","1,841","1,439"
2021년10월_계_50~59세,"35,600","2,413","5,616","2,613","2,143","1,087","2,104","1,932",823,848,421,"2,857","8,536","2,263","1,944"
2021년10월_계_60~69세,"28,434","2,627","3,690","2,270","1,884","1,126","1,714","1,678","1,014","1,099",708,"2,556","4,364","2,046","1,658"
2021년10월_계_70~79세,"13,180","1,388","1,634","1,032",903,571,880,850,561,662,412,"1,157","1,500",906,724
2021년10월_계_80~89세,"7,089",846,825,497,533,323,444,450,372,431,338,522,743,445,320
2021년10월_계_90~99세,987,108,93,81,94,46,70,67,47,66,46,66,106,62,35
2021년10월_계_100세 이상,34,3,3,4,3,1,3,1,0,7,2,1,0,4,2
2021년10월_남_총인구수,"116,264","7,410","19,039","7,353","5,793","3,523","8,657","7,433","2,339","2,505","1,373","8,470","28,547","8,591","5,231"
2021년10월_남_연령구간인구수,"116,264","7,410","19,039","7,353","5,793","3,523","8,657","7,433","2,339","2,505","1,373","8,470","28,547","8,591","5,231"
2021년10월_남_0~9세,"9,359",461,"1,553",530,391,149,814,564,68,76,35,449,"3,522",461,286
2021년10월_남_10~19세,"12,160",706,"2,254",593,449,513,932,601,152,106,64,743,"4,221",467,359
2021년10월_남_20~29세,"17,944",889,"3,182",872,741,450,"1,467","1,344",225,250,101,"1,513","3,885","2,250",775
2021년10월_남_30~39세,"16,636",782,"2,651",979,643,398,"1,585","1,322",214,219,92,"1,246","4,193","1,566",746
2021년10월_남_40~49세,"18,112","1,023","3,362","1,092",849,409,"1,206","1,176",264,297,145,"1,236","5,273","1,016",764
2021년10월_남_50~59세,"18,540","1,261","3,032","1,365","1,080",634,"1,142","1,011",457,484,221,"1,369","4,317","1,178",989
2021년10월_남_60~69세,"14,588","1,306","1,925","1,213",992,583,904,852,536,582,377,"1,177","2,246","1,034",861
2021년10월_남_70~79세,"6,082",644,758,497,407,261,426,395,269,316,196,537,630,421,325
2021년10월_남_80~89세,"2,604",313,303,194,217,116,161,151,142,158,131,181,240,180,117
2021년10월_남_90~99세,231,25,19,17,24,10,18,17,12,15,10,19,20,16,9
2021년10월_남_100세 이상,8,0,0,1,0,0,2,0,0,2,1,0,0,2,0
2021년10월_여_총인구수,"107,802","7,174","17,046","6,680","5,572","2,919","7,155","7,116","2,038","2,230","1,278","8,493","28,690","6,421","4,990"
2021년10월_여_연령구간인구수,"107,802","7,174","17,046","6,680","5,572","2,919","7,155","7,116","2,038","2,230","1,278","8,493","28,690","6,421","4,990"
2021년10월_여_0~9세,"8,754",450,"1,469",510,357,141,745,544,54,78,22,419,"3,288",420,257
2021년10월_여_10~19세,"11,094",620,"2,125",477,402,337,830,578,98,107,56,738,"3,905",425,396
2021년10월_여_20~29세,"13,556",628,"2,089",770,594,329,929,"1,333",143,160,68,"1,269","3,534",976,734
2021년10월_여_30~39세,"14,284",667,"2,341",831,621,273,"1,185","1,154",135,133,61,942,"4,515",880,546
2021년10월_여_40~49세,"16,843",973,"3,198",882,758,289,904,955,207,196,80,"1,249","5,652",825,675
2021년10월_여_50~59세,"17,060","1,152","2,584","1,248","1,063",453,962,921,366,364,200,"1,488","4,219","1,085",955
2021년10월_여_60~69세,"13,846","1,321","1,765","1,057",892,543,810,826,478,517,331,"1,379","2,118","1,012",797
2021년10월_여_70~79세,"7,098",744,876,535,496,310,454,455,292,346,216,620,870,485,399
2021년10월_여_80~89세,"4,485",533,522,303,316,207,283,299,230,273,207,341,503,265,203
2021년10월_여_90~99세,756,83,74,64,70,36,52,50,35,51,36,47,86,46,26
2021년10월_여_100세 이상,26,3,3,3,3,1,1,1,0,5,1,1,0,2,2
