,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년08월_계_총인구수,"99,159","4,599","3,735","5,963","8,020","8,953","10,499","4,408","4,797","3,205","8,311","11,995","8,159","16,515"
2020년08월_계_연령구간인구수,"99,159","4,599","3,735","5,963","8,020","8,953","10,499","4,408","4,797","3,205","8,311","11,995","8,159","16,515"
2020년08월_계_0~9세,"6,602",75,104,174,746,566,610,217,221,86,786,653,561,"1,803"
2020년08월_계_10~19세,"7,179",149,220,259,749,671,850,338,397,135,575,966,663,"1,207"
2020년08월_계_20~29세,"14,228","1,070",646,781,943,"1,211","1,374",819,910,808,"1,160","1,440",980,"2,086"
2020년08월_계_30~39세,"12,457",617,364,642,930,"1,175","1,130",485,439,383,"1,184","1,129","1,065","2,914"
2020년08월_계_40~49세,"13,596",519,510,793,"1,226","1,305","1,377",598,649,347,"1,150","1,534","1,108","2,480"
2020년08월_계_50~59세,"15,389",688,519,"1,097","1,139","1,446","1,795",638,753,451,"1,247","1,878","1,339","2,399"
2020년08월_계_60~69세,"14,292",773,593,"1,115","1,006","1,205","1,622",612,640,466,"1,062","1,986","1,255","1,957"
2020년08월_계_70~79세,"10,134",484,500,734,856,908,"1,167",448,492,341,785,"1,511",817,"1,091"
2020년08월_계_80~89세,"4,581",187,241,319,379,408,520,214,255,166,313,783,316,480
2020년08월_계_90~99세,631,32,35,45,43,53,51,32,38,19,38,108,50,87
2020년08월_계_100세 이상,70,5,3,4,3,5,3,7,3,3,11,7,5,11
2020년08월_남_총인구수,"49,005","2,353","1,878","3,218","3,912","4,456","5,130","2,226","2,454","1,654","3,986","5,696","3,956","8,086"
2020년08월_남_연령구간인구수,"49,005","2,353","1,878","3,218","3,912","4,456","5,130","2,226","2,454","1,654","3,986","5,696","3,956","8,086"
2020년08월_남_0~9세,"3,442",39,49,84,403,294,307,137,123,44,422,328,301,911
2020년08월_남_10~19세,"3,730",68,116,142,399,356,436,178,225,62,273,515,335,625
2020년08월_남_20~29세,"7,295",423,337,440,517,626,708,428,519,411,558,756,497,"1,075"
2020년08월_남_30~39세,"6,499",358,208,367,460,619,586,273,230,222,587,574,546,"1,469"
2020년08월_남_40~49세,"7,109",323,267,486,587,708,719,311,348,212,599,730,575,"1,244"
2020년08월_남_50~59세,"7,612",384,271,642,568,731,853,324,371,243,609,873,629,"1,114"
2020년08월_남_60~69세,"6,742",398,291,576,456,573,754,281,296,228,475,892,583,939
2020년08월_남_70~79세,"4,468",263,206,335,345,379,521,192,216,150,332,654,363,512
2020년08월_남_80~89세,"1,922",88,123,135,162,155,230,93,114,75,121,336,113,177
2020년08월_남_90~99세,171,9,10,11,14,14,16,6,12,5,8,34,14,18
2020년08월_남_100세 이상,15,0,0,0,1,1,0,3,0,2,2,4,0,2
2020년08월_여_총인구수,"50,154","2,246","1,857","2,745","4,108","4,497","5,369","2,182","2,343","1,551","4,325","6,299","4,203","8,429"
2020년08월_여_연령구간인구수,"50,154","2,246","1,857","2,745","4,108","4,497","5,369","2,182","2,343","1,551","4,325","6,299","4,203","8,429"
2020년08월_여_0~9세,"3,160",36,55,90,343,272,303,80,98,42,364,325,260,892
2020년08월_여_10~19세,"3,449",81,104,117,350,315,414,160,172,73,302,451,328,582
2020년08월_여_20~29세,"6,933",647,309,341,426,585,666,391,391,397,602,684,483,"1,011"
2020년08월_여_30~39세,"5,958",259,156,275,470,556,544,212,209,161,597,555,519,"1,445"
2020년08월_여_40~49세,"6,487",196,243,307,639,597,658,287,301,135,551,804,533,"1,236"
2020년08월_여_50~59세,"7,777",304,248,455,571,715,942,314,382,208,638,"1,005",710,"1,285"
2020년08월_여_60~69세,"7,550",375,302,539,550,632,868,331,344,238,587,"1,094",672,"1,018"
2020년08월_여_70~79세,"5,666",221,294,399,511,529,646,256,276,191,453,857,454,579
2020년08월_여_80~89세,"2,659",99,118,184,217,253,290,121,141,91,192,447,203,303
2020년08월_여_90~99세,460,23,25,34,29,39,35,26,26,14,30,74,36,69
2020년08월_여_100세 이상,55,5,3,4,2,4,3,4,3,1,9,3,5,9
